"lic","instituciones","direccion_fisica","pueblo_fisico","zip_code_fisico","direccion_postal","pueblo_postal","zip_code_postal","telefono_primario","telefono_secundario","email_primario","email_secundario","fax_primario","fax_secundario","director_preescolar","director_elemental","director_intermedia","director_superior","matricula_preprekinder","matricula_prekinder","matricula_kinder","matricula_sin_grado_preescolar","matricula_primero","matricula_segundo","matricula_tercero","matricula_cuarto","matricula_quinto","matricula_sexto","matricula_sin_grado_elemental","matricula_septimo","matricula_octavo","matricula_noveno","matricula_decimo","matricula_undecimo","matricula_duodecimo","matricula_sin_grado_secundaria","total"
"A 01-17.1","National Talent Academy, Inc. (Centro de Extensión)","Urb Jardines de Caparra Ave Ruiz Soler Sect La Colectora","Bayamón","00959","PO BOX 360721","San Juan","00936","(787) 870-3557","(787) 608-9321","nationaltalentacademy@mail.com","directorejecutivonta@gmail.com","(787) 520-5843",,"no aplica","no aplica","Sra. Diosdada Romero Lopez","Sra. Diosdada Romero Lopez","0","0","0","0","0","0","0","0","0","0","0","21","28","35","14","15","19","0","132"
"A 01-19","Arecibo Job Corps","Carr 686 km. 6.6 Bo Garrochales","Arecibo","00652","PO BOX 544","Arecibo","00652","(787) 881-2300","(787) 881-3775","torresmiguelina@jobcorps.org","carrion.aynette@jobcorps.org","(787) 881-0971",,"Miguelina Torres","Miguelina Torres","Miguelina Torres","Miguelina Torres","0","0","0","0","0","0","0","0","0","0","2","0","0","1","32","20","11","0","66"
"A 01-20","Colegio Educativo y Pre-Escolar Gotitas de Amor, Inc.","Carr 490 Interior Km. 2.5 Bo Corcovada","Hatillo","00659","HC 06 BOX 13857","Hatillo","00659","(787) 262-2748","(787) 501-4396","centrogotitasdeamor@hotmail.com",,"(787) 262-2748",,"Maribelle De Jesus Pietri","Maribelle De Jesus Pietri","n/a","n/a","0","29","13","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","59"
"A 01-21","Instituto Prevocacional e Industrial de Puerto Rico","68 Puro Girau (Pueblo)","Arecibo","00612","PO BOX 1800","Arecibo","00613","(787) 879-3300","(787) 879-3560","ipvipr@yahoo.co","ipvi@prtc.net","(787) 879-3834",,"No Aplica","No Aplica","No Aplica","No Aplica","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"A 01-22","Instituto Educativo Técnico Ocupacional de Arecibo","Calle Balboa #2 Bo Factor","Arecibo","00612","Urb Factor 2 Calle Balboa","Arecibo","00612","(787) 815-2142","(787) 815-2148","parodríguez@trabajo.pr.gov",,"(787) 815-2140",,"n/d","n/d","n/d","Pablo Rodriguez Marrero","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","7","7","6","23"
"A 02-02","Academia Nuestra Señora de Fátima, Inc.","Calle Georgetti, Edificio Rafael Balseiro","Barceloneta","00617","PO BOX 469","Bajadero","00616","(787) 623-4566","(787) 372-5881","academiafatima@yahoo.com","angeles_carrion@academiafatima.com","787-624566",,"Ángeles Carrión Baldoni","Ángeles Carrión Baldoni","Ángeles Carrión Baldoni","Ángeles Carrión Baldoni","0","6","16","0","16","14","27","21","20","26","0","26","19","20","15","11","7","0","244"
"A 02-03","Vigotsky Bilingual Academy","Carr #140 Kl 63.0 Bo Magueyes","Barceloneta","00617","Las Praderas 1162 Calle Esmeralda","Barceloneta","00617","(787) 359-4741","(787) 452-2969","vigotskyacademy@gmail.com","mariaocasio8@hotmail.com","(787) 623-3157",,"Maria Del R. Ocasio Ocasio","Maria Del R. Ocasio Ocasio","No aplica","No aplica","12","12","17","0","18","12","8","10","7","5","0","0","0","0","0","0","0","0","101"
"A 03-01","Colegio San José","Bo Puente,  Carr 119, Km. 7.4","Camuy","00627","PO BOX 435","Camuy","00627","(787) 262-3366","(939) 244-6795","csjcamuy@gmail.com",,"(787) 262-3366","(787) 262-3366","María M. Acevedo Jiménez","María M. Acevedo Jiménez","no","no","0","3","10","0","14","4","3","1","9","5","0","0","0","0","0","0","0","0","49"
"A 03-02","SCQ,Centro Infantil Educativo Bambi, Corp.","Carr # 4491, Km 2.6, Bo Puente, Sect Alcantarrilla","Camuy","00627","HC 03 BOX 11215","Camuy","00627","(787) 898-5974","(787) 505-8633","cieb.82@gmail.com",,"(787) 000-0000",,"Sylvia Del C. Quiñones","Sylvia Del C. Quiñones","n/a","n/a","3","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","5"
"A 03-04","Colegio  Evangélico Mi Pequeño Rebaño","Carr 486, Km. 4.7, Barrio Abra Honda","Camuy","00627","PO BOX 884","Camuy","00627","(787) 262-8967","(787) 898-3015","mipequenorebano@yahoo.com","felvian3235@gmail.com","(787) 898-3015",") -","Vivian Hernández Colón","Vivian Hernández Colón","Vivian Hernández Colón","N/A","5","8","15","0","11","13","11","15","15","0","0","11","18","17","0","0","0","0","139"
"A 03-05","Bright Beginnings Bilingual School","Carr Estatal #129, Km. 18.4 Interior, Barrio Quebrada","Camuy","00627","PO BOX 634","Lares","00669","(787) 328-4141","(787) 632-6462","brightbeginnings129@gmail.com","eveliomarcial@yahoo.com","(787) 410-8134","(787) 632-6462","Theresa Cruz Cruz","Theresa Cruz Cruz","N/A","N/A","11","15","20","0","17","15","12","14","10","7","0","0","0","0","0","0","0","0","121"
"A 03-06","Universal Technology College of Puerto Rico (UNITEC), Inc.","Ave Muñoz Rivera #167","Camuy","00627","167 Ave. Muñoz Rivera  Oeste","Camuy","00627","(787) 262-5786","(787) 262-0022","directora_camuy@unitecpr.net","directora_planificacion@unitecpr.net","(787) 820-5560","(787) 262-5786","n/a","n/a","n/a","Nelida Cardona, Directora","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","7","0","15"
"A 04-01","Colegio Nuestra Señora del Rosario","Calle José de Diego # 19","Ciales","00638","PO BOX 1334","Ciales","00638","(787) 871-2222","(787) 871-2222","cnsrciales@hotmail.com",,"(787) 871-5797","(787) 871-2222","Blanca Marerro Rivera","Blanca Marerro Rivera","Blanca Marerro Rivera","Blanca Marerro Rivera","0","10","15","0","10","7","11","15","13","6","0","9","9","9","8","6","0","0","128"
"A 04-03","Aprende Conmigo","Calle Corchado # 4","Ciales","00638","PO BOX 1408","Ciales","00638","(787) 871-2010","(787) 871-3500","aprende_conmigo@yahoo.com","proyecto.aprende.conmigo@gmail.com","(787) 871-2010","(787) 871-3743","N/A","N/A","N/A","Angélica Pérez Rivera","0","0","0","0","0","0","0","0","0","0","0","0","0","13","38","38","52","0","141"
"A 05-02","Carlos Beltran Baseball Academy","Ave Heriberto González, Carr PR 6642, Km. 2.1, Barrio Florida adentro","Florida","00650","PO BOX 1115","Florida","00650","(787) 822-6060","(787) 685-5412","emendoza@cbbapr.org","jjimenez@cbbapr.org","(787) 822-6070",,"No","No","No","Sra. Nilda D. Serrano","0","0","0","0","0","0","0","0","0","0","0","0","0","17","35","37","35","0","124"
"A 06-01","Academia Interamericana de Arecibo","Bo Carrizales,  Carr 2, Km. 85.0 Núm. 800 Calle El Mangotín","Hatillo","00659","PO BOX 4050","Hatillo","00614","(787) 898-2121","(787) 898-5379","dvega@arecibo.inter.edu","earbelo@arecibo.inter.edu","(787) 880-1624",,"Diana Vega Ruiz","Diana Vega Ruiz","Diana Vega Ruiz","Diana Vega Ruiz","8","14","20","0","22","33","21","27","30","36","0","52","50","58","46","53","52","0","522"
"A 06-02","Colegio Evangélico Capitán Correa","Bo Carrizales, Carr 493, KM 0.1 AL 4","Hatillo","00659","PO BOX 142247","Arecibo","00614","(787) 878-4765","(787) 878-9227","juan.santiago@capitancorrea.org","damaris@capitancorrea.org","(787) 880-0395",,"Juan C. Santiago","Juan C. Santiago","Juan C. Santiago","Juan C. Santiago","0","0","39","0","33","49","51","50","42","60","0","64","65","59","56","83","83","0","734"
"A 06-03","Colegio Nuestra Señora del Carmen","Ave Dr. Susoni (antes Carr #119), Esquina Calle Vicente López","Hatillo","00659","PO BOX 937","Hatillo","00659","(787) 898-2800","(787) 898-5235","rserran0.cnsc@gmail.com","wilmaricolon@yahoo.com","(787) 820-5258",,"Wilmari Colon Marrero","Wilmari Colon Marrero","Wilmari Colon Marrero","Wilmari Colon Marrero","0","8","11","0","11","9","16","9","17","25","0","17","24","27","35","42","30","0","281"
"A 06-06","Centro Educativo Montessori del Norte","Carr 130, Km 1.0, Barrio Pueblo, Sect Molinari","Hatillo","00659","PO BOX 366","Hatillo","00659","(787) 898-5361","(787) 898-5361","centromontessori@yahoo.com",,"(787) 898-5361","(787) 898-5361","Sonia B. Traverso Vázquez","Sonia B. Traverso Vázquez","n/a","n/a","0","4","3","0","4","4","2","1","2","1","0","0","0","0","0","0","0","0","21"
"A 06-07","Abraham Lincoln Bilingual School and Preschool Center","Carr #493, Km. 1.2 Interior, Barrio Carrizales","Hatillo","00659","PO BOX 5214","Aguadilla","00605","(787) 878-8920","(787) 645-9762","little.schooler@yahoo.com","o.lff@hotmail.com","(787) 878-8920",,"Olga Feliciano Feliciano","Olga Feliciano Feliciano","n/a","n/a","8","13","26","0","22","14","12","12","10","0","0","0","0","0","0","0","0","0","117"
"A 07-01","Colegio Cristiano de Isabela Rvdo. Secundino Elba, Inc.","Ave Militar #3181, Bo  Mora, Séctor La Curva Carr 2,Km. 112.3, Calle Marginal","Isabela","00662","PO BOX 927","Isabela","00662","(787) 830-7037","(787) 830-8119","colcrisa@yahoo.com",,"(787) 830-7037","(787) 830-8119","Karen Díaz","Karen Díaz","Karen Díaz","Karen Díaz","0","0","19","0","20","12","13","12","13","13","0","13","25","12","17","0","0","0","169"
"A 07-02","Colegio San Antonio","Calle Corchado # 87, Calle Emilio González #118","Isabela","00662","PO BOX 897","Isabela","00662","(787) 872-2406","(787) 872-4437","csaisabela@gmail.com","csaonufrak@gmail.com","(787) 872-2406","(787) 872-2406","Jo-Anne Onufrak Quiles","Jo-Anne Onufrak Quiles","Jo-Anne Onufrak Quiles","Jo-Anne Onufrak Quiles","0","9","10","0","13","5","15","8","11","19","0","23","26","29","18","34","18","0","238"
"A 07-04","Castillo Infantil Bilingual School","Carr 474, Km 1.8 Interior, Sect Felipe Méndez, Bo Mora","Isabela","00662","PO BOX 523","Isabela","00662","(787) 872-7410","(787) 872-7410","fvelez@castillocbs.org","zortiz@castillocbs.org","(787) 872-7410","(787) 872-7410","Carmen S. Román Salamanca","Carmen S. Román Salamanca","n/a","n/a","23","25","31","0","37","28","27","35","26","22","0","0","0","0","0","0","0","0","254"
"A 07-05","Little Rainbow Learning Center, Inc.","Carr # 2 Km 110.4 Interior, Calle Felipe Neri Colón, Bo Mora","Isabela","00662","PO BOX 5214","Aguadilla","00605","(787) 872-4772","(787) 645-9762","little.schooler@yahoo.com","o.lff@hotmail.com","(787) 645-9762",,"Olga L. Feliciano Feliciano","Olga L. Feliciano Feliciano","n/a","n/a","0","7","10","0","10","8","10","10","9","10","0","0","0","0","0","0","0","0","74"
"A 07-06","Los Pinos Elementary Bilingual School and Day Care Center","Carr Número 112, Km. 5.8 Interior Barrio Arenales Altos","Isabela","00662","595 Calle Comunal Comunidad Los Pinos","Isabela","00662","(787) 872-2598","(787) 426-1067","lospinosebs@yahoo.com","lospinosebs@yahoo.com","(787) 872-2598","(787) 872-2598","Ramón Deynes Roldán","Ramón Deynes Roldán","-","-","0","17","17","0","13","17","27","8","9","16","0","0","0","0","0","0","0","0","124"
"A 07-07","Kid's Paradise Day Care and Learning Center, Inc.","Carr  459, Km. 14.7 int., 8 Sect Nieves , Bo Jobos","Isabela","00662","8 Sector Nieves, Bo. Jobos","Isabela","00662","(787) 607-4631","(787) 830-1929","kidsparadiseinc@hotmail.com",,"(787) 830-1929",,"Denise Hernández Feliciano","Denise Hernández Feliciano","0","0","12","5","6","0","2","3","1","2","2","4","0","0","0","0","0","0","0","0","37"
"A 09-03","Colegio de la Inmaculada Concepción","Carr # 2, Km. 49.6","Manatí","00674","PO BOX 3400","Manatí","00674","(787) 854-2079","(787) 854-5265","cicmanati@outlook.com",,"(787) 854-2202",,"Rosalina Santiago Santiago","Rosalina Santiago Santiago","Hilda Crespo Torres","Hilda Crespo Torres","0","19","37","0","50","48","58","50","48","51","0","60","67","69","74","72","76","0","779"
"A 09-05","Colegio Marista","Carr #2, Km. 45.5, Barrio Coto Norte, Reparto Marcelino Champagnat","Manatí","00674","PO BOX 856","Manatí","00674","(787) 854-1075","(787) 854-2485","oficinamaristamanati@live.com","msantiago@maristamanati.org","(787) 854-6733",,"Margarita Santiago Cordero","Margarita Santiago Cordero","Margarita Santiago Cordero","Margarita Santiago Cordero","10","21","40","0","42","45","41","41","46","47","0","50","55","37","52","44","51","0","622"
"A 09-06","Colegio Emmy: Centro Prescolar","Calle Félix Córdova Dávila # 175-A, Bo Cotto","Manatí","00674","Calle Félix Córdova Dávila # 175-A","Manatí","00674","(787) 884-3292","(787) 884-3292","colegioemmy@live.com","colegioemmy@live.com","(787) 884-3292","(787) 884-3292","Emilia Pérez González","n/a","n/a","n/a","3","14","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35"
"A 09-10","Piaget Bilingual Academy of Manatí, Inc.","Carr 686, Km. 1.8, Interior, Sect Guayaney, Barrio Coto Norte","Manatí","00674","PO BOX 967","Manatí","00674","(787) 854-7711","(787) 854-9800","karla.martinez@piagetpr.com","aileen.buzzetta@piagetpr.com","(787) 884-6308","(787) 854-7711","Migdalia Sanchez","Migdalia Sanchez","Marisol Ortiz","Pacifico Robles","0","28","43","0","52","51","71","61","71","72","0","73","68","80","88","86","75","0","919"
"A 09-11","Academia Discípulos de Cristo,Inc. Manatí","Carr 668 Km 1.2 Sect Sabana Seca","Manatí","00674","PO BOX 902","Manatí","00674","(787) 854-5085","(787) 854-2876","asistdocente@adcmanati.net","mcortes@adcmanati.net","(787) 884-6987",,"Blanca I. García Sánchez","Blanca I. García Sánchez","Blanca I. García Sánchez","Blanca I. García Sánchez","0","14","23","0","21","23","28","27","30","40","0","28","30","25","38","21","5","0","353"
"A 09-12","Instituto de Educación Técnico Ocupacional La Reiné","Ave Colón #8-A, y Calle Mckinley  #88","Manatí","00674","PO BOX 988","Manatí","00674","(787) 854-1119","(787) 884-7113","reine@prtc.net","wrey@lareine.edu","(787) 884-3505","(787) 854-1119","no aplica","no aplica","no aplica","Carmen Ocasio Padilla","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A 09-14","Reiné Christian Bilingual School","Carr Número 670, Km. 3.8, Barrio Cotto Norte","Manatí","00674","PO BOX 1840","Manatí","00674","(787) 854-0550","(787) 884-6083","reinecbs@yahoo.com","reinarey.rcbs@gmail.com","(787) 884-6083","(787) 854-0550","Carmen Ocasio Padilla","Carmen Ocasio Padilla","Carmen Ocasio Padilla","Carmen Ocasio Padilla","0","7","8","0","10","11","10","9","12","14","0","12","8","9","6","0","4","0","120"
"A 09-16","Colegio Buenas Nuevas","Calle Caribe #4","Manatí","00674","PO BOX 389","Manatí","00674","(787) 884-6868","(787) 616-8081","colegiobuenasnuevasinc@hotmail.com","profa_carmencita@hotmail.com","(787) 884-6868","(787) 884-6868","Carmen Cossio Armaiz","Carmen Cossio Armaiz","0",,"5","5","5","0","9","6","7","17","8","3","0","0","0","0","0","0","0","0","65"
"A 09-18","Atenas College","Edificio Julio Hernández, Calle Mckinley #101,  Paseo del Atenas, Barrio Pueblo","Manatí","00674","PO BOX 365","Manatí","00674","(787) 884-3838","(787) 509-4498","presidenta@atenascollege.edu","icolon@atenascollege.edu","(787) 854-4530","(787) 854-4530","María L. Hernández Núñez","María L. Hernández Núñez","María L. Hernández Núñez","María L. Hernández Núñez","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A 09-20","My Little Academy, Inc.","Carr #2, Esquina Colon","Manatí","00674","RR 1, BOX 11951","Manatí","00674","(787) 479-8388","(787) 621-4922","zaida13morales@hotmail.com","mylittleschoolacademy1@yahoo.com","(787) 621-4922",,"Jessica De Jesus","Jessica de Jesus","ninguno","ninguno","18","15","16","0","12","14","15","0","0","0","0","0","0","0","0","0","0","0","90"
"A 09-21","Aybar Academy, Corp.","Carr #2, Km. 45.2 Sect Coto Norte","Manatí","00674","PO BOX 59","Manatí","00674","(787) 621-0624","(787) 381-0637","aybar.academy@gmail.com","miguelinamelendez@hotmail.com","(787) 621-0624","(787) 381-0637","Miguelina Meléndez Aybar, Presidenta","Miguelina Meléndez Aybar, Presidenta","Miguelina Meléndez Aybar, Presidenta","Miguelina Meléndez Aybar, Presidenta","0","0","0","0","2","0","1","4","1","3","0","2","2","1","2","4","6","0","28"
"A 09-23","Little Friends Bilingual School","Jardines de Monaco 2 Calle España # A-2 Manati,P.R. 00674","Manatí","00674","Jardines de Monaco 2 Calle España # A-2 Manati,PR","Manatí","00674","(787) 530-0862","(787) 962-5092","lfdcmanati@gmail.com","gilanacorp@hotmail.com","(787) 530-0862",,"Jackeline Rodriguez","Jackeline Rodriguez","N/A","N/A","0","10","10","0","15","10","7","0","0","0","0","0","0","0","0","0","0","0","52"
"A 10-02","Puerto Rico Preparatory School","Carr Número 155, Km. 52.6, Barrio Torrecillas, Sect Lajas","Morovis","00687","PO BOX 2218","Morovis","00687","(787) 862-2047","(787) 369-5518","colegioprps@yahoo.com","rowyr@yahoo.com","(787) 862-2047","(787) 862-4690","Lisandra Montes Santiago","Lisandra Montes Santiago","Lisandra Montes Santiago","N/A","0","22","32","0","35","25","21","31","19","20","0","19","14","15","0","0","0","0","253"
"A 10-04","Programa de Alternativas Educativas, Inc.","Calle Principal #25, Esq. Ruiz Belvis, Barrio Pueblo","Morovis","00687","Urb Jardines de Montellano #824, Calle Monte Everest","Morovis","00687","(787) 862-5864","(787) 610-5919","betsy.negron@yahoo.com","alternativa_educativa@hotmail.com","(787) 862-5864","(787) 610-5919","n/a","n/a","Betsy Negrón Otero","Betsy Negrón Otero","0","0","0","0","0","0","0","0","0","0","0","0","4","8","0","0","39","0","51"
"A 11-01","Colegio San Juan Bautista","Barrio Barros, Carr 157, Km. 23.7 Int","Orocovis","00720","PO BOX 1877","Orocovis","00720","(787) 867-2295","(787) 867-2295","altarceleste24@gmail.com","zairaypacheco@hotmail.com","(787) 867-2295","(787) 867-2295","Araceli Reyes","Araceli Reyes","Magna Martinez","Magna Martinez","0","18","30","0","25","29","33","26","28","28","0","26","30","17","27","12","14","0","343"
"A 12-01","Centro de Educación Integral Soles del Jardín, Inc.","Carr 478 KM 0.0 Int. 113 - 480, Barrio San Antonio","Quebradillas","00678","9087 Fito Valle,","Quebradillas","00678","(787) 895-2492","(787) 427-6537","solesdeljardin123@gmail.com","normaidelpilar@gmail.com","(787) 895-2492","(787) 895-2492","Norma I. del Pilar Rivera","Norma I. del Pilar Rivera","Norma I. del Pilar Rivera","n/a","3","13","13","0","17","9","14","11","14","23","0","4","0","0","0","0","0","0","121"
"A 13-02","Academia Dailén, Inc.","Ave Hospital, Calle Fray Ottokarweser #1","Utuado","00641","Colinas San Jose #1","Utuado","00641","(787) 894-1083","(787) 450-1083","academiadailen@hotmail.com","jekaotoarina@hotmail.com","(787) 450-1083","(787) 567-4107","Daisy Rodríguez","Daisy Rodríguez","0","0","12","8","14","0","10","11","12","2","11","11","0","0","0","0","0","0","0","0","91"
"A 13-03","Colegio Utuadeño San José, Inc.","Calle Rolando Cabañas, Número 34","Utuado","00641","Calle Rolando Cabañas, Número 34","Utuado","00641","(787) 894-3084","(787) 894-3084","cusj09@yahoo.com",,"(787) 894-3084","(787) 894-3084","Elvia L. Cortés Soto","Elvia L. Cortés Soto","no","no","0","9","19","0","21","17","15","13","12","13","0","0","0","0","0","0","0","0","119"
"A 14-01","Academia Claret","Urb Forest View , Calle Dakar F-169","Bayamón","00956","Urb Forest View, Calle Dakar F-169","Bayamón","00956","(787) 787-6685","(787) 786-8892","lissyrivera@academiaclaret.org","tomaslamberty@academiaclaret.org","(787) 786-7976","(787) 786-7976","Tomas Lamberty","Tomas Lamberty","Tomas Lamberty",,"0","16","27","0","38","28","40","36","29","32","0","20","25","0","0","0","0","0","291"
"A 14-03","Mi Oasis Infantil","Urb Los Almendros, Calle Tilo EA-32","Bayamón","00961","Urb Royal Town, Calle 44, Bloque 2, Casa #4","Bayamón","00956","(787) 785-9069","(787) 799-8475","myrtariverafranco@hotmail.com",,"(787) 799-8475","(787) 785-9069","Myrtelina Rivera Franco","Myrtelina Rivera Franco","Myrtelina Rivera ranco",,"20","23","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67"
"A 14-04","Bayamón Academy","Urb Extensión La Milagrosa T-22, T-23, T-24, Ave Padre Mariano","Bayamón","00959","Ext. La Milagrosa, T-22, T-23, T-24 Ave. Padre Mariano","Bayamón","00959","(787) 787-9332","(787) 787-9332","bayamonacademy@gmail.com","neyk.mas@gmail.com","(787) 269-0564",,"Mercedes Oyola Cintrón, Principal","Mercedes Oyola Cintrón, Principal","Mercedes Oyola Cintrón, Principal","Mercedes Oyola Cintrón, Principal","0","5","5","0","4","5","5","5","6","5","0","5","5","6","4","4","4","0","68"
"A 14-06","Athena Bilingual Academy","Urb Santa Juanita, Ave Hostos WC-33 y Calle Campeche #32","Bayamón","00956","Urb Santa Juanita, Ave. Hostos WC-33 y Calle Campeche #32","Bayamón","00956","(787) 798-0920","(787) 675-3033","glorypanos@gmail.com","athenabapr@gmail.com","(787) 269-0509",,"Glorimar Panos","Glorimar Panos","George Panos","George Panos","8","19","32","0","38","61","53","30","19","26","0","8","1","0","0","0","0","0","295"
"A 14-10","Colegio San Agustín","Urb Lomas Verdes, 2E-21 Calle Duende","Bayamón","00958","PO BOX 4263, Bayamón Gardens Station","Bayamón","00956","(787) 786-8055","(787) 786-8056","principalcsa@gmail.com",,"(787) 786-8085","(787) 786-8085","P. Edwin Lorenzo, OSA","P. Edwin Lorenzo, OSA","P. Edwin Lorenzo, OSA",,"0","6","16","0","13","15","20","28","24","41","0","19","39","0","0","0","0","0","221"
"A 14-100","Kokopelli Pre-School & Elementary School","Calle 18, Bloque R-5, Urb Flamboyán Gardens","Bayamón","00959","Urb Flamboyán Gardens, Calle 18, Bloque R-5","Bayamón","00959","(787) 785-6178","(787) 408-7243","kokojavier@gmail.com",,"(787) 785-6178",,"Javier E. Mateo Noriega","Javier E. Mateo Noriega","Javier E. Mateo Noriega",,"13","8","7","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","44"
