"caso","tr_mite","fecha_de_radicaci_n","a_o_de_radicaci_n","mes_de_radicaci_n","catastro","municipio","direcci_n","regi_n","status","adjudicado_o_pendiente","fecha_de_adjudicaci_n","siglas","x","y","radicado_por_pa","nombre_del_proyecto","publico_o_privado","rural_o_urbano","due_o_del_proyecto","location_1","lat","lon"
"2014-309636-PUS-13501","Permiso de Uso Completo","2015-01-23T00:31:00.000","2015","2015.01","112-064-575-29","Toa Alta","Carr-827, Km. 5.0, Bo. Piña Int, Piñas, Toa Alta","Central","Archivado","Adjudicado","2015-06-16T00:00:00.000","PUS-CONV","221757.88679516001","257673.086020849","No","GABRIEL VELILLA CHEVRES","Privado","Rural","GABRIEL VELILLA CHEVRES","(18.3542957305908, -66.2274703979492)","18.354295730590799","-66.227470397949205"
"2014-296957-PUS-13481","Permiso de Uso Certificado","2015-01-21T08:19:00.000","2015","2015.01","420-071-468-87","Guayama","Carr. Pr-54 Esq. Ave Arnaldo Bristol, 0, Machete, Barrio Pueblo, Guayama","Humacao","Expedido","Adjudicado","2015-01-21T00:00:00.000","PUS-CERT","233128.663950719","215749.49946814001","No","BMA of Guayama Inc, d/b/a FMC Guayama Dialysis","Privado","Urbano","CARLOS  RODRIGUEZ ","(17.9753742218017, -66.1205596923828)","17.975374221801701","-66.120559692382798"
"2015-313416-PUS-13461","Permiso de Uso Certificado","2015-01-20T15:19:00.000","2015","2015.01","112-058-381-03","Toa Alta","Carr. 829 , Km. 2.1 , Sector Rodriguez, Ortiz, Toa Alta","Central","Pre-aprobado","Pendiente",,"PUS-CERT","224154.40478107001","257962.31959247001","Si","TORONJAL SALON BILLAR","Privado","Rural","VIVIANA GONZALEZ RIVERA","(18.3568820953369, -66.2047958374023)","18.3568820953369","-66.204795837402301"
"2012-053307-PUS-13422","Permiso de Uso Certificado","2015-01-20T10:43:00.000","2015","2015.01","030-000-007-01","Arecibo","Pr-651, 2.0, Los Aires, Hato Abajo, Arecibo","Arecibo","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","168637.230827919","268306.62464862899","Si","Urbanizacion Los Aires","Privado","Rural","JUAN GALANES ","(18.450246810913, -66.730239868164)","18.450246810913001","-66.730239868164006"
"2015-313816-PUS-13421","Permiso de Uso Certificado","2015-01-20T10:39:00.000","2015","2015.01","049-033-083-23","Quebradillas","Carr 113, 15.9, ., San Antonio, Quebradillas","Aguadilla","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","148245.04087468001","265645.233741139","No","CHUTYS CAFE","Privado","Rural","JESÚS MALDONADO SÁNCHEZ ","(18.4258060455322, -66.9232177734375)","18.425806045532202","-66.9232177734375"
"2015-313579-PUS-13401","Permiso de Uso Certificado","2015-01-20T09:53:00.000","2015","2015.01","056-022-064-20","Manatí","Calle Padial Esq. Betances, Primera Planta / # 31, Pueblo, Barrio Pueblo, Manatí","Arecibo","Pre-aprobado","Pendiente",,"PUS-CERT","193800.72352045","265705.24529145","Si","EL CASTILLO ","Privado","Urbano","CYDMARIE CABEZA ROSARIO","(18.4269657135009, -66.4920120239257)","18.426965713500898","-66.492012023925696"
"2015-313724-PUS-13383","Permiso de Uso Certificado","2015-01-20T08:58:00.000","2015","2015.01","169-031-021-09","Naranjito","Calle Georgetti , Local # 52, Pueblo, Barrio Pueblo, Naranjito","Central","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","220024.97550082","251731.14165417","No","OFICINA MEDICA Y CENTRO DE TERAPIA FISICA","Privado","Urbano","JOSE ARIAS ","(18.3006286621093, -66.2439270019531)","18.3006286621093","-66.243927001953097"
"2013-202080-PUS-13382","Permiso de Uso Certificado","2015-01-20T08:50:00.000","2015","2015.01","068-088-023-55","Aguada","Pr-115, 22.3 Interior, Sector Casualidad, Guayabo, Aguada","Aguadilla","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","118444.90824724","260382.283773509","No","Residencia Diana M. Rodriguez & Jorge D. Roldan","Privado","Rural","DIANA RODRIGUEZ MORENO","(18.3773307800292, -67.2050704956054)","18.377330780029201","-67.205070495605398"
"2015-313722-PUS-13381","Permiso de Uso Certificado","2015-01-20T08:39:00.000","2015","2015.01","110-099-003-12","Corozal","Calle Bou, Unidad 7, Pueblo, Barrio Pueblo, Corozal","Central","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","212020.414534229","256358.56974663","No","OFICINA MEDICA Y CENTRO DE TERAPIA FISICA","Privado","Urbano","JOSE ARIAS ","(18.3424949645996, -66.3196105957031)","18.342494964599599","-66.319610595703097"
"2015-313616-PUS-13361","Permiso de Uso Completo","2015-01-19T15:40:00.000","2015","2015.01","266-074-042-27","Adjuntas","Dr Barbosa, 20, Pueblo, Barrio Pueblo, Adjuntas","Ponce","Expedido","Adjudicado","2015-01-29T00:00:00.000","PUS-CONV","169186.02686290001","236428.870884459","No","FERNANDINI OPTICAL GALLERY,INC","Privado","Rural","HECTOR  ORTIZ FERNANDINI","(18.1622467041015, -66.7245635986328)","18.162246704101499","-66.724563598632798"
"2015-313296-PUS-13341","Permiso de Uso Completo","2015-01-19T13:45:00.000","2015","2015.01","034-051-452-20","Manatí","Manati Carr   8, 2.5, Tierras Nuevas, Tierras Nuevas Saliente, Manatí","Arecibo","Expedido","Adjudicado","2015-02-20T00:00:00.000","PUS-CONV","193197.56804879001","268067.99040354899","No","LABORATORIO TIERRAS NUEVAS,INC","Privado","Urbano","JUAN SOTO ","(18.4483089447021, -66.4977264404296)","18.448308944702099","-66.497726440429602"
"2014-302777-PUS-13321","Permiso de Uso Certificado","2015-01-19T09:48:00.000","2015","2015.01","361-051-126-03","Yauco","Camino Municipal Principal, Lote #4, Sector La Republica, Almácigo Bajo, Yauco","Ponce","Expedido","Adjudicado","2015-02-17T00:00:00.000","PUS-CERT","153378.16057489","223374.434506939","No","Residencia H/A/B Oscar Gutierrez","Privado","Rural","OSCAR GUTIERREZ OLIVERAS","(18.0440158843994, -66.873664855957)","18.0440158843994","-66.873664855957003"
"2015-313260-PUS-13301","Permiso de Uso Certificado","2015-01-19T07:48:00.000","2015","2015.01","016-194-007-07","Manatí","Carr648, Km.1.0, Sector Mar Chiquita, Tierras Nuevas Saliente, Manatí","Arecibo","Expedido","Adjudicado","2015-02-09T00:00:00.000","PUS-CERT",,,"No","William Nadal","Privado","Rural","WILLIAM NADAL NIEVES",,,
"2015-313377-PUS-13282","Permiso de Uso Certificado","2015-01-19T07:39:00.000","2015","2015.01","068-085-413-21","Aguada","115, 19.6, Guayabo, Guayabo, Aguada","Aguadilla","Expedido","Adjudicado","2015-01-23T00:00:00.000","PUS-CERT","116683.13453842","260504.78074977","No","Héctor Arroyo-Permiso de Uso","Privado","Urbano","HECTOR ARROYO ","(18.3783683776855, -67.2217483520507)","18.378368377685501","-67.221748352050696"
"2015-312756-PUS-13261","Permiso de Uso Certificado","2015-01-18T17:30:00.000","2015","2015.01","090-077-035-14","Río Grande","Calle Juan R. Gonzalez, 17-A, Pueblo Nuevo, Barrio Pueblo, Río Grande","Central","Pre-aprobado","Pendiente",,"PUS-CERT","263509.22257922002","260604.514215779","Si","PERMISO USO ESCUELA DE MUSICA DE RG","Privado","Urbano","RICHARD WILLIAMS ","(18.3799495697021, -65.8323516845703)","18.379949569702099","-65.832351684570298"
"2015-309978-PUS-13241","Permiso de Uso Certificado","2015-01-17T16:44:00.000","2015","2015.01","228-079-149-20","Naguabo","Carr. 950, Km. 0.2, Higuerillo, Peña Pobre, Naguabo","Humacao","Expedido","Adjudicado","2015-01-29T00:00:00.000","PUS-CERT","264551.04568796","243435.606037049","No","Vivienda Unifamiliar","Privado","Rural","WILLIAM RIVERA 00718","(18.2248020172119, -65.8230285644531)","18.2248020172119","-65.823028564453097"
"2015-313096-PUS-13221","Permiso de Uso Certificado","2015-01-17T07:26:00.000","2015","2015.01","377-087-002-29","Yabucoa","Pr 901, Km 5.6, El Negro, Camino Nuevo, Yabucoa","Humacao","Expedido","Adjudicado","2015-01-17T00:00:00.000","PUS-CERT","263605.905339349","222294.10554609","Si","Cambio de nombre Corp Costa Del Mar, Inc","Privado","Rural","JUAN LOPEZ MEDINA","(18.0338191986083, -65.8326263427734)","18.033819198608299","-65.832626342773395"
"2015-313196-PUS-13201","Permiso de Uso Certificado","2015-01-16T21:26:00.000","2015","2015.01","188-046-005-32","Utuado","Carr. Pr-123, Km. 56.8, Salto Arriba, Barrio Pueblo, Utuado","Arecibo","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","169942.597899699","247741.96523095001","No","Restaurante Olán","Privado","Rural","MANUEL MENA BERDECÍA","(18.2644691467285, -66.7175750732421)","18.264469146728501","-66.717575073242102"
"2015-312116-PUS-13181","Permiso de Uso Certificado","2015-01-16T17:55:00.000","2015","2015.01","042-000-002-70","Loíza","Carretera Pr 187, Kilometro 5 Hectometro 4, Sector La Torre, Torrecilla Baja, Loíza","Central","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","247975.90733032001","269088.22964352899","No","Rest con Venta de B/A/D con Recreacion Comercial","Privado","Rural","LUIS MIGUEL AGOSTO CLEMENTE ","(18.4570007324218, -65.9791412353515)","18.4570007324218","-65.979141235351506"
"2015-313176-PUS-13161","Permiso de Uso Certificado","2015-01-16T16:21:00.000","2015","2015.01","037-000-003-28","Dorado","Suite 1002 Carr. 696 Ave. José Efrón 602, K.M. 2.3, Paseo Del Plata, Higuillar, Dorado","Central","Expedido","Adjudicado","2015-01-19T00:00:00.000","PUS-CERT","215842.2895753","269074.11088192899","Si","Zurixx Oficina de Dorado","Privado","Rural","RUTH L. CARRERAS ","(18.4573516845703, -66.2833557128906)","18.457351684570298","-66.283355712890597"
"2014-309483-PUS-13141","Permiso de Uso Certificado","2015-01-16T14:11:00.000","2015","2015.01","437-006-019-23","Santa Isabel","Calle Luis Munoz Rivera, 37, Bo. Pueblo, Barrio Pueblo, Santa Isabel","Ponce","Expedido","Adjudicado","2015-01-16T00:00:00.000","PUS-CERT","203207.88219039","214591.11983136","Si","Farmacia Rey 16 - Santa Isabel","Privado","Urbano","JUAN REYNOSO ","(17.9651622772216, -66.4030456542968)","17.965162277221602","-66.403045654296804"
"2015-313076-PUS-13121","Permiso de Uso Certificado","2015-01-16T13:28:00.000","2015","2015.01","171-040-425-25","Aguas Buenas","Carr. 797, 0.3, Sector Avon, Jagüeyes, Aguas Buenas","Humacao","Expedido","Adjudicado","2015-01-16T00:00:00.000","PUS-CERT","238790.58934648","251689.620123439","No","RESTAURANTE CVBA AL DETAL Y CIGARRILLOS","Privado","Rural","ALEXIS CEDRES PAGAN","(18.2999954223632, -66.0664291381835)","18.2999954223632","-66.066429138183494"
"2015-313018-PUS-13101","Permiso de Uso Certificado","2015-01-16T12:54:00.000","2015","2015.01","209-073-001-08","Mayagüez","Museo Y Centro De Servicios Multiples, ., Carr. 354, Río Cañas Arriba, Mayagüez","Aguadilla","Expedido","Adjudicado","2015-01-16T00:00:00.000","PUS-CERT","135142.53396530001","243489.616997009","No","FESTIVAL DE TROVADORES ( KIOSKO)","Privado","Rural","MERCEDES MARTY ","(18.2252807617187, -67.046531677246)","18.2252807617187","-67.046531677245994"
"2014-278414-PUS-13081","Permiso de Uso Completo","2015-01-16T12:26:00.000","2015","2015.01","129-021-141-02","San Sebastián","Calle Ruiz Belvis, 0, Casco Urbano, Bahomamey, San Sebastián","Aguadilla","Expedido","Adjudicado","2015-02-19T00:00:00.000","PUS-CONV","140796.26469693001","255624.16042644001","No","Antiguo Cementerio Municipal","Público","Urbano","JAVIER JIMENEZ ","(18.3350753784179, -66.9934310913085)","18.335075378417901","-66.993431091308494"
"2015-310176-PUS-13062","Permiso de Uso Certificado","2015-01-16T11:04:00.000","2015","2015.01","278-007-108-47","San Lorenzo","Carr. 183 Ramal 916, 10.5, Cerro Gordo, Cerro Gordo, San Lorenzo","Humacao","Expedido","Adjudicado","2015-01-16T00:00:00.000","PUS-CERT","250173.53450805001","238815.42363812","No","1 KIOSCO EXHIBICIÓN DE AUTOS","Privado","Rural","RAFAEL ALEJANDRO ","(18.183443069458, -65.9590759277343)","18.183443069458001","-65.959075927734304"
"2015-312917-PUS-13061","Permiso de Uso Certificado","2015-01-16T11:01:00.000","2015","2015.01","397-093-514-33","Guayama","Calle Cristo Rey, Num. 248, Comunidad Olimpo, Caimital, Guayama","Humacao","Expedido","Adjudicado","2015-01-28T00:00:00.000","PUS-CERT","234189.13519825001","218531.270085839","No","RINCON DEPORTIVO","Privado","Rural","LUZ DONES RODRIGUEZ","(18.0004920959472, -66.1105041503906)","18.000492095947202","-66.110504150390597"
"2015-312796-PUS-13041","Permiso de Uso Certificado","2015-01-16T09:45:00.000","2015","2015.01","058-079-038-04","Vega Alta","Carr.Pr-2, Parcela 17, Sector Comunidad Rural Carmen, Espinosa, Vega Alta","Arecibo","Pre-aprobado","Pendiente",,"PUS-CERT","211829.23941285","264226.73219576001","Si","IXCHEL","Privado","Urbano","EDNALÍ MARRERO RODRIGUEZ","(18.4135837554931, -66.3213729858398)","18.4135837554931","-66.321372985839801"
"2015-312797-PUS-13021","Permiso de Uso Certificado","2015-01-16T09:27:00.000","2015","2015.01","075-000-007-30","Hatillo","Carr. 129, 13.6, ., Bayaney, Hatillo","Arecibo","Expedido","Adjudicado","2015-01-16T00:00:00.000","PUS-CERT","161497.698849729","260042.736866199","No","CAFETERIA ACEVEDO","Privado","Rural","EDGARDO ACEVEDO ","(18.3754692077636, -66.7976684570312)","18.375469207763601","-66.797668457031193"
"2013-198278-PUS-13004","Permiso de Uso Certificado","2015-01-16T08:16:00.000","2015","2015.01","125-068-226-01","Rincón","Pr-412 , Km. 7.3(Int.) , Jaguey, Jagüey, Rincón","Aguadilla","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","118953.67729613","254295.83404305001","No","Residencia del Sr. Efrain Colombani","Privado","Rural","EFRAIN COLOMBANI ","(18.3223609924316, -67.2000198364257)","18.322360992431602","-67.200019836425696"
"2015-312777-PUS-13003","Permiso de Uso Certificado","2015-01-16T07:55:00.000","2015","2015.01","168-000-007-03","Corozal","Pr-803 , Km. 6.7(Int.) Lote #2, Palos Blancos, Palos Blancos, Corozal","Central","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","214434.60471302","249602.83385135001","No","Residencia del Sr. Melvin Melendez","Privado","Rural","MELVIN MELENDEZ ","(18.2814445495605, -66.2968139648437)","18.281444549560501","-66.296813964843693"
"2014-245004-PUS-13002","Permiso de Uso Certificado","2015-01-16T07:07:00.000","2015","2015.01","096-005-423-12","Aguada","Pr-414, Km. 2.0(Int.) Lote #11, Guayabo, Guayabo, Aguada","Aguadilla","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","116652.35866622","259696.69003405","No","RESDIENCIA DEL SR. OSVALDO RIVERA GONZALEZ","Privado","Rural","OSVALDO RIVERA GONZALEZ","(18.3710670471191, -67.2220077514648)","18.371067047119102","-67.222007751464801"
"2015-312776-PUS-13001","Permiso de Uso Certificado","2015-01-16T06:01:00.000","2015","2015.01","120-070-006-20","Luquillo","Carr. 940, Km. 43.8, Juan Martin, Juan Martín, Luquillo","Central","Expedido","Adjudicado","2015-01-16T00:00:00.000","PUS-CERT","278599.079194349","257485.06548629","Si","IGLESIA-ESCUELA UNIVERSAL DE JESUCRISTO","Privado","Urbano","ANGEL  SANCHEZ ","(18.3512649536132, -65.6896743774414)","18.3512649536132","-65.689674377441406"
"2015-312179-PUS-12981","Permiso de Uso Certificado","2015-01-15T18:12:00.000","2015","2015.01","039-094-352-09","Toa Baja","Ave Comerio, #1, Urb Industrial Levittown, Barrio Pueblo, Toa Baja","Central","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","228301.81871026001","266967.79346973001","Si","Iron Fist ITF Young Brothers LLC","Privado","Rural","JOSEPH SOTO ","(18.43819338, -66.16542598)","18.438193380000001","-66.165425979999995"
"2015-312677-PUS-12961","Permiso de Uso Certificado","2015-01-15T17:38:00.000","2015","2015.01","368-000-004-28","Coamo","Carretera Numero 545, Km. 5.4, Solar Num. 3, Los Llanos, Coamo","Ponce","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","203670.36549615001","223885.6911118","No","Arnaldo Alvarado","Privado","Rural","ARNALDO ALVARADO ","(18.0491371154785, -66.3986663818359)","18.049137115478501","-66.398666381835895"
"2015-312157-PUS-12921","Permiso de Uso Certificado","2015-01-15T13:33:00.000","2015","2015.01","407-000-006-01","Guánica","Carr Pr-116,  Km, 2.5, Ensenada, Ensenada, Guánica","Ponce","Expedido","Adjudicado","2015-01-15T00:00:00.000","PUS-CERT","147873.36834484001","215232.13953883","Si","Cambio Nombre Corporativo Guanica 1929","Privado","Rural","JUAN LOPEZ ","(17.970323562622, -66.9254531860351)","17.970323562621999","-66.925453186035099"
"2015-312436-PUS-12901","Permiso de Uso Certificado","2015-01-15T13:18:00.000","2015","2015.01","283-050-010-13","Hormigueros","Calle Julio Perez Irizarry , Núm. 1, Esq, Calle Mateo Fajardo, Barrio Pueblo, Hormigueros","Aguadilla","Expedido","Adjudicado","2015-01-15T00:00:00.000","PUS-CERT","126569.315542319","234067.670456939","No","TRAGUITOS BAR & GRILL","Privado","Urbano","ISRAEL  RIVERA  ","(18.1398773193359, -67.1272506713867)","18.139877319335898","-67.127250671386705"
"2014-307554-PUS-12881","Permiso de Uso Completo","2015-01-15T12:59:00.000","2015","2015.01","207-000-009-29","Mayagüez","Carretera 2, 259 N Recinto Mayaguez, Ave. Boulevard Alfonzo Valdes, Miradero, Mayagüez","Aguadilla","Archivado","Adjudicado","2015-01-20T00:00:00.000","PUS-CONV","124601.59952786","242882.77589292001","No","FACILIDADES DE TELECOMUNICACIONES, MAYAGUEZ RUM","Privado","Rural","JI SITES DEVELOPERS, LLC ","(18.2194519042968, -67.1461715698242)","18.2194519042968","-67.146171569824205"
"2015-312397-PUS-12861","Permiso de Uso Certificado","2015-01-15T12:36:00.000","2015","2015.01","069-024-212-30","Aguada","Carr 417 , 2.0, Sect. Malpaso, Carrizal, Aguada","Aguadilla","Expedido","Adjudicado","2015-01-15T00:00:00.000","PUS-CERT","122617.73750694","262505.52760843001","No","1 KIOSKO CON B.A.D AGROCENTRO KEKO","Privado","Rural","CARMEN AVILES ","(18.3966674804687, -67.1656646728515)","18.3966674804687","-67.165664672851506"
"2015-311756-PUS-12841","Permiso de Uso Certificado","2015-01-15T11:51:00.000","2015","2015.01","216-096-033-29","Jayuya","Calle Esteves, #99, Pueblo, Barrio Pueblo, Jayuya","Ponce","Expedido","Adjudicado","2015-01-15T00:00:00.000","PUS-CERT","183086.09154359001","242557.46054976","Si","Comercio General - Calle Esteves - Jayuya","Privado","Urbano","JOSE REYES ","(18.2177715301513, -66.5932388305664)","18.2177715301513","-66.593238830566406"
"2015-312256-PUS-12821","Permiso de Uso Certificado","2015-01-15T10:49:00.000","2015","2015.01","294-073-188-21","Villalba","Calle #2, A-10, Urb. Vista Alegre, Vacas, Villalba","Ponce","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","194768.761591699","232951.82996030001","No","Construccion de Residencia - Jorge Maldonado","Privado","Rural","JORGE MALDONADO ","(18.131046295166, -66.4827651977539)","18.131046295166001","-66.482765197753906"
"2014-239312-PUS-12801","Permiso de Uso Certificado","2015-01-15T10:23:00.000","2015","2015.01","153-000-009-16","Arecibo","Carr. 637, Km. 0.6 Int., Sector Abra Fria, Miraflores, Arecibo","Arecibo","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT",,,"No","Residencia Xiomara Acevedo","Privado","Rural","XIOMARA ACEVEDO ",,,
"2015-312216-PUS-12781","Permiso de Uso Certificado","2015-01-15T09:37:00.000","2015","2015.01","310-000-010-95","San Germán","Carr. 362, 5.7, Cancha Bajo Techo Del Guama, Guamá, San Germán","Aguadilla","Expedido","Adjudicado","2015-01-15T00:00:00.000","PUS-CERT","139435.868059339","230094.9124383","No","  OCTAVISTAS NAVIDEÑAS ( KIOSKO CANCHA)","Privado","Rural","JACOBO ORTIZ ","(18.1043853759765, -67.0055465698242)","18.104385375976499","-67.005546569824205"
"2015-312196-PUS-12761","Permiso de Uso Certificado","2015-01-15T09:14:00.000","2015","2015.01","056-013-011-25","Manatí","Calle G- # 16, ., Urb. Flamboyan, Barrio Pueblo, Manatí","Arecibo","Expedido","Adjudicado","2015-01-15T00:00:00.000","PUS-CERT","194542.942668409","266250.709902759","No","TUBB.PR","Privado","Urbano","JESUS LOUBRIEL ","(18.4318943023681, -66.4849853515625)","18.4318943023681","-66.4849853515625"
"2012-049320-PUS-12741","Permiso de Uso Certificado","2015-01-15T09:08:00.000","2015","2015.01","140-000-006-89","Corozal","803, 15.2 Int., Los Batatos, Dos Bocas, Corozal","Central","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","213118.79574674901","254255.78817556001","No","Joel Ocasio Vazquez","Privado","Rural","JOEL OCASIO VAZQUEZ","(18.3234920501708, -66.3092346191406)","18.323492050170799","-66.309234619140597"
"2014-300579-PUS-12724","Permiso de Uso Completo","2015-01-15T08:46:00.000","2015","2015.01","115-100-064-16","Trujillo Alto","Carr 175 , 11.0, -, Carraízo, Trujillo Alto","Central","Cancelado","Adjudicado","2015-02-20T00:00:00.000","PUS-CONV","245593.90026113001","256667.5316202","No","Taller de mecanica","Privado","Urbano","NEESTOR VARGAS ","(18.344835281372, -66.001968383789)","18.344835281371999","-66.001968383789006"
"2015-312177-PUS-12723","Permiso de Uso Certificado","2015-01-15T08:38:00.000","2015","2015.01","056-012-024-06","Manatí","# 44 Caribe, Pueblo, ., Barrio Pueblo, Manatí","Arecibo","Expedido","Adjudicado","2015-01-15T00:00:00.000","PUS-CERT","194091.60091645","265952.97205108003","No","EMPRESAS ROSELY","Privado","Rural","JUAN  RIOS  ","(18.4292030334472, -66.4892578125)","18.429203033447202","-66.4892578125"
"2013-136922-PUS-12722","Permiso de Uso Certificado","2015-01-15T08:36:00.000","2015","2015.01","368-010-328-41","Coamo","Pr-14, 29.2, San Ildenfonso, San Ildefonso, Coamo","Ponce","Expedido","Adjudicado","2015-01-20T00:00:00.000","PUS-CERT","205724.51739184","225031.792973209","No","Legalización de Ampliación de Residencia R. Colón","Privado","Urbano","RAFAEL COLÓN FLORES","(18.0594882965087, -66.3792648315429)","18.0594882965087","-66.379264831542898"
