"nombre_de_la_institucion","unidad_academica","principal_ejecutivo","telefono","direccion_pag_web","correo_electronico","direccion_fisica","direccion_fisica_2","pueblo"
"Escuela de Medicina San Juan Bautista",,"Yocasta Brugal","(787) 743-3038","www.sanjuanbautista.edu","ybrugal@sanjuanbautista.edu","Turabo Gardens Road 172 Caguas to Cidra",,"CAGUAS"
"Herbert Fletcher University",,"David Siguelnitzky","(787) 712-3732","www.hfuniversity.org","academicad@hfuniversity.org","Carr. #2 Km. 158.2 Avenida Hosto #74 Bo. Guanajibo",,"MAYAGUEZ"
"Huertas College Caguas",,"Maria del Mar López","(787) 746-1400","www.huertas.edu","rbonilla@huertas.edu","Calle Héctor R. Bunker #41",,"CAGUAS"
"Humacao Community College",,"Jorge E. Mojica Rodriguez","(787) 852-1430","www.hccpr.edu","jmojica@hccpr.edu","Ave. Cruz Ortiz Stella #68",,"HUMACAO"
"Industrial Biotechnological Institute IBI",,"Rodulio Caudales Cepero","(787) 410-6894","www.ibipr.com","caudales@gmail.com","Carretera 871 Barrio Arenas",,"SAN JUAN"
"Instituto Comercial de PR Junior College","Recinto de Hato Rey","Olga Rivera","(787) 753-6000","www.icprjc.edu","orivera@icprjc.edu","Munoz Rivera 558","Hato Rey","SAN JUAN"
"Instituto de Banca y Comercio","Recinto de San Juan","Michael Bannett","(787) 751-7120","www.ibanca.net","mbannett@edukgroup.com","Ave. Ponce de Leon # 61, Barrio Hato Rey",,"SAN JUAN"
"Instituto para el Desarrollo Humano",,"Miguel A. Arrieta Morales","(787) 753-0520","www.idhpr.com","miguelarrieta1@gmail.com","Roosevelt 242 Esq Calle Unión Piso 4","Hato Rey","SAN JUAN"
"Instituto Sexológico, Educativo y Psicológico de PR",,"Alicia Fernández","(787) 468-3320","www.iseppr.com","info@iseppr.com","Avda. Sánchez Osorio 5H-5","Villa Fontana","CAROLINA"
"Instituto Tecnológico de Puerto Rico","Recinto de Guayama","Julia Keleher","(787) 773-5800","http://itec.dde.pr/","keleherj@de.pr.gov","Calle Federico Costa #150","Urb. Industrial Tres Monjitas, Hato Rey","SAN JUAN"
"Lomalinda University",,"Amarilys Irizarry","(787) 834-9595","home.llu.edu","airizarry@uaa.edu","(Universidad Adventista de las Antillas) Carr. #106","Km. 2.2 Interior","MAYAGUEZ"
"Mech Tech College","Recinto de Caguas","Edwin J. Colón Cosme","(787) 744-1060","www.mechtech.edu","edwincolon@mechtech.edu","Parque Industrial Oeste","Calle B #39-40","CAGUAS"
"Monteclaro: Escuela de Hotelería y Artes Culinarias","Río Grande","Ana T. García Parra","(787) 888-1135","www.monteclaro.edu","agarcia@monteclaro.edu","Carretera 955 km 4.8",,"PALMER"
"National University College","Recinto de Bayamón","Gloria Baquero","(787) 780-5134","www.nuc.edu","gbaquero@nuc.edu","Carr. #2, Km. 11.2","Edificio National College Plaza,Edif. #1660","BAYAMON"
"Nova Southeastern University",,"George L. Hanbury","(787) 773-6501","www.nova.edu","amalave@nova.edu","997 Calle San Roberto","Professional Offices Park IV","SAN JUAN"
"Ponce Health Sciences University",,"David Lenihan","(787) 840-2575","www.psm.edu","dlenihan@psm.edu","388 Zona Industrial Reparada 2",,"Ponce"
"Ponce Paramedical College","Centro de Extensión en Mayagüez","Wilda Vélez Valdivieso","(787) 848-1589","www.popac.edu","wvelez1@popac.edu","Bo. Sábalos #410 Carretera #2",,"Coto Laurel"
"Pontificia Universidad Católica de PR","Recinto de Ponce","Jorge Iván Vélez Arocho","(787) 841-2000","www.pucpr.edu","jivelezarocho@pucpr.edu","2250 Boulevard Luis A. Ferré-Aguayo",,"PONCE"
"Rutgers University",,"Gloria Bonilla Santiago","(856) 225-6348","www.rutgers.edu","gloriab@camden.rutgers.edu","Calle Gonzalez #1012","Urb. Santa Rita, Río Piedras","SAN JUAN"
"Seminario Evangélico de Puerto Rico",,"Sergio Ojeda Cárcamo","(787) 763-6700","www.se-pr.edu","drsojeda@se-pr.edu","Avenida Ponce de León 776",,"SAN JUAN"
"Trinity College",,"María del Pilar Bonnin Orozco","(787) 842-0000","www.trincoll.edu","mpbonnin@trinitypr.edu","#834 Avenida Hostos",,"PONCE"
"Universal Technology College",,"Keila López Rivera","(787) 882-2065","www.unitecpr.edu","utcpresident@yahoo.com","Calle Muñoz Rivera #167",,"CAMUY"
"Universidad Adventista de las Antillas",,"Obed Jiménez","(787) 335-0102","www.uaa.edu","ojimenez@uaa.edu","Carr. #106 Km. 2.2 Interior",,"MAYAGUEZ"
"Universidad Ana G. Méndez",,"Migdalia Torres","(787) 288-1118","http://agmvirtual.suagm.edu/","ca_mtorres@suagm.edu","Avda. Ponce de León #1552, Urb. Reparto Seín","Sector El Cinco, Cupey","SAN JUAN"
"Universidad Carlos Albizu","Recinto de San Juan","José Pons Madera","(787) 725-6500","www.albizu.edu","jpons@albizu.edu","151 Calle Tanca",,"SAN JUAN"
"Universidad Central de Bayamón",,"Lillian Negrón-Colón","(787) 786-3030","www.ucb.edu.pr","lnegron@ucb.edu.pr","Avenida Zaya Verde Reparto la Milagrosa","Hato Tejas Bayamón","BAYAMON"
"Universidad Central del Caribe",,"José Ginel Rodríguez","(787) 798-3001","www.uccaribe.edu","jose.ginel@uccaribe.edu","Avda. Laurel #100","Urb. Santa Juanita","BAYAMON"
"Universidad Complutense de Madrid",,"Doel Quiñones","(787) 751-1912","www.ucm.es","doquinon@juris.inter.edu","(Universidad Interamericana, Escuela de Derecho)","Calle Federico Costa #84, Ubr. Industrial Tres Monjitas, Hato Rey","SAN JUAN"
"Universidad de Puerto Rico","en Aguadilla","Dra. Nivia A. Fernández Hernández","(787) 250-0000","www.upr.edu","nivia.fernandez1@upr.edu","Calle Flamboyán, Jardín Botánico Sur","Río Piedras","SAN JUAN"
"Universidad del Este","Recinto de Carolina","Mildred Huertas Solá","(787) 257-7373","http://estune.suagm.edu/","ue_mhuertas@suagm.edu","Carr # 190 Ave. Principal Sabana",,"CAROLINA"
"Universidad del Sagrado Corazón",,"Gilberto Marxuach","(787) 728-1515","www.sagrado.edu","gmarxuach@sagrado.edu","Calle Rosales, Esq. San Antonio","Parada 26 1/2","SAN JUAN"
"Universidad del Turabo","Recinto de Gurabo","Dennis Alicea Rodríguez","(787) 743-7979","www.suagm.edu/turabo","dalicear@suagm.edu","Carr. 189, Km. 3.3",,"GURABO"
"Universidad Interamericana de PR","Recinto Metropolitano-Centro Universitario de Caguas","Manuel J. Fernós","(787) 766-1912","www.inter.edu","mfernos@inter.edu","Calle Galileo Final #399","Urb. Villa Nevares, Río Piedras","SAN JUAN"
"Universidad Internacional Iberoamericana",,"Carmen Román","(787) 878-2126","www.unini.org","carmen.roman@unini.org","Carr. 658 Km. 1.3  Bo. Arenalejos Sector Palache",,"ARECIBO"
"Universidad Metropolitana","Recinto de Cupey","Carlos Padín Bibiloni","(787) 766-1717","www.suagm.edu/umet","cpadin@suagm.edu","1399 Ave. Ana G. Méndez","Carr. 176, Km. 0.03","SAN JUAN"
"Universidad Politécnica de Puerto Rico","San Juan","Ernesto Vázquez Barquet","(787) 622-8000","www.pupr.edu","evazquez@pupr.edu","Ave. Ponce de León 377","Hato Rey","SAN JUAN"
"Universidad Universal",,"Mercedes Rivera Valdés","(787) 706-7191","www.uupr.org","merivera@universalpr.com","Calle Méjico #16","Hato Rey","SAN JUAN"
"University of Miami",,"Anuj Mehrotra","(305) 284-1973","www.miami.edu","anuj@miami.edu","Carretera 165 #50","Sector Buchanan, Parque Industrial Amelia","GUAYNABO"
"University of Phoenix",,"Phillip Quintana","(787) 731-5400","www.phoenix.edu","jorge.rivera@phoenix.edu","Santander Tower at San Patricio","Calle Tabonuco B-7, suite 400","GUAYNABO"
