"organizaciones","n_mero_de_casoy_exenci_n","fecha_de_aprobadoo_denegado","fecha_de_efectividad","estatus"
"A.S.E.E.R. (Asociación de Servicios a Ex Adictos y Ex Confinados Incorporado)","87-1101 (13)-57","27 de agosto de 1987"," "," "
"AA Juvenil Villa Carolina, Corp","2011-1101.01-372","29 de mayo de 2012","15 de octubre de 1999"," "
"AARP","2011-1101.01-18","09 de noviembre de 2011","01 de enero de 2011"," "
"AAUW Puerto Rico Incorporated","2014-1101.01-287","24 de enero de 2017","1 de julio de 2014"," "
"Abbot Laboratories Puerto Rico Health Care Trust","95-1101 (12)-68","18 de septiembre de 1995","18 de septiembre de 1995"," "
"ABC Forum,Inc","01-1101 ( )-293","4 de septiembre de 2002"," ","Denegada"
"Abington Memorial Hospital","101 ( )","14 de febrero de 1967","14 de febrero de 1967"," "
"Able Ed Services, Inc.","93-101 (6)-169","3 de marzo de 1994","03 de marzo de 1994"," "
"Abraham's Promise, Inc.","07-1101 (4)-430","27 de febrero de 2008","29 de noviembre de 2007"," "
"Abrazando con Amor, Inc.","09-1101 (4)-72","18 de febrero de 2010","01 de enero de 2009"," "
"Abriendo Puertas al Futuro, Inc.","10-1101 (4)-210","10 de marzo de 2011","01 de septiembre de 2009"," "
"ABU de Puerto Rico, Inc.","09-1101 (4)-439","07 de junio de 2010","07 de febrero de 2009"," "
"Abundant Life Felowship Church, Inc.","97-1101 (4)-35","10 de marzo de 1997","10 de marzo de 1997"," "
"Academia Americana  de Pediatria Capitulo de Puerto Rico","99-1101 (5)-74","6 de agosto de 1999","6 de agosto de 1999"," "
"Academia Bautista de San Lorenzo, Inc.","06-101 (4)-428","21 de noviembre de 2007","1 de julio de 2006"," "
"Academia Bautista de Yauco,Inc","01-1101 (4)-198","20 de noviembre de 2001","20 de noviembre de 2001"," "
"Academia Bautista Sotera Sánchez, Inc.","96-1101 (4)-268","27 de junio de 1996","27 de junio de 1996"," "
"Academia Bilingue Visión Educativa Inc","2011-1101.01-239","25 de abril de 2014","1 de agosto de 2010"," "
"Academia Católica San Joaquín, Inc.","96-1101 (4)-213","16 de septiembre de 1996","16 de septiembre de 1996"," "
"Alfonsina,Inc","00-1101(4)-20","21 de diciembre de 2000","21 de diciembre de 2000"," "
"Academia Cooperativa de Integración Social, ACIS","2011-1101.01-373","04 de mayo de 2012","05 de agosto de 2008"," "
"Academia Cristiana Casa Corazón, Inc.","08-1101 (4)-138","14 de diciembre de 2009","01 de enero de 2008"," "
"Academia Cristiana Casa del Alfarero Inc","05-1101 (4)-362","19 de junio de 1996","22 de julio de 2005"," "
"Academia Cristiana de Candelaria Inc","2013-1101.01-107","22 de febrero de 2016","1 de julio de 2012"," "
"Academia Cristiana de Manatí, Inc.","2012-1101.01-1130","09 de enero de 2015","01 de julio de 2012"," "
"Academia Cristiana del Sur, Inc.","96-1101 (4)-160","26 de agosto de 1998","25 de agosto de 1998"," "
"Academia Cristiana Logos de Yaveh, Incorporado","06-1101 (4)-258","26 de abril de 2007","5 de agosto de 2006"," "
"Academia Cristiana un Nuevo Amanecer","01-1101 ( )-221","22 de febrero de 2002","22 de febrero de 2002"," "
"Academia Cristo de los Milagros, Inc.","85-101 (6)-4","14 de enero de 1983","28 de febrero de 1983"," "
"Academia Cristo Rey Inc","03-1101 ( )_249","19 de diciembre de 2003","19 de diciembre de 2003"," "
"Academia de Arte Ofelia Dacosta, Inc.","89-101(6)-67","10 de noviembre de 1989","10 de noviembre de 1989"," "
"Academia de Artes Manuales, Inc.","88-101 (6)-44","21 de diciembre de 1988","21 de diciembre de 1988"," "
"Academia de Artes y Ciencias de P.R., Inc.","101(6)","7 de mayo de 1962"," "," "
"Academia de Desarrollo Integral del Niño, Inc.","97-1101 (4)-138","3 de julio de 1997","3 de julio de 1997"," "
"Academia de Directores Médicos de Puerto Rico, Inc.","95-1101 (5)-124","22 de diciembre de 1985","22 de diciembre de 1985"," "
"Academia de Médicos de Familia de Puerto Rico, Inc.","87-101(7)-97","9 de noviembre de 1987","9 de noviembre de 1987"," "
"Academia del Carmen-Parroquia Nuestra Señora  del Carmen Arzobispado de San Juan, Iglesia
Católica Apostolica y Romana  en Puerto Rico","87-101(13)-89","23 de septiembre de 1987","30 de septiembre de 1987"," "
"Academia Discípulos de  Cristo","89-101(6)-392","22 de diciembre de 1989","22 de diciembre de 1989"," "
"Academia Discípulos de Cristo en Vega Alta, Inc.","2011-1101.01-244","24 de octubre de 2012","26 de febrero de 2003"," "
"Academia El Principito, Inc.","04-1101 (4)-70","10 de noviembre de 2005","10 de noviembre de 2005"," "
"Academia Guayamesa de Fútbol, Inc.","06-1101(6)-75","28 de marzo de 2007","28 de marzo de 2007"," "
"Academia Joeleanny Inc","2011-1101.01-240","23 de octubre de 2012"," ","Denegada"
"Academia Julio Torres Rodríguez, Inc.","93-101(6)-157","14 de febrero de 1994","17 de febrero de 1994"," "
"Academia La Milagrosa, Inc.","83-101(1)-38","21 de noviembre de 1983","04 de noviembre de 1983"," "
"Academia Maranatha, Inc.","89-101(6)-413","26 de febrero de 1990","26 de febrero de 1990"," "
"Academia Menonita Betania Inc.","88-101(6)-100","17 de agosto de 1989","17 de agosto de 1989"," "
"Academia Mundo Chico Inc","04-1101( )-182","13 de junio de 2005","13 de junio de 2005"," "
"Academia Musicastro Inc","05-1101( )-243","06 de junio de 2006"," ","Denegada"
"Academia Nuestra Señora de Fátima Inc","2013-1101.01-159","9 de octubre de 2014"," ","Denegada"
"Academia Nuestra Señora de Fátima, Inc.","2011-1101.01-60","15 de agosto de 2011"," ","Denegada"
"Academia Pedro Juan","01-1101()-258","16 de abril de 2002","16 de abril de 2002"," "
"Academia Pentecostal Bethel","04-1101 ( )-172","18 de octubre de 2004","18 de octubre de 2004"," "
"Academia Presbiteriana de Música Inc","2013-1101.01-56","28 de marzo de 2016","1 de julio de 2012"," "
"Academia Presbiteriana en Carolina Inc","2012-1101.01-177","22 de abril de 2015","16 de febrero de 1978"," "
"Academia Presbiteriana Rev. Juan E. Mercado, Inc."," "," "," "," "
"Academia Puertorriqueña de Belleza, Inc.","101(6)","29 de octubre de 1980","22 de octubre de 1980"," "
"Academia Puertorriqueña de Buceo Profesional, Inc.","2011-1101.01-150","16 de agosto de 2011","01 de enero de 2011"," "
"Amigos de Claridad","98-1101()-204","26 de abril de 2001"," ","Denegada"
"Academia Puertorriqueña de Jurisprudencia y Legislación Inc","2015-1101.01-8","10 de marzo de 2015","1 de julio de 2014"," "
"Academia Puertorriqueña de la Historia Corp.","96-1101(4)-161","08 de enero de 1987","08 de enero de 1987"," "
"Academia Puertorriqueña de la Lengua Española, Inc.","96-1101(4)-22","18 de noviembre de 1986","18 de noviembre de 1986"," "
"Academia Rosadrima, Inc.","101(7)","30 de septiembre de 1981","21 de agosto de 1981"," "
"Academia Sagrado Corazón, Inc.","96-1101(4)-724","06 de mayo de 1987","06 de mayo de 1987"," "
"Academia Sally Olsen, Inc.","2011-1101.01-33","18 de abril de 2012","01 de julio de 2010"," "
"Academia San Agustiny Espiritu Santo de  Sabana Grande","02-1101(4)-253","05 de agosto de 2002","05 de agosto de 2002"," "
"Academia San Antonio de Guayama, Inc.","87-101(13)-88","26 de agosto de 1987","15 de septiembre de 1987"," "
"Academia San Miguel,Inc","97-1101(4)-245","02 de septiembre de 1998","02 de septiembre de 1998"," "
"Academia San Pablo Discipulos de Cristo de Santa Juanita Bayamon","99-1101(4)-204","16 de febrero de 2000","16 de febrero de 2000"," "
"Academia Santa María del Camino, Inc.","96-1101(4)-246","08 de julio de 1996","08 de julio de 1996"," "
"Academia Santa Teresita de Naranjito, Inc.","95-1101(4)-96","29 de mayo de 1996","29 de mayo de 1996"," "
"ACAMP,Inc","01-1101()-8","20 de marzo de 2001"," ","Denegada"
"AccessLatina Foundation Corp","2015-1101.01-134","11 de octubre de 2016","3 de marzo de 2015"," "
"Acción Comunitaria del Viví Inc","2015-1101.01-344","23 de noviembre de 2016","7 de octubre de 2015"," "
"Acción Laboral Unitaria y Defensora Inc","2012-1101.01-291","10 de mayo de 2013","5 de mayo de 1993"," "
"Acción por la Equidad en la Diversidad Inc","2014-1101.01-111","14 de octubre de 2014","2 de febrero de 2014"," "
"Acción Social de Puerto Rico, Inc.","95-1101(4)-468","22 de julio de 1996","22 de julio de 1996"," "
"Acción Social Egida Los Cantares, Incorporada","85-101(8)-36","05 de noviembre de 1986","17 de octubre de 1986"," "
"Acción Social Villa Blanca, Inc.","2011-1101.01-345","29 de mayo de 2012","19 de mayo de 2005"," "
"Acción USA, Inc.","06-1101(4)-175","23 de enero de 2007","23 de enero de 2007"," "
"ACERCO - Centro de Educación en Resolución de Confictos, Inc.","08-1101( )-78","10 de diciembre de 2008"," ","Denegada"
"ACET (Las Valiosas), Inc.","10-1101 (6)-151","08 de noviembre de 2010","01 de enero de 2010"," "
"Acrópolis Hogar para Envejecientes","03-1101 (4)-358","13 de septiembre de 2005"," "," "
"Acrópolis, Hogar para Envejecientes, Inc.","03-1101(4)-358","13 de septiembre de 2005"," "," "
"Actividad Santos Inocentes Inc","05-1101(4)-244","18 de mayo de 2006","18 de mayo de 2006"," "
"Actuando por los Animales Corp","2014-1101.01-217","11 de septiembre de 2015","1 de enero de 2014"," "
"Acueducto Bo Guayabota Yabucoa Inc","03-1101 ( )-302","27 de febrero de 2004","27 de febrero de 2004"," "
"Acueducto Comunal Barrancas Centro, Inc.","08-1101(6)-437","15 de abril de 2009","01 de enero de 2008"," "
"Acueducto Comunidad Quebrada Arriba, Incorporado","96-1101(6)-762","31 de agosto de 1998","31 de agosto de 1998"," "
"Acueducto Rural de Tejas de Yabucoa, Incorporado","86-101(6)-42","08 de diciembre de 1986","12 de diciembre de 1986"," "
"Acueducto Rural Jacanas Piedra Blanca,Inc","99-1101(4)-69","05 de octubre de 1999","05 de octubre de 1999"," "
"Adamah Corp","2012-1101.01-258","16 de agosto de 2013","1 de enero de 2012"," "
"Adelante Yabucoeños, Inc.","2013-1101.01-323","25 de noviembre de 2015","6 de septiembre de 2015"," "
"Adjuntas Volleyball Club, Inc.","2011-1101.01-192","26 de mayo de 2011","01 de enero de 2011"," "
"Administración Condominio Magdalena","2012-1101.01-662","23 de diciembre de 2013","29 de diciembre de 1961"," "
"Administración de Bienes Corp","2012-1101.01-1363","17 de marzo de 2015","2 de enero de 2012"," "
"Adopción Mascotas. Com","08-1101(4)-455","01 de enero de 2008","01 de enero de 2008"," "
"Advance College Educational Foundation, Inc.","2009-1101 ( )-354","15 de agosto de 2011","01 de enero de 2008","Denegada"
"Advance Community Health Services, Inc.","92-101(6)-62","15 de mayo de 1992","17 de junio de 1992"," "
"Advanced Bilingual School Corp","01-1101(4)-3","07 de mayo de 2001","07 de mayo de 2001"," "
"Adventistas del Séptimo Día, Movimiento de Reforma, Inc.","89-101(6)-78","06 de octubre de 1989","06 de octubre de 1989"," "
"Aeróbicos Marcos Bayamón, Inc.","97-1101(6)-75","01 de agosto de 1987","08 de enero de 1997"," "
"AFS Puerto Rico Intercambio Cultural, Inc.","88-101(6)-32","13 de mayo de 1988","13 de mayo de 1988"," "
"Agape Ministry Iglesia Bautista del Séptimo Día Inc","2014-1101.01-2","2 de octubre de 2015","20 de noviembre de 2012"," "
"Agencia de Desarrollo y Recursos Asistenciales  de La Iglesia Adventista, Inc. (ADRA).","92-101(6)-20","02 de junio de 1992","02 de junio de 1992"," "
"Agencia de Servicios Sociales Pentecostales  (ASSPEN)","99-1101(4)-96","29 de diciembre de 2011","29 de diciembre de 1999"," "
"Agencia Misionera Internacional, Inc.","05-1101(4)-481","27 de agosto de 1997","27 de agosto de 1997"," "
"Agradezco, Inc.","97-1101(6)-225","15 de enero de 1998","15 de enero de 1998"," "
"Agricultores Unidos de Las Piedras, Inc.","08-1101( )-67","20 de agosto de 2008"," ","Denegada"
"Agro Ambiente, Inc.","06-1101( )-382","15 de noviembre de 2007"," "," "
"Agro-Ciales, Inc.","90-101(6)-112","16 de junio de 1992","11 de junio de 1992"," "
"Agro-Vieques,Inc","99-1101(1)-86","20 de octubre de 1999"," ","Denegada"
"Agrupación de Arbitros Independientes de Voleibol, Inc.","07-1101( )-343","28 de enero de 2008"," ","Denegada"
"Agrupación de Misioneros y Evang de Canóvanas","03-1101 ( )-287","28 de octubre de 2004","18 de octubre de 2004"," "
"Agrupación Misionera Cristiana, Inc.","87-101(6)-28","28 de julio de 1987","06 de mayo de 2007"," "
"Agrupación Puertorriqueña de Teatro Lírico, Inc. (Aptel)","91-101(6)-75","04 de noviembre de 1996","04 de noviembre de 1996"," "
"Agrupación Recreo-Cultural Urb. Ana María, Inc.","07-1101(6)-174","06 de agosto de 2007","01 de enero de 2007"," "
"Aguada AA Baseball Inc","06-1101(6)-36","21 de septiembre de 2006","17 de febrero de 2006"," "
"Aguadeños en Defensa de los Animales (ADA), Inc.","10-1101 (4)-78","07 de junio de 2010","01 de enero de 2010"," "
"Aguadilla CommunityDevelopment Corporation","01-1101()-7","30 de mayo de 2001"," ","Denegada"
"Aguirre-Coquí Beisbol, Inc.","08-1101(6)-60","19 de junio de 2008"," "," "
"Aids Walk San Juan, Inc.","96-1101(4)-790","08 de enero de 1987","01 de agosto de 1987"," "
"AIESEC Puerto Rico, Inc.","09-1101(4)-96","25 de marzo de 2009"," "," "
"AISHA S.B. Inc","04-1101( )-50","31 de julio de 2006"," ","Denegada"
"Alba Consumer Credit Counseling,Inc","01-1101(4)-154","23 de agosto de 2001","23 de agosto de 2001"," "
"Albacana,Inc","00-1101(4)-68","08 de febrero de 2001","08 de febrero de 2001"," "
"Albergue el Paraíso Corp.","98-1101(4)-1","21 de abril de 1998","21 de abril de 1998"," "
"Albergue la Porvidencia, Inc.","89-101(6)-73","18 de diciembre de 1989","18 de diciembre de 1989"," "
"Albergue La Providencia para el Bienestar Social, Inc.","2009-1101( )-33","12 de mayo de 2011"," ","Denegada"
"Albergue Olímpico, Inc.","95-1101(4)-97","18 de septiembre de 1995","18 de septiembre de 1995"," "
"Albergue Paraíso de la Montaña, Corp","09-1101 (4)-399","16 de abril de 2010","01 de enero de 2009"," "
"Alcalá Productions, Inc.","07-1101( )-422","15 de mayo de 2008"," ","Denegada"
"Alcanzando El Exito / Reach for Success, Inc.","07-1101(4)-419","27 de marzo de 2008","01 de enero de 2007"," "
"Alejandro Corporation","2012-1101.01-128","8 de febrero de 2013","1 de diciembre de 2011"," "
"Alem, Inc.","93-101(6)-113","29 de julio de 1993","30 de junio de 1993"," "
"Plan and Trust","101(22)","09 de mayo de 1972"," "," "
"Alfonso A. Rodríguez  Foundation, Inc.","83-101(6)-26","21 de agosto de 1987","09 de julio de 1987"," "
"Alfred University","101(6)","07 de agosto de 1975","06 de agosto de 1975"," "
"Alianza Comunitaria de la Montaña, Inc.","10-1101 (6)-131","02 de septiembre de 2010","01 de enero de 2010"," "
"Alianza Cristiana y Misionera de Dorado Inc","2012-1101.01-299","1 de julio de 2013","6 de marzo de 2009"," "
"Alianza de Amor, Inc.","96-1101(4)-118","19 de diciembre de 1996","19 de diciembre de 1996"," "
"Alianza de Autismo y Desórdenes Relacionados de PR Inc","2014-1101.01-36","18 de febrero de 2015","1 de enero de 2014"," "
"Alianza de Líderes Comunitarios de Puerto Rico, Inc.","2012-1101.01-345","8 de noviembre de 2013","30 de julio de 2004"," "
"Alianza de Líderes Rincoeños Inc","2012-1101.01-312","8 de julio de 2013","20 de marzo de 2009"," "
"Alianza de Medicos al Rescate","01-1101(4)-98","17 de diciembre de 2001","17 de diciembre de 2001"," "
"Alianza de Mesas Redondas  Panamericanas,Inc","00-1101(4)-10","05 de abril de 2000","05 de abril de 2000"," "
"Alianza de Puerto Rico Contra La Trata Humana, Inc.","2012-1101.01-1314","22 de noviembre de 2013","27 de junio de 2012"," "
"Alianza Evangelística Misionera Inc","2012-1101.01-147","13 de agosto de 2013","11 de febrero de 1975"," "
"Alianza Moca y Puerto Rico Libre  de Adiciones,Inc","98-1101(4)-192","17 de junio de 1999","17 de junio de 1999"," "
"Alianza Municipal de Servicios Integrados, Inc.","09-1101 (4)-394","27 de septiembre de 2010","01 de julio de 2009"," "
"Alianza para el desarrollo de Puerto Rico, Inc.","04-1101(4)-268","01 de mayo de 2007"," "," "
"Alianza para la Educación Alternativa, Inc.","09-1101(4)-304","13 de julio de 2009"," "," "
"Alianza para un Puerto RicoSin Drogas, Inc.","93-101(6)-74","04 de noviembre de 1993","05 de noviembre de 1993"," "
"Alianza Positiva, Incorporado","95-1101(4)-119","06 de mayo de 1996","06 de mayo de 1996"," "
"Alianza Pro Rescate Animales, Inc.","2012-1101.01-117","22 de mayo de 2012","01 de febrero de 2012"," "
"Alice'S School, Inc.","2013-1101.01-332","10 de diciembre de 2014"," ","Denegado"
"Alimenta mis Ovejas, Inc.","07-1101(4)-358","14 de diciembre de 2007","24 de abril de 2007"," "
"Alison Mortgage Investment Trust","101(22)","18 de abril de 1975","14 de marzo de 1975"," "
"All Satos Rescue Inc","2012-1101.01-1010","15 de septiembre de 2014","23 de octubre de 2008"," "
"All Stars Puerto Rico Inc","2012-1101.01-185","22 de febrero de 2013","24 de mayo de 2011"," "
"Alliance for the New Humanity Inc","05-1101 ( )-006","01 de julio de 2005","01 de julio de 2005"," "
"Alma Misionera en Acción, Inc.","2011-1101.01-71","21 de junio de 2011","01 de enero de 2011"," "
"Almendros Architectural Control Conmitee, Inc.","101(14)","14 de septiembre de 1981","11 de agosto de 1981"," "
"Almonet Aguadilla LLC","2012-1101.01-1032","23 de enero de 2015","15 de noviembre de 2011"," "
"Almonet Corporation","06-1101(19)-485","17 de octubre de 2007","16 de mayo de 2006"," "
"Almonet Ponce LLC","2012-1101.01-1031","23 de enero de 2015","15 de noviembre de 2011"," "
"Almonet San German LLC","2012-1101.01-1030","23 de enero de 2015","15 de noviembre de 2011"," "
"Alpha Foundation Corporation","99-1101( )-189","04 de abril de 2000"," ","Denegada"
"Alquimia, Inc.","05-1101(4)-400","08 de febrero de 2007","08 de febrero de 2007"," "
"Alternativa Integrada Contra la Droga y Alcohol (AIDA), Inc.","09-1101 (4)-254","19 de agosto de 2010","01 de enero de 2009"," "
"Alternative Educational Services Inc","2014-1101.01-265","26 de octubre de 2016"," ","Denegada"
"Alternative Job Services Inc","03-1101 ( )-426","13 de mayo de 2005"," "," "
"Alternative Medicine of Better Health, Corp.","06-1101(4)-16","13 de septiembre de 2007"," "," "
"Alternavida Inc","2015-1101.01-217","23 de febrero de 2017","1 de enero de 2015"," "
"Altrusa Club of San Sebastián, Inc.","96-1101(6)-42","29 de octubre de 1996","29 de octubre de 1996"," "
"Altrusa International Distrito Catorce Inc","06-1101(6)-80","04 de octubre de 2006"," "," "
"Alturas de Quebradillas, Inc.","92-101(6)-143","30 de abril de 1993","01 de junio de 1993"," "
"Alturas de San Juan Inc","05-1101 ( )-222","01 de julio de 2005","20 de mayo de 2005"," "
"Alturas del Señorial Associates","85-101(7)-7","18 de septiembre de 1985","20 de agosto de 1985"," "
"AM Productions, Inc.","2011-1101.01-70","26 de mayo de 2011","01 de enero de 2011"," "
"AMADD, Inc.","89-101(6)-385","09 de julio de 1990","09 de julio de 1990"," "
"Amadeus Nursing Home Corp","04-1101(4)-387","06 de junio de 2006"," "," "
"AMCAP Fund, Inc.","101(6)","26 de julio de 1978","22 de febrero de 1978"," "
"América in Action, Inc.","10-1101 (4)-123","24 de noviembre de 2010","01 de enero de 2010"," "
"America Society For Personnal Administration P.R.  Chapter (ASPA), Inc.","101(13)","02 de abril de 1981","12 de febrero de 1981"," "
"American Amateur  Baseball Congress de  Puerto Rico,Inc","01-1101(6)-112","01 de octubre de 2001"," ","Revocada 1 oct 01"
"American Arbitration  Association,Inc","00-1101(6)-202","08 de mayo de 2001"," "," "
"American Association of State Colleges and","04-1101(4)-294","07 de septiembre de 2006"," "," "
"American Bureau of Shipping","89-101(7)-106","28 de abril de 1989","28 de abril de 1989"," "
"American Cancer Society- Puerto Rico Div.","101(22)","30 de julio de 1975","24 de julio de 1975"," "
"American Cello Institute Inc","2016-1101.01-2","28 de marzo de 2016","1 de enero de 2016"," "
"American Civil Liberties Union Foundation Inc","2014-1101.01-43","27 de mayo de 2016","18 de abril de 2013"," "
"American College of Radiology PR Chapter Inc","03-1101( )-269","30 de noviembre de 2004","30 de noviembre de 2004"," "
"American Developing Smiles de PR, Inc.","2011-1101.01-200","09 de marzo de 2012","01 de enero de 2011"," "
"American Economic Association","101(6)","09 de mayo de 1972"," "," "
"American Heart Association Inc","02-1101 ( )-401","13 de enero de 2004"," "," "
"American Institute of Banking Puerto Rico, Inc.","93-101(8)-163","17 de febrero de 1994"," "," "
"American Junior College of Puerto Rico, Inc.","101(22)","16 de febrero de 1971"," "," "
"American Lebanese Syrian Associated Charities, Inc.","05-1101(4)-414","20 de noviembre de 2007","20 de noviembre de 2007"," "
"American Legacy  Foundation","00-1101()-176","09 de febrero de 2001"," ","Denegada"
"American Legacy Foundation","2012-1101.01-1349","21 de diciembre de 2012","1 de enero de 2012"," "
"American Maize Products Co. “AMPC”","89-101(22)-13","08 de marzo de 1989","08 de marzo de 1989"," "
"American Management Association, Inc.","96-1101(4)-553","22 de noviembre de 1996","22 de noviembre de 1996"," "
"American Mortgage Investors","101(23)","12 de febrero de 1974","12 de febrero de 1974"," "
"American Postal Workers Union AFL-CIO Puerto Rico Area Local, Inc.","06-1101(1)-157","15 de diciembre de 2006","07 de abril de 2006"," "
"American Production and  Inventory Control Society Puerto Rico Chapter No. 220","86-101(7)-26","05 de junio de 1987","12 de mayo de 1987"," "
"American Society of Planning Officials","101(  )","02 de diciembre de 1968","02 de diciembre de 1968"," "
"American Telephone & Telegraph Company   Master Pension Trust","92-101(6)-2","10 de febrero de 1992","24 de febrero de 1992"," "
"Ameron Pension Plan for Hourly Employees","89-101(22)-79","28 de septiembre de 1989","28 de septiembre de 1989"," "
"Ameron, Inc.","89-101(22)-14","07 de marzo de 1989","07 de marzo de 1989"," "
"Amigos de Amona","01-1101()-178","01 de enero de 2002","31 de enero de 2002"," "
"Amigos de Calle del Cristo 255, Inc.","89-101(6)-71","16 de agosto de 1989","16 de agosto de 1989"," "
"Amigos de Cantantes Jóvenes, Inc.","94-101(6)-79","07 de febrero de 1995","10 de febrero de 1995"," "
"Amigos de Culebra, Inc.","96-1101(4)-445","11 de diciembre de 1996","11 de diciembre de 1996"," "
"Amigos de Ferdinand Pérez, Inc.","07-1101( )-447","02 de junio de 2008"," ","Denegada"
"Amigos de Jesucristo, Inc.","97-1101(4)-204","24 de septiembre de 1997","24 de septiembre de 1997"," "
"Amigos de la Banda: Patrimonio Musical Ponceño, Inc.","09-1101 (4)-388","15 de abril de 2010","01 de enero de 2009"," "
"Amigos de la Buena Mesa, Inc.","96-1101(7)-446","11 de diciembre de 1996","11 de diciembre de 1996"," "
"Amigos de la Casa Cuna de San Juan, Inc","2012-1101.01-191","21 de diciembre de 2012","22 de marzo de 2001"," "
"Amigos de la Escuela de Derecho - UPR, Inc.","08-1101(4)-431","16 de marzo de 2009","20 de marzo de 2008"," "
"Amigos de Las Tortugas Marinas (ATMAR Inc)","2014-1101.01-149","7 de abril de 2015","1 de enero de 2014"," "
"Amigos de los Vinos  de España, Inc.","93-101(7)-94","02 de junio de 1994","08 de junio de 1994"," "
"Amigos de los Vinos de España Inc","2012-1101.01-304","30 de octubre de 2013"," ","Denegada"
"Amigos de Lui y Juanzy Inc","2013-1101.01-218","5 de noviembre de 2015"," ","Denegada"
"Amigos de Luis A. Ferré, Inc.","101(6)","24 de mayo de 1962","24 de mayo de 1962"," "
"Amigos de San Juan Cinemafest, Inc.","96-1101(4)-299","07 de enero de 1997","07 de enero de 1997"," "
"Amigos de Tres Palmas Inc","2012-1101.01-869","18 de agosto de 2014","1 de enero de 2012"," "
"Amigos del Museo de la Historia de la Medicina, Inc.","96-1101(4)-726","24 de enero de 1997","24 de enero de 1997"," "
"Amigos del Museo de Pablo Casals, Inc.","84-101(6)-60","12 de septiembre de 1985","07 de febrero de 1984"," "
"Amigos del Museo de Ponce Inc.","101(  )","05 de septiembre de 1969","05 de septiembre de 1969"," "
"Amigos por un Buen Credito,Inc","98-1101(4)-80","14 de mayo de 1999","14 de mayo de 1999"," "
"Amigos Pro Rescate Capilla Divino Niño Leprocomio","06-1101(4)-113","05 de octubre de 2006"," "," "
"Amigos Sinfónica Juvenil Inc","2012-1101.01-607","3 de marzo de 2014","4 de febrero de 2011"," "
"Amigos Yabucoeños Unidos Contra el Cáncer, Inc.","2014-1101.01-219","25 de noviembre de 2015","1 de enero de 2014"," "
"Amistad Misioneraen Cristo Obrero","00-1101(4)-63","30 de junio de 2000","30 de junio de 2000"," "
"Amoprico Inc- Asociación de Moteles de PR","03-1101 (5)-353","16 de febrero de 2005"," "," "
"Amor a Puertas Abiertas,Inc","01-1101(4)-33","23 de abril de 2001","23 de abril de 2001"," "
"Ana Luisa Home for the elderly Corp","04-1101( )-222","13 de octubre de 2005","13 de octubre de 2005","1-Ene-2008 Revoc"
"Anaco Educational Services, Inc.","95-1101(4)-101","02 de noviembre de 1995","02 de noviembre de 1995"," "
"Añasco Basket Inc.","10-1101 (6)-246","25 de agosto de 2010","01 de enero de 2010"," "
"Anasomi Inc","2012-1101.01-1132","5 de diciembre de 2012"," ","Denegada"
"Anasomi, Inc.","08-1101( )-53","26 de agosto de 2008"," ","Denegada"
"Anasomi, Inc.","2010-1101 ( )-478","15 de julio de 2011"," ","Denegada"
"Añasqueños en Defensa de Animales, Inc.","08-1101(4)-162","10 de diciembre de 2008"," "," "
"Andanza,Inc","99-1101(4)-163","13 de octubre de 1999","13 de octubre de 1999"," "
