"blk_id","municipality","provider","prvder_dba","fcc_frn","tech","max_dwn","max_up","end_uc","location"
"721270054033002","Vega Baja","Critical Hub Networks","Caribe.net","18088583","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 3 mbps and less than 6 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Vega Baja, PR 
(18.446009992000427, -66.38754999999964)"
"721270086011004","Guaynabo","IP Solutions","IP Solutions","19051663","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Guaynabo, PR 
(18.359729975000448, -66.11052000299964)"
"720871101022011","Manati","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Manati, PR 
(18.430539992000433, -66.48484999099963)"
"721219607003009","Santa Isabel","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Santa Isabel, PR 
(17.969170003000443, -66.40393999299965)"
"720210316211009","Caguas","IP Solutions","IP Solutions","19051663","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Caguas, PR 
(18.226539990000447, -66.03746001999963)"
"720034306022033","Ponce","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 50 mbps and less than 100 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"720757103021010","Loiza","INTECO","Iniciativa Technologica Centro-Oriental","18787242","Terrestrial Fixed Wireless - Licensed","Greater than or equal to 3 mbps and less than 6 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business and Residential","
Loiza, PR 
(18.429149994000454, -65.88273000599963)"
"720610405003000","Dorado","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Dorado, PR 
(18.459459982000453, -66.26256000899963)"
"720252012001022","Isabela","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Isabela, PR 
(18.501219988000457, -67.02111999699963)"
"720252007002000","Humacao","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Humacao, PR 
(18.151470017000463, -65.82337000899963)"
"721270039022000","San Juan","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"720252028002006","Anasco","Critical Hub Networks","Caribe.net","18088583","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 768 kbps and less than 1.5 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Anasco, PR 
(18.282079999000473, -67.14128998999962)"
"721130701002001","Vega Alta","IP Solutions","IP Solutions","19051663","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Vega Alta, PR 
(18.412209980000455, -66.33177998699966)"
"721270051013005","Aguada","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business Only","
Aguada, PR 
(18.38036997800043, -67.18917997599965)"
"721270023003016","San Juan","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"721270100324004","Vega Alta","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Vega Alta, PR 
(18.412209980000455, -66.33177998699966)"
"721355102004030","Carolina","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Carolina, PR 
(18.442839984000443, -66.02399001499964)"
"721130715002015","Quebradillas","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 50 mbps and less than 100 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Quebradillas, PR 
(18.47400998900042, -66.93762999699965)"
"720152802022018","San Juan","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"720034304022017","San Juan","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"721130718003027","San Juan","IP Solutions","IP Solutions","19051663","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"720994205003043","Mayaguez","Critical Hub Networks","Caribe.net","18088583","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 768 kbps and less than 1.5 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Mayaguez, PR 
(18.203680009000436, -67.14689998499966)"
"720252003021014","Ceiba","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Ceiba, PR 
(18.43900999900046, -66.35268997799966)"
"721258405003009","Morovis","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Morovis, PR 
(18.32585999200046, -66.40652999299965)"
"721130721011027","Barceloneta","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Barceloneta, PR 
(18.454409979000445, -66.53820997999964)"
"720970815221043","San Juan","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business Only","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"720238305032019","Humacao","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Humacao, PR 
(18.151470017000463, -65.82337000899963)"
"720133003021098","Toa Baja","Ayustar Corporation","Ayustar Corporation","8739229","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Toa Baja, PR 
(18.442469988000425, -66.25353000999962)"
"720691805003028","Bayamon","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business Only","
Bayamon, PR 
(18.394089980000444, -66.14738001999962)"
"721130708002043","Rio Grande","INTECO","Iniciativa Technologica Centro-Oriental","18787242","Terrestrial Fixed Wireless - Licensed","Greater than or equal to 3 mbps and less than 6 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business and Residential","
Rio Grande, PR 
(18.36151998200046, -67.23753999099966)"
"720238305022007","Ponce","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"721270051022003","Naguabo","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Naguabo, PR 
(18.211570007000432, -65.73506000999964)"
"720572707003006","Ponce","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"721270007002019","Guaynabo","Ayustar Corporation","Ayustar Corporation","8739229","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Guaynabo, PR 
(18.359729975000448, -66.11052000299964)"
"720994203022016","Ponce","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business Only","
Ponce, PR 
(18.011650011000427, -66.61441997899965)"
"720678201003026","San Juan","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"721270039022036","San Juan","IP Solutions","IP Solutions","19051663","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"720475304002022","Juana Diaz","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business Only","
Juana Diaz, PR 
(18.052780004000454, -66.50685999899963)"
"720210311221020","Toa Baja","Critical Hub Networks","Caribe.net","18088583","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Toa Baja, PR 
(18.442469988000425, -66.25353000999962)"
"720072302001041","Carolina","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Carolina, PR 
(18.442839984000443, -66.02399001499964)"
"720310502113000","Arecibo","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Arecibo, PR 
(18.47238998600045, -66.71972999299965)"
"720054011001021","San Juan","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"720610410002050","Juncos","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Juncos, PR 
(18.22783997600044, -65.92472001699963)"
"721191301011032","Moca","Puerto Rico Cable Acquisition Company, Inc.","ChoiceCable TV","3605953","Cable Modem - DOCSIS 3.0","Greater than or equal to 50 mbps and less than 100 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Moca, PR 
(18.394929981000473, -67.11367998199967)"
"721130722023004","Utuado","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business Only","
Utuado, PR 
(18.266249998000433, -66.70459997699965)"
"720412402021030","Bayamon","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Bayamon, PR 
(18.394089980000444, -66.14738001999962)"
"720970821021002","San Juan","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Business Only","
San Juan, PR 
(18.46632997800043, -66.10474000399967)"
"721130702022003","Utuado","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Utuado, PR 
(18.266249998000433, -66.70459997699965)"
"720871103032021","Guayama","Puerto Rico Telephone Company Inc.","Claro Internet","1731470","Asymmetrical xDSL","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Guayama, PR 
(17.985200020000434, -66.11315001099962)"
"720252014002003","Bayamon","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Bayamon, PR 
(18.394089980000444, -66.14738001999962)"
"721270043063001","Bayamon","Critical Hub Networks","Caribe.net","18088583","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 10 mbps and less than 25 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Bayamon, PR 
(18.394089980000444, -66.14738001999962)"
"720412404013024","Juana Diaz","XAirNet Corp.","XAirNet","12609137","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 6 mbps and less than 10 mbps","Greater than or equal to 1.5 mbps and less than 3 mbps","Residential Only","
Juana Diaz, PR 
(18.052780004000454, -66.50685999899963)"
"721270039021002","Guaynabo","IP Solutions","IP Solutions","19051663","Terrestrial Fixed Wireless - Unlicensed","Greater than or equal to 25 mbps and less than 50 mbps","Greater than or equal to 768 kbps and less than 1.5 mbps","Business and Residential","
Guaynabo, PR 
(18.359729975000448, -66.11052000299964)"
"720034302004023","Gurabo","Liberty Cablevision of Puerto Rico, LLC","Liberty","21347273","Cable Modem - DOCSIS 3.0","Greater than or equal to 100 mbps and less than 1 gbps","Greater than or equal to 3 mbps and less than 6 mbps","Business and Residential","
Gurabo, PR 
(18.254759995000427, -65.97214002299967)"
