"municipio_y_su_cuadro_telef_nico","nombre_de_la_biblioteca","director_o_encargado","direcci_n","tel_fax","correo_electr_nico"
"23. Comerío Cuadro: 875-3445 ","Centro Cibernético Laura Arroyo Torres ","Nayda Nieves Reyes Bibliotecaria ","PO Box 1108, Comerío, PR 00782 ","Tel. 875-1082 ","nayda_nieves@msn.com cccomerio@br.inter.edu "
"24. Corozal Cuadro: 859-3060 ","1.Biblioteca Municipal de Corozal. 
2. Biblioteca Teófilo Maldonado","Lcda. Wildalis Serra-Ortiz , Ayudante Ejecutiva Municipio de Corozal 
Sra. Edna Rosario, Bibliotecaria",,"Tel.859-3060; ext. 208 
Fax 859-2268 
Tel. 859-2714 
Fax 859-2714 ","wserra@municipiodecorozal.com 
bibliotecacorozal@yahoo.com 
ednarosario19@yahoo.com 
"
"25. Culebra Cuadro: 742-3521 ","NO TIENEN BIBLIOTECA MUNICIPAL 
Ahora es (Culebra Community Library)","Sra. Nadeen Decicco ","PO Box 840 Culebra, PR 00775","Tel. 742-0844 
Fax 742-0826 ","NO TIENEN BIBLIOTECA MUNICIPAL "
"26. Dorado Cuadro: 796-1230 ","1.Biblioteca Municipal Gerardo González 
2. Biblioteca Municipal Belén Rivera Huertas 
3. Biblioteca Municipal Eladio “Lalo” Rodríguez 
4. Biblioteca Municipal Octavio Nieves Concepción ","Sra. Tania Pérez Santiago (Directora de las 4 bibliotecas) ","PO Box 588 Dorado, PR 00646 ","Tel. 796-0650 ","miescuelaamigadorado@gmail.com "
"27. Fajardo Cuadro: 863-1400 ","Biblioteca Municipal Emilio S. Belaval 
BIBLIOTECA EN REPARACIONES POR 3 MESES","Sra. Glenis Otero Vice-alcaldesa ","POBox 865 Fajardo, PR 00738","Tel. 860-7270 ","glenis@fajardopr.org 
Aleida Robles arobles@fajardopr.org "
"28. Florida Cuadro: 822-2600 ","Biblioteca Municipal Luis G. Pérez Vázquez ","Sra. Carmen Alvarez Directora ",,"Tel. 822-1980 ","bibliotecaflorida09@yahoo.com "
"29. Guánica Cuadro: 821-2777 ","Biblioteca Pública Domingo Suárez ","Sra. Nellie Padró Directora ","Calle 13 de marzo # 49 Guánica, PR 00653 ","Tel. 821-1002 ","NO TIENE CORREO ELECTRONICO "
"30. Guayama Cuadro: 864-0600 ","Biblioteca Electrónica Municipal de Guayama ","Sra. Elenita Belem Directora ","PO Box 360 Guayama, PR 00785 ","Tel. 866-8169 ","ebelenmunicipiodeguayama@gmail.com "
"31. Guayanilla Cuadro: 835-2660 ","NO TIENEN BIBLIOTECA MUNICIPAL ","Sr. Albert Torres Auxiliar de Biblioteca ",,"Tel.835-3100 ","NO TIENE CORREO ELECTRONICO "
"32. Guaynabo Cuadro: 720-4040 ","1.Biblioteca Municipal de Guaynabo 2Biblioteca Comunitaria Tomás Blanco ","Sr. Luis Iván Díaz Colón Director Of. Prensa y Comunicaciones Sra. Alice Y. González ",,,"lidiaz@guaynabocity.gov.pr juandomingoenaccion@pr.org "
"33. Gurabo Cuadro: 712-1100 737-8410, 8418 ","Biblioteca Pública José Emilio González ","Sra. Rosa M. Matos ",,"Tel. 737-6000 ","bpjegurabo@yahoo.com rossamatos@gmail.com rossamatos@yahoo.com "
"34. Hatillo Cuadro: 820-3913 ","1.Biblioteca Municipal de Hatillo 2.Biblioteca Electrónica Pedro López 3.Biblioteca Electrónica de Carrizales 4. Biblioteca Electrónica de Aibonito 5. Biblioteca Electrónica Casa de la Juventud ","1.Sra. Nannette Quiñones Bibliotecaria 2.Sr. Héctor Vélez Director 3.Sra. Nilsa Rodríguez Directora 4.Sra. Joseline Candelario Directora 5. Sra. Sujeirie Moya Directora ","POBox 8 Hatillo PR 00656 ","1.Tel 820-2006 2.Tel. 898-0270 3.Tel. 820-2004 4.Tel. 820-2013 Cel. 484-3872 5.Tel. 262-0925 898-8066 ","nannette_quinones@yahoo.com bepedrolopez@gmail.com carrizalesnuevas@yahoo.com melrodriguez71@hotmail.com jocelyn2324@yahoo.com ddjhatillo@live.com "
"35. Hormigueros Cuadro: 849-2515 ","Biblioteca Municipal de Hormigueros. ","Elka A. Toro Candelario Encargada ","PO Box 97 Hormigueros PR 00660 Bajos Plaza Pública del Municipio ","849-0790 849-2515 ext.. 257 ","biblioteca@hormiguerospr.net "
"36. Humacao Cuadro: 852-3066 ","Biblioteca Municipal de Humacao Antonio A Roig ","Loyda Colón Encargada 
Orlando Cintrón Negrón Oficina de Prensa y Relaciones Públicas 852-3066 exts. 2206/ 2281 Cel. 449-7575 ","PO Box 178 Humacao, PR 00791-0178 ","Tel. 850-6446 Directo 285-8422 ","psemh@yahoo.com "
"37. Isabela Cuadro: 872-6400 872-5880 ","NO TIENEN BIBLIOTECA MUNICIPAL (es el Centro Cibernético de la UIA) ",,,,"NO TIENEN BIBLIOTECA MUNICIPAL "
"38. Jayuya Cuadro: 828-0900 ","Biblioteca Pública Nemesio R. Canales ","Myrna Vidro Encargada Gladys Rivera Santiago Ofi. Sistemas del Municipio Dir. 828-9164 Fax-828-1033 ","Calle Guillermo Esteves #86 Jayuya, Puerto Rico 00664 ","Teléfono y Fax (787) 828-4515 ","myrna_jayuya@yahoo.com "
"39. Juana Díaz Cuadro: 837-2185 ","NO TIENEN BIBLIOTECA MUNICIPAL ",,,,"NO TIENEN BIBLIOTECA MUNICIPAL "
"40. Juncos Cuadro: 734-0335 ","Biblioteca Municipal Dr. José M. Gallardo ","Sra. Hilda Hernández Cuadrado Directora ","PO Box. 1706 Juncos, PR 00777 ","787-713-1135 ó 734-0335, ext. 313 ","bibliojuncoshhc@yahoo.com "
"41. Lajas Cuadro: 899-1450 ","1.Biblioteca Municipal de Lajas 
2. Biblioteca de la Parguera ","Sra. Marilyn Vélez Directora Cel. 538-2589 
Sra. Carmen Bermúdez Encargada ","PO Box 910 Lajas, PR 00667 (para ambas)","Tel. 808-1000, 0898 
Tel. 899-3100 ","bibliotecaelectronicalajas@gmail.com 
parguerabiblioteca@hotmail.com "
"42. Lares Cuadro: 897-2300 ","Biblioteca Electrónica de Lares ","Sr. Iván Rodríguez Pagán Encargado ","PO Box 395 Lares, PR 00669 ","Tel. 877-2300 ","municipiolares@yahoo.com Sr. Iván Rodríguez Pagán "
"43. Las Marías Cuadro: 827-2280 ","Biblioteca Municipal e Las Marías ","Sra. Lydia del Toro Encargada ","PO Box 366 Las Marías, PR 00670 ","Tel 827-4555 Fax 827-4555 ","NO TIENE CORREO ELECTRONICO "
"44. Las Piedras Cuadro: 733-2160 ","1. Biblioteca Municipal Aurea M. Pérez, 2. Biblioteca Pueblito del Río 3. Biblioteca Montones 4. Biblioteca Boquerón (Oficina principal en el pueblo) ","Migdalia Hernández Ayudante Especial ","Calle José Celso Barbosa, Las Piedras, PR ","Tel. 733-2610 ","biblioteca_aureamperez@hotmail.com federaleslp@gmail.com "
"45. Loíza Cuadro: 876-1040 ","Biblioteca Pública Municipal de Loíza ","Sr. Luis Daniel Pizarro Director ",,"Tel. 886-4059 Fax 886-4059 ","ldpizarro@municipiodeloiza.net "
"46. Luquillo Cuadro: 889-2525 ","Biblioteca Electrónica Municipal de Luquillo ","Luis M. García Robles, Encargado ","Calle 14 de Julio # 154, Luquillo PR 00773 ",,"Carmen L. Rosario crosario@luquillo.gobierno.pr "
"47. Manatí Cuadro: 854-2024 ","Biblioteca Municipal Francisco Alvarez Marrero 
( Biblioteca Satélites: Barrio Cortés, Barrio Campo Alegre, Barrio Pugnado, Barrio Monte Bello, Barrio Boquillas y Barrio Cantito) ","Sra. Yaritza Huertas Rodríguez Directora ","PO Box 447 Manatí, PR 00674 ","Tel. 884-5494 ","Bibliotecamunicipalfam@gmail.com "
"48. Maricao Cuadro: 838-2290 ","Biblioteca Municipal de Maricao ","Sr. Héctor Javier Ayala Director ","PO Box 837 Maricao, PR 00606 ","Fax 838-3084 ","NO TIENE CORREO ELECTRONICO "
"49. Maunabo Cuadro: 861-0825 ","Biblioteca Pública de Maunbao Rafael Rodríguez González ","Amarilys Arroyo Encargada Poliana Montes García 861-0825 ext 2265 ","PO Box #8 Maunabo, Puerto Rico 00707 ","Tel.861-0825 ext 3000 861-2009 ","Tckid1062@yahoo.com Sr. Luis Soto, Bibliotecario Area Computadoras "
"50. Mayagüez Cuadro: 834-8585 ","Biblioteca Municipal de Mayagüez ","Sra. Gladys de León Barea Bibliotecaria Encargada ","Apartado 447 Mayagüez, PR 00681 Calle La Candelaria #14 Mayagüez, PR 00680 ","Tel: 834-8585 ext. 440 Fax: 805-3085 ","Educacion@mayaguezpr.gov bibliotecamunicipal@mayaguezpr.gov "
"51. Moca Cuadro: 877-3390 ","Biblioteca Municipal Américo Miranda ",,,"Tel. 877-2220 ",
"52. Morovis Cuadro: 862-2155 ","Biblioteca Electrónica Municipal Julia M. Chévere ","Sra. Betsy Rodríguez Bibliotecaria ","POBox 2150 Morovis, PR 00687 ","Tel. 862-6161 ","bibliotecaelectronicamorovis@hotmail.com "
"53. Naguabo Cuadro: 874-2068 ","Biblioteca Electrónica de Naguabo ","Sra. Maritza Meléndez Nazario Alcaldesa ",,"Tel. 874-7643 ","alcaldesanaguabo@gmail.com "
"54. Naranjito Cuadro: 869-2470 ","Biblioteca Municipal de Naranjito ","Sra. Jenny Cosme Directora ","PO Box 53 Naranjito, PR 00719 ","Tel. 869-5154 ","bibpubnaranjito@gmail.com "
"55. Orocovis Cuadro: 867-5000 ","Biblioteca Municipal de Orocovis ","Sr. Jorge D. Meléndez Director ",,"Tel. 867-6178 ","bibliotecaorocovis@yahoo.com Lizmarie Ortiz-Secretaria "
"56. Patillas Cuadro: 839-4120 ","Manuel Santana Gastón ","Soledad Santiago Antuna ","P.O. Box 698 Calle Muñoz Rivera #36 Patillas P.R. 00723 ","787-839-8800 ","bibliotecapatillas@yahoo.com "
"57. Peñuelas Cuadro: 836-1136 ","Sala de Estudio Annie Santos (Centro de Bellas Artes Elena Rivera Gutiérrez) ","Wilmer Colón Director Elizabeth Cruz Encargada ","Calle Juan V. Rodríguez; Apartado 10 Peñuelas, Puerto Rico 00624 ","Fax: 836-5214 ","wilmercolon_arte@yahoo.com "
"58. Ponce Cuadro: 284-4141 ","Biblioteca Municipal de Ponce Mariana Suárez de Longo ","Sr. Efraín Colón Baez Director ",,"Tel. 812-3004 ","Iris.valentin@ponce.pr.gov Iris Valentín -Secretaria "
"59. Quebradillas Cuadro: 895-2840 ","1. Biblioteca Municipal San Antonio 
2. Biblioteca Casa de la Juventud 
3. Biblioteca de Guajataca
4. Biblioteca Montadero ","1.Sr. José Pérez Mercado 
2. Sra. María Nieves Hernández 
3. Sra. Mariela Medina ","PO Box 1544 Quebradillas, PR 00678 ","1. Tel. 939-642-9429 
2. Tel. 939-642-9426 
3. Tel. 895-8095 ","oficinadelalcalde@mquebradillaspr.com "
"60. Rincón Cuadro: 823-2180 ","Biblioteca Municipal de Rincón Luis Muñoz Marín ","Sra. Wanda Vializ García Directora ","PO Box 97 Rincón, PR 00677 ","Tel. 823-9075 ","bibliotecamunicipallmm@hotmail.com "
"61. Río Grande Cuadro: 887-2370 ","Centro Cibernético ","Sr. Rafael Ramos Matos Secretario Municipal y encargado ","PO Box 847 Río Grande, PR 00745 ","Tel. 920-2055 ","rramos@riograndepr.org "
"62. Sabana Grande Cuadro: 873-2060 ","Biblioteca Municipal Blanca Malaret ","Sr. Irán Vega Director ","PO Box 356 Sabana Grande, PR 00637 ","Tel. 873-0640 ","munsabgde.dirizarry@yahoo.com Sra. Dimary Irizarry "
"63. Salinas Cuadro: 824-3050 ","Biblioteca Municipal Clemencia Filomeno Vda. de Godreau ","Sra. Karla Rodríguez Directora ","PO Box 1149 Salinas, PR 00751 ","Tel. 824-2227 Tel. 824-0076 ","alcaldesalinas@gmail.com "
"64. San Germán Cuadro: 892-3500 ","Biblioteca Pública Municipal Rafael Quiñones ","Sr. Rafael Pérez Director 
Luz Marie Rivas Pérez Oficina de Secretaria Municipal Municipio de San Germán 
Tel. 892-3500 ext. 2205 ","Calle Padre Agustino #11, San Germán, PR 00683","Tel. 892 – 6820 
Fax 892 -0370 ","rperez545@gmail.com "
"65. San Juan Cuadro: 480-2500 ","1.Biblioteca Electrónica Estudia Conmigo 2.Biblioteca Abelardo Díaz Alfaro 3.Biblioteca Electrónica de Río Piedras 4.Biblioteca Electrónica Sector Israel ","Sra. Loyda López Directora de todas las Bibliotecas Municipales de San Juan Torre Municipal de San Juan ","PO Box 9024100 San Juan, PR 00902-4100 ","1. Tel. 480-2960 2. Tel. 480-4507 3. Tel. 754-8584 4. Tel. 444-1844 ","llopez02@sanjuancapital.com Sra. Loyda López mmelendez04@sanjuancapital.com Sra. María Meléndez Secretaria "
"66. San Lorenzo Cuadro: 736-3511 ","Biblioteca Municipal de San Lorenzo ","Sra. Aida N. Mangual Bibliotecaria encargada ",,"Tel. 715-0915 ","bibliotecasanlorenzo@gmail.com "
"67. San Sebastián Cuadro: 896-2300 ","Biblioteca Electrónica Eduardo Negrón Benítez ","Sr. Edwin Cabrero Miranda Director ","PO Box 1603 San Sebastián, PR 00685 ","Tel. 280-9991 ","M81ramos@yahoo.com Milagros Ramos Bibliotecaria Auxiliar "
"68. Santa Isabel Cuadro: 845-4040 ","Biblioteca Electrónica Pedro M. Alomar ","Sra. Ruth Ortiz Encargada Sr. Pedro V. Muñoz Ayudante Alcalde y encargado ","Calle Hostos # 3 Santa Isabel, PR 00757 ","Tel. 845-4040, ext. 226 ","alcaldequestella@gmail.com "
"69. Toa Alta Cuadro: 870-2100 ","Biblioteca Municipal Evaristo Izcoa Díaz ","Sra. Iris J. Rodríguez Directora ","PO Box 82 Toa Alta, PR 00954 ","Tel. 870-0472 ","evaristoizcoa@yahoo.com "
"70. Toa Baja Cuadro: 261-0202 ","1. Biblioteca Municipal Juana Barroso Martinez 
2.Biblioteca Municipal Jaime Fornalledas Garriga ","Sr. Alan Mercado Encargado 787-585-3126 
Elizabeth Santana Encargada ","Calle Luisa Levittown, Toa Baja, PR 00949 
Ave Muñoz Rivera,Toa Baja, PR ","Tel 261-3051 
Tel 794-2145 ","sfcamercado@gmail.com 
sfcamercado@gmail.com "
"71. Trujillo Alto Cuadro: 761-0172 ","Biblioteca Municipal Emilio Díaz Valcárcel ","Alma M. Betancourt Díaz, Directora de la Oficina de Asuntos Educativos y de la Juventud.","PO Box 1869, Trujillo Alto, Puerto Rico 00977-1869 ","787-755-4160/ 4157/ 4140 
Municipio: 787-293-8840 ","ofialcalde@trujilloalto.gov.pr "
"72. Utuado Cuadro: 894-3505 ","Biblioteca Pública Municipal de Utuado ","Sra. Camila González Díaz Directora ","118 Calle del Cueto, Utuado, PR 00461-2661 ","Tel. 894-3566 ","NO TIENE CORREO ELECTRONICO "
"74. Vega Baja Cuadro: 855-2500 ","NO TIENEN BIBLIOTECA MUNICIPAL ",,,,"NO TIENEN BIBLIOTECA MUNICIPAL "
"75. Vieques Cuadro: 741-5000 ","Biblioteca Electrónica ","Gilmaliz Boulogne Pimentel Encargada ","449 Calle Carlos Le Brum Vieques, PR 00765 ","Tel.: 787-741-5000 ext. 2358 Fax: 787-741-0565 ","desireeanai2005@gmail.com "
"76. Villalba Cuadro: 847-2240 ","Biblioteca Pública de Villalba ","Myleiza Cruz Encargada ","PO Box 1506 Villalba, PR 00766 ","Tel:847-6541 Fax 847-1528 ","centrojuventud@hotmail.com "
"77. Yabucoa Cuadro: 893-3000 ","Biblioteca Municipal Reinaldo Alvarez Acosta ","Sra. Margarita Rodríguez Directora ","PO Box 97 Yabucoa, PR 00767 ","Tel. 893-3385 ","NO TIENE CORREO ELECTRONICO "
"78. Yauco Cuadro: 856-1345 ","Biblioteca Municipal Luis E. Catalá Mattei ","Sra. Alba Gutiérrez Bibliotecaria ","PO Box 1 Yauco, PR 00698 ","Tel. 856-1100 ","bibliotecaluisecatal@yahoo.com "
