"caso","tr_mite","fecha_de_radicaci_n","a_o_de_radicaci_n","mes_de_radicaci_n","catastro","municipio","direcci_n","regi_n","status","adjudicado_o_pendiente","fecha_de_adjudicaci_n","siglas","x","y","radicado_por_pa","nombre_del_proyecto","publico_o_privado","rural_o_urbano","due_o_del_proyecto","costo_estimado","location_1","lat","lon"
"2015-318300-PCO-35769","Permiso Construccion Cert.","2015-09-10T09:40:00.000","2015","2015.09","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 292, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-16T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","TILS # 292 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","178068","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318199-PCO-35749","Permiso Construccion Cert.","2015-09-03T14:23:00.000","2015","2015.09","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 152, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-10T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Oil & Vinegar # 152 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","0","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318119-PCO-35729","Permiso Construccion Cert.","2015-08-26T11:46:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite #253, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-03T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","William Sonoma #253 (The Mall of San Juan)","Privado","Rural","MIGUEL  BONILLA  MARTINEZ","249837.22","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-317980-PCO-35712","Permiso Construccion Cert.","2015-08-26T11:07:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite # 181, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-16T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Big Time # 181 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","89892","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318083-PCO-35710","Permiso Construccion Cert.","2015-08-26T10:45:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite #219, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-03T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Brooks Brothers #219 (The Mall of San Juan)","Privado","Rural","MIGUEL  BONILLA  MARTINEZ","978616.5","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318099-PCO-35709","Permiso Construccion Cert.","2015-08-26T10:37:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite # 215, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-03T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Pottery Barn #215 (The Mall of San Juan)","Privado","Rural","MIGUEL  BONILLA  MARTINEZ","80447.97","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318100-PCO-35689","Permiso Construccion Cert.","2015-08-21T09:32:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite #200, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-03T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Agent Provocateur #200 (The Mall of San Juan)","Privado","Rural","MIGUEL  BONILLA  MARTINEZ","14610","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318080-PCO-35672","Permiso Construccion Cert.","2015-08-20T15:32:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite # 142, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-09T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Kiko Milano # 142 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","212456.85","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318084-PCO-35671","Permiso Construccion Cert.","2015-08-20T15:14:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite #266, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-01T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Lululemon Atletica #266 (The Mall of San Juan)","Privado","Rural","MIGUEL  BONILLA  MARTINEZ","134629.22","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318081-PCO-35669","Permiso Construccion Cert.","2015-08-20T11:46:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite #216, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-01T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","TILS #216 (The Mall of San Juan)","Privado","Rural","MIGUEL  BONILLA  MARTINEZ","49039.08","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318059-PCO-35649","Permiso Construccion Cert.","2015-08-19T15:12:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite # 205, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-01T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Bvlgari # 205 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","319031","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318019-PCO-35630","Permiso Construccion Cert.","2015-08-18T15:23:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite # 144, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-09T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Lucky Brand # 144 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","103832","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-317899-PCO-35629","Permiso Construccion Cert.","2015-08-18T14:09:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite 252, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-01T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Ann Taylor # 252, The Mall of San Juan","Privado","Urbano","MIGUEL BONILLA ","57887.73","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-318000-PCO-35609","Permiso Construccion Cert.","2015-08-18T11:40:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite # 188, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-09-09T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Loft # 188 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","112171.42","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-317979-PCO-35589","Permiso Construccion Cert.","2015-08-13T15:42:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite # 250, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-08-25T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Fit2Run # 250 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","141675","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-317919-PCO-35549","Permiso Construccion Cert.","2015-08-04T14:58:00.000","2015","2015.08","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite # 127, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-08-12T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","SWAROVSKI # 127 (The Mall of San Juan)","Privado","Urbano","MIGUEL BONILLA ","33720","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-317379-PCO-35529","Permiso Construccion Cert.","2015-07-07T13:43:00.000","2015","2015.07","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite # 184, Urb. Villa Olimpica, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-07-10T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Hollister # 184, The Mall of San Juan","Privado","Urbano","MIGUEL BONILLA ","0","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2014-292445-PCO-35509","Permiso Construccion Cert.","2015-06-25T09:07:00.000","2015","2015.06","063-000-008-06","San Juan","Calle 13, Esquina Bondad, 140, Urb. Villa Olímpica, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-07-08T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Designer Eyes# 140, The Mall of San Juan","Privado","Urbano","MIGUEL BONILLA ","286331.84","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2014-298355-PCO-35489","Permiso Construccion Cert.","2015-06-23T11:49:00.000","2015","2015.06","121-040-013-25","Fajardo","Calle  B  Num 180, Num 180, Las Croabas, La Roca, Sardinera, Fajardo","Central","Cancelado","Adjudicado","2015-07-26T00:00:00.000","PCO-CERT","284917.83277406899","258691.61593738","No","proyecto charles Vogel","Privado","Urbano","CHARLES  VOGEL ","20000","(18.3619282330469, -65.6298408481789)","18.3619282330469","-65.629840848178901"
"2015-316980-PCO-35429","Permiso Construccion Cert.","2015-06-11T08:24:00.000","2015","2015.06","063-000-008-06","San Juan","1000 Mall Of San Juan Bvld., 252, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-06-19T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Tommy Bahama # 252, The Mall of San Juan","Privado","Urbano","MIGUEL  BONILLA ","471254","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2013-219621-PCO-35409","Permiso Construccion Cert.","2015-05-12T10:23:00.000","2015","2015.05","420-000-010-18","Arroyo","Pr-3, Km. 120.3, Las Palmas Industrial Park, Guásimas, Arroyo","Humacao","Pre-aprobado","Adjudicado","2015-05-14T00:00:00.000","PCO-CERT","239126.27579677","216224.84201173001","No","Parking Enlargement at Stryker Corporation","Privado","Urbano","FREDIEL RODRIGUEZ RODRIGUEZ","451032","(17.9795699326794, -66.063932588087)","17.9795699326794","-66.063932588086999"
"2015-316499-PCO-35389","Permiso Construccion Cert.","2015-05-06T15:11:00.000","2015","2015.05","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., Suite # 114, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-05-11T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","ZARA # 114, The Mall of San Juan","Privado","Urbano","MIGUEL  BONILLA ","370565.71","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-316182-PCO-35369","Permiso Construccion Cert.","2015-04-23T10:33:00.000","2015","2015.04","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 119, Villa Olimpica, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-04-27T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Brow Art 23 at The Mall of San Juan","Privado","Urbano","MIGUEL  BONILLA ","29692.5","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2015-316177-PCO-35349","Permiso Construccion Cert.","2015-04-20T15:55:00.000","2015","2015.04","063-000-008-06","San Juan","1000 Mall Of San Juan Blvd., 154a, Villa Olímpica, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-04-27T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Invicta # 154A, The Mall of San Juan","Privado","Urbano","MIGUEL BONILLA ","303733.14","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
"2014-282704-PCO-35329","Permiso Construccion Cert.","2015-04-09T10:42:00.000","2015","2015.04","015-000-008-04","Barceloneta","684, 3.1, La Boca, Palmas Altas, Barceloneta","Arecibo","Expedido","Adjudicado","2015-12-22T00:00:00.000","PCO-CERT","189233.68144196001","271592.69073139899","No","Mercado Artesanal - La Boca","Público","Rural","JOSE  FRANCO VEGA","434000","(18.4801368713378, -66.5352706909179)","18.480136871337798","-66.535270690917898"
"2014-266789-PCO-35309","Permiso Construccion Cert.","2015-04-06T12:24:00.000","2015","2015.04","058-000-003-22","Vega Alta","Carr 690, Km. 32.5, Urb. Industrial Maaco, Sabana, Vega Alta","Arecibo","Expedido","Adjudicado","2015-04-27T00:00:00.000","PCO-CERT","210078.34961182001","266395.66625652002","No","Instalacion de cilos-Planta WECO","Privado","Rural","JORGE MUÑOZ ","1036286","(18.4331874847412, -66.3379364013671)","18.4331874847412","-66.337936401367102"
"2014-306530-PCO-35289","Permiso Construccion Cert.","2015-04-01T15:40:00.000","2015","2015.04","278-006-086-52","San Lorenzo","Calle Luis Muñoz Rivera Carr. Pr-181, 1, Entrada Sur Del Pueblo, Quemados, San Lorenzo","Humacao","Cancelado","Adjudicado","2015-05-10T00:00:00.000","PCO-CERT","249579.81623649001","238983.84580069","No","Parque Acuático José Antonio Delgado Rodríguez","Público","Urbano","HON. JOSÉ ROMÁN ABREU, ALCALDE","42000","(18.1849784851074, -65.9646835327148)","18.184978485107401","-65.964683532714801"
"2014-285988-PCO-35269","Permiso Construccion Cert.","2015-03-30T13:12:00.000","2015","2015.03","361-018-348-03","Yauco","Carr. 375, Km. 5.0, Javilla, Quebradas, Yauco","Ponce","Pre-aprobado","Adjudicado","2015-05-05T00:00:00.000","PCO-CERT","158059.38973210001","224682.38251940001","No","Iglesia Pentecostal M.I., Bo. Quebradas, Yauco","Privado","Rural","EILEEN RIVERA QUIÑONES","30000","(18.0559291839599, -66.8294830322265)","18.055929183959901","-66.829483032226506"
"2014-302325-PCO-35249","Permiso Construccion Cert.","2015-02-24T12:12:00.000","2015","2015.02","000-000-000-00","Hormigueros","Carr 3334 Interior, Cruce Las Plumas, Sector Las Plumas, Barrio Pueblo, Hormigueros","Aguadilla","Expedido","Adjudicado","2015-07-08T00:00:00.000","PCO-CERT","228153.958635599","232251.15287803","No","MEJORAS DE ATARGEA EN QUEBRADA LAS LAJAS HORMIGUER","Público","Rural","JOSE  ALVARADO ","82396.89","(18.1245384216308, -66.1673049926757)","18.124538421630799","-66.167304992675696"
"2012-013502-PCO-35229","Permiso Construccion Cert.","2015-02-23T10:47:00.000","2015","2015.02","233-048-220-17","Mayagüez","Calle Dr. Basora, No. 15, Candelaria, Barrio Pueblo, Mayagüez","Aguadilla","Expedido","Adjudicado","2015-11-04T00:00:00.000","PCO-CERT","125269.87926430001","241021.96413275","No","Hospital Perea","Privado","Urbano","MARCO  REYES CONCEPCION","1250000","(18.2026634216308, -67.1397857666015)","18.202663421630799","-67.139785766601506"
"2015-312637-PCO-35209","Permiso Construccion Cert.","2015-02-18T15:40:00.000","2015","2015.02","132-000-002-35","Hatillo","Carr. Pr 489, Km 4.4  Int, Hoyo Pitre, Bayaney, Hatillo","Arecibo","Expedido","Adjudicado","2015-09-04T00:00:00.000","PCO-CERT","161661.51270593001","255571.48219204001","No","ENMIENDA AL PERMISO DE CONSTRUCCION        ","Privado","Rural","MARCOS Y DAISY FLORES ","3800","(18.3350753784179, -66.7960357666015)","18.335075378417901","-66.796035766601506"
"2014-302466-PCO-31147","Permiso Construccion Cert.","2014-11-21T10:51:00.000","2014","2014.11","226-072-213-07","Gurabo","Carr. 931, Km. 9, N/A, Navarro, Gurabo","Humacao","Cancelado","Adjudicado","2015-03-12T00:00:00.000","PCO-CERT","246940.1624647","243228.16593525","No","Carmen N. Cruz","Privado","Rural","CARMEN CRUZ CRUZ","19662","(18.2233848571777, -65.9895401000976)","18.223384857177699","-65.989540100097599"
"2015-311436-PCO-35189","Permiso Construccion Cert.","2015-02-10T13:38:00.000","2015","2015.02","037-029-004-11","Dorado","Calle Norte, Esq Calle Jesús T. Piñero, Anfiteatro Ángel Hernández, Barrio Pueblo, Dorado","Central","En Subsanación","Pendiente",,"PCO-CERT","218075.313996999","269381.128930479","No","Rehabilitación Anfiteatro Ángel Hernández","Público","Urbano","CARLOS  LÓPEZ RIVERA","416337","(18.4601078033447, -66.26220703125)","18.460107803344702","-66.26220703125"
"2013-224293-PCO-35173","Permiso Construccion Cert.","2015-02-04T10:56:00.000","2015","2015.02","112-054-575-15","Toa Alta","827, 7.7 Int. - Lote C-3, Hacienda El Pilar, Piñas, Toa Alta","Central","Expedido","Adjudicado","2015-09-16T00:00:00.000","PCO-CERT","221762.25932519001","257812.82813420001","No","URBANIZACION HACIENDA EL PILAR","Privado","Urbano","JAIME CASELLAS ","62000","(18.3552360534667, -66.2269744873046)","18.355236053466701","-66.226974487304602"
"2014-286639-PCO-35172","Permiso Construccion Cert.","2015-02-03T14:30:00.000","2015","2015.02","040-028-001-24","San Juan","Avenida Ashford, #1055, Condado, Santurce, San Juan","Central","Expedido","Adjudicado","2015-04-06T00:00:00.000","PCO-CERT","237729.55293665","269263.31771027","No","Vanderbilt Hotel - East Pool Deck Remodeling","Privado","Urbano","JOSEPH COBB ","719592.63","(18.4587879180908, -66.0761413574218)","18.458787918090799","-66.076141357421804"
"2014-303899-PCO-35170","Permiso Construccion Cert.","2015-02-02T13:14:00.000","2015","2015.02","069-097-387-12","Aguada","Carr. 4417, 0.8, Sector Juan Xxiii, Mamey, Aguada","Aguadilla","Expedido","Adjudicado","2015-12-07T00:00:00.000","PCO-CERT","124901.72034361","260006.164330139","No","Soccer Stadium and Recreational Facilities","Público","Rural","JESSIE CORTES  RAMOS","484614.59","(18.374168395996, -67.1439590454101)","18.374168395996001","-67.143959045410099"
"2014-264869-PCO-35169","Permiso Construccion Cert.","2015-02-02T12:39:00.000","2015","2015.02","209-046-024-07","Las Marías","Carr 397, 0.8 Interior, Solares Salvador Roldan, Furnias, Las Marías","Aguadilla","Expedido","Adjudicado","2015-05-14T00:00:00.000","PCO-CERT","137435.766431439","244391.75711757","No","Res David Sanchez","Privado","Rural","DAVID SANCHEZ VARGAS","80000","(18.2334995269775, -67.0248794555664)","18.2334995269775","-67.024879455566406"
"2015-309985-PCO-35152","Permiso Construccion Cert.","2015-01-30T14:19:00.000","2015","2015.01","297-000-004-41","Aibonito","Pr-726, Km 0.7, Caonillas, Caonillas, Aibonito","Ponce","Expedido","Adjudicado","2015-03-03T00:00:00.000","PCO-CERT","218085.317308759","234558.97903528","No","Centro de Dialisis Hospital Menonita de Aibonito","Privado","Rural","HOSPITAL GENERAL MENONITA DE AIBONITO ","1299332","(18.1454982757568, -66.2624206542968)","18.1454982757568","-66.262420654296804"
"2013-156440-PCO-35150","Permiso Construccion Cert.","2015-01-29T10:42:00.000","2015","2015.01","095-020-052-61","Rincón","1 Pr 413, 4.0 Int., Sunset, Puntas, Rincón","Aguadilla","Expedido","Adjudicado","2015-04-27T00:00:00.000","PCO-CERT","113246.20924310001","259222.80509216001","No","Villas de Sunset View","Privado","Rural","SUNSET VIEW INC SUNSET VIEW INC ","55000","(18.3666496276855, -67.2542190551757)","18.366649627685501","-67.254219055175696"
"2013-156440-PCO-35149","Permiso Construccion Cert.","2015-01-29T10:26:00.000","2015","2015.01","095-020-052-61","Rincón","1 Pr 413, 4.0 Int., Sunset, Puntas, Rincón","Aguadilla","Expedido","Adjudicado","2015-04-27T00:00:00.000","PCO-CERT","113246.20924310001","259222.80509216001","No","Villas de Sunset View","Privado","Rural","SUNSET VIEW INC SUNSET VIEW INC ","55000","(18.3666496276855, -67.2542190551757)","18.366649627685501","-67.254219055175696"
"2013-206887-PCO-35129","Permiso Construccion Cert.","2015-01-28T09:48:00.000","2015","2015.01","063-000-008-06","San Juan","Lot  B  Pr-17 Intersección Pr-8, 2000, The Mall Of San Juan, Sabana Llana Norte, San Juan","Central","Expedido","Adjudicado","2015-03-06T00:00:00.000","PCO-CERT","243047.38899871","264130.07512729999","No","Saks Fifth Avenue","Privado","Urbano","MICHAEL TILLMAN ","4744559.16","(18.41231004, -66.02590334)","18.412310040000001","-66.025903339999999"
