"calendario","genero","institucion_de_procedencia","campus","program","gpa","igs","location_1"
"Calendario Académico 13-14","Femenino","0001159-E/S LUZ AMERICA CALDERON BIRRIEL","CAROLINA","830410 - Bachillerato Artes Educ Sec concentración en Educación Ocupacional","3.93","295","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Masculino","0001500-E/S CATALINA MORALES DE FLORES","RUM","301602 - Bachillerato en Artes en Ciencias Sociales(2003)","3.90","300","
MOCA, PR 
(18.461009990000434, -67.05658999199966)"
"Calendario Académico 13-14","Masculino","0002854-SAINT PATRICK'S BILINGUAL SCHOOL","CAYEY","500423 - Bachillerato en Artes en Educación Elemental con concentración en Ciencias Naturales","3.52","299","
COAMO, PR 
(18.176566680000462, -66.44423666599965)"
"Calendario Académico 13-14","Femenino","0001157-E/S DR JOSE M LAZARO","CAROLINA","830410 - Bachillerato Artes Educ Sec concentración en Educación Ocupacional","3.69","267","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Masculino","0001341-E/S VOCACIONAL MANUEL MEDIAVILLA NEGRON","HUMACAO","600302 - Bachillerato en Administración de Empresas con concentración en Contabilidad","3.92","273","
HUMACAO, PR 
(18.20652000600046, -65.79329334199963)"
"Calendario Académico 13-14","Femenino","0001100-E/S VOCACIONAL PABLO COLON BERDECIA","ARECIBO","842706 - Grado Asociado en Tecnología Veterinaria","4.00","321","
BARRANQUITAS, PR 
(18.249683322000465, -66.31458997599964)"
"Calendario Académico 13-14","Masculino","0001035-E/S BENITO CEREZO VAZQUEZ","RUM","300501 - Bachillerato en Ciencias en Ingeniería Civil","3.32","316","
AGUADILLA, PR 
(18.513219982000464, -67.11387331799966)"
"Calendario Académico 13-14","Masculino","0001500-E/S CATALINA MORALES DE FLORES","AGUADILLA","812014 - Grado Asociado en Tecnología Electrónica","3.28","250","
AGUADA, PR 
(18.41521998200045, -67.15999331399962)"
"Calendario Académico 13-14","Femenino","0001752-E/S ADELA ROLON FUENTES","BAYAMON","861225 - Bachillerato en Ciencias Naturales con concentración en Biología-Enfoque Humano","3.93","330","
TOA ALTA, PR 
(18.40139665600043, -66.23430667699967)"
"Calendario Académico 13-14","Masculino","0002914-ACADEMIA DISCIPULOS DE CRISTO DE BAYAMON","BAYAMON","864102 - Bachillerato en Ciencias con concentración en Tecnología de Ingeniería Electrónica","3.75","281","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0001010-E/S JOSE EMILIO LUGO","PONCE","850703 - Bachillerato en Ciencias en Enfermería-Traslado Articulado RUM","3.90","308","
ADJUNTAS, PR 
(18.250349979000475, -66.78218332199964)"
"Calendario Académico 13-14","Femenino","0002820-ACADEMIA REGIONAL ADVENTISTA DEL NORTE","BAYAMON","860440 - Bachillerato en Educación Pre-escolar y Elemental","3.82","288","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0001383-E/S ISABEL FLORES","HUMACAO","600305 - Bachillerato en Administración de Empresas con concentración en Gerencia","2.71","266","
SAN LORENZO, PR 
(18.229343320000453, -65.96507000999964)"
"Calendario Académico 13-14","Masculino","0002805-ACADEMIA ESPIRITU SANTO","BAYAMON","864102 - Bachillerato en Ciencias con concentración en Tecnología de Ingeniería Electrónica","3.00","277","
TOA BAJA, PR 
(18.47601332500045, -66.18318334199967)"
"Calendario Académico 13-14","Masculino","0002824-COLEGIO NTRA SRA DE ALTAGRACIA","RIOPIEDRAS","200304 - Bachillerato Administración Empresas con concentración en Finanzas","3.13","316","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0002836-COLEGIO ADIANEZ","BAYAMON","860318 - Bachillerato en Sistemas de Oficina","2.92","268","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0002928-ACADEMIA SAN JOSE HIGH SCHOOL","RIOPIEDRAS","201212 - Bachiller en Ciencias con concentración en Ciencias Ambientales","3.70","312","
GUAYNABO, PR 
(18.440283314000453, -66.11327669099967)"
"Calendario Académico 13-14","Masculino","0002798-SAN JUAN EDUCATIONAL SCHOOL","BAYAMON","862009 - Grado Asociado en Tecnología de la Ingeniería Civil","2.90","245","
TOA ALTA, PR 
(18.40139665600043, -66.23430667699967)"
"Calendario Académico 13-14","Femenino","0002816-CUPEY MARIA MONTESSORI SCHOOL","CAYEY","501202 - Bachillerato en Ciencias con concentración en Biología","3.88","351","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Femenino","0001500-E/S CATALINA MORALES DE FLORES","AGUADILLA","811202 - Bachillerato en Ciencias con concentración en Biología","3.97","302","
MOCA, PR 
(18.461009990000434, -67.05658999199966)"
"Calendario Académico 13-14","Masculino","0001484-CENTRO RES DE OPORTUNIDADES EDUC (CROEM)","RIOPIEDRAS","201205 - Bachillerato en Ciencias con concentración en Matemáticas","3.82","383","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0001851-ESCUELA ESPECIALIZADA BRIGIDA ALVAREZ","RIOPIEDRAS","201212 - Bachiller en Ciencias con concentración en Ciencias Ambientales","3.59","323","
VEGA ALTA, PR 
(18.485569990000442, -66.33767333099962)"
"Calendario Académico 13-14","Femenino","0002901-RAMEY SCHOOL","RUM","300103 - Bachillerato en Ciencias Agrícolas en Agronomía (2003)","3.49","290","
ANASCO, PR 
(18.324123332000454, -67.12109331899967)"
"Calendario Académico 13-14","Masculino","0001530-E/S FRANCISCO MORALES RIVERA","UTUADO","822103 - Grado Asociado en Administración de Empresas","2.23","201","
NARANJITO, PR 
(18.33379665600046, -66.21724000599966)"
"Calendario Académico 13-14","Masculino","0001152-E/S ANGEL P MILLAN ROHENA","CAROLINA","832012 - Grado Asociado en Ingeniería Mecánica con concentración en Mantenimiento Industrial","3.31","265","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Masculino","0001321-E/S PADRE ANIBAL REYES BELEN","ARECIBO","842404 - Grado Asociado en Enfermería","3.90","291","
HATILLO, PR 
(18.493383312000446, -66.79609331999967)"
"Calendario Académico 13-14","Masculino","0002903-CUPEYVILLE SCHOOL","RIOPIEDRAS","201616 - Bachillerato en Artes con concentración en Ciencias Sociales","3.24","302","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0001345-E/S PETRA MERCADO BOUGART","HUMACAO","602014 - Grado Asociado en Tecnología Electrónica","3.62","271","
HUMACAO, PR 
(18.20652000600046, -65.79329334199963)"
"Calendario Académico 13-14","Masculino","0002910-ACADEMIA SUPERIOR SANTO TOMAS DE AQUINO","BAYAMON","864002 - Bachillerato en Ciencias de Computadoras","3.74","316","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0002892-COLEGIO SAGRADOS CORAZONES","RIOPIEDRAS","201505 - Bachillerato Artes en Comunicación con concentración en Relaciones Públicas y Publicidad","3.48","327","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0001500-E/S CATALINA MORALES DE FLORES","AGUADILLA","810318 - Bachillerato en Sistemas de Oficina","3.22","248","
MOCA, PR 
(18.461009990000434, -67.05658999199966)"
"Calendario Académico 13-14","Masculino","0001820-E/S VOCACIONAL TEODORO AGUILAR MORA","HUMACAO","601215 - Bachillerato en Ciencias con concentración en Física Aplicada a la Electrónica","4.00","316","
YABUCOA, PR 
(18.126146670000423, -65.90732001899966)"
"Calendario Académico 13-14","Masculino","0001638-ESCUELA ESPEC UNIVERSITY GARDENS","RIOPIEDRAS","201202 - Bachillerato en Ciencias con concentración en Biología","3.85","341","
GUAYNABO, PR 
(18.440283314000453, -66.11327669099967)"
"Calendario Académico 13-14","Femenino","0001811-E/S VOCACIONAL NUEVA DE VILLALBA","RUM","300311 - Bachillerato en Ciencias en Administración de Empresas en Mercadeo (2004)","4.00","323","
VILLALBA, PR 
(18.178216670000438, -66.45252664799966)"
"Calendario Académico 13-14","Femenino","0002944-ACADEMIA DE LA INMACULADA CONCEPCION","RUM","300505 - Bachillerato en Ciencias en Ingeniería Química","3.99","374","
ANASCO, PR 
(18.324123332000454, -67.12109331899967)"
"Calendario Académico 13-14","Femenino","0001505-E/S MARCELINO RODRIGUEZ ROMAN","RUM","301605 - Bachillerato en Artes en Psicología(2003)","3.84","304","
MOCA, PR 
(18.461009990000434, -67.05658999199966)"
"Calendario Académico 13-14","Masculino","0001080-E/S NATIVIDAD RODRIGUEZ GONZALEZ","RIOPIEDRAS","209878 - Programa de Destrezas-Educación","3.73","258","
ARROYO, PR 
(18.040500006000457, -66.05747668999965)"
"Calendario Académico 13-14","Femenino","0002699-TASIS SCHOOL","RIOPIEDRAS","200311 - Bachillerato Administración Empresas con concentración en Gerencia de Mercadeo","3.89","365","
DORADO, PR 
(18.480246659000443, -66.27008335099964)"
"Calendario Académico 13-14","Femenino","0001620-ESCUELA SECUNDARIA DE LA UPR","CAROLINA","830934 - Bachillerato en Estudios Multidisciplinarios con concentración en Cultura Turística","2.73","270","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0002903-CUPEYVILLE SCHOOL","BAYAMON","864102 - Bachillerato en Ciencias con concentración en Tecnología de Ingeniería Electrónica","2.61","275","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0001500-E/S CATALINA MORALES DE FLORES","AGUADILLA","810316 - Bachillerato en Administración de Hoteles y Restaurantes-Traslado Articulado UPR Carolina","4.00","338","
MOCA, PR 
(18.461009990000434, -67.05658999199966)"
"Calendario Académico 13-14","Masculino","0002771-COLEGIO DR ROQUE DIAZ TIZOL","BAYAMON","862010 - Grado Asociado en Tecnología de la Ingeniería Industrial","3.20","263","
YABUCOA, PR 
(18.126146670000423, -65.90732001899966)"
"Calendario Académico 13-14","Femenino","0001800-E/S GERMAN RIECKEHOFF","CAROLINA","831502 - Bachillerato en Tecnología de la Publicidad Comercial","3.43","280","
VIEQUES, PR 
(18.162380013000472, -65.39850335199964)"
"Calendario Académico 13-14","Femenino","0002951-ACADEMIA SANTA MARIA REINA","PONCE","851202 - Bachillerato en Ciencias Naturales con concentración en Biología","3.73","298","
COTO LAUREL, PR 
(39.52368635500045, -99.11415045099966)"
"Calendario Académico 13-14","Femenino","0002899-CARIBBEAN SCHOOL INC","RUM","301222 - Bachillerato en Ciencias en Educación Matemática(2003)","3.60","317","
JUANA DIAZ, PR 
(18.153083341000467, -66.52771664599965)"
"Calendario Académico 13-14","Femenino","0001304-ANTILLES HIGH SCHOOL","CAYEY","501202 - Bachillerato en Ciencias con concentración en Biología","3.84","317","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Femenino","0002854-SAINT PATRICK'S BILINGUAL SCHOOL","CAYEY","501201 - Bachillerato en Ciencias Naturales","4.00","312","
CAYEY, PR 
(18.168636673000435, -66.09474668699966)"
"Calendario Académico 13-14","Femenino","0002915-COLEGIO CATOLICO NOTRE DAME","RIOPIEDRAS","201202 - Bachillerato en Ciencias con concentración en Biología","3.98","345","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Femenino","0001755-E/S ADOLFINA IRIZARRY DE PUIG","ARECIBO","841623 - Bachillerato en Ciencias Sociales con concentración en Estudios Iberoamericanos","3.66","271","
TOA BAJA, PR 
(18.47601332500045, -66.18318334199967)"
"Calendario Académico 13-14","Femenino","0002943-COLEGIO DE LA MILAGROSA","RUM","300105 - Bachillerato en Ciencias Agrícolas en Educación Agrícola (2003)","3.29","261","
MAYAGUEZ, PR 
(18.273449985000468, -67.15902331699965)"
"Calendario Académico 13-14","Masculino","0001716-E/S BILINGUE PADRE RUFO","CAROLINA","831621 - Bachillerato en Artes Ciencias Sociales en Justicia Criminal conc en Psicología Forense","3.27","292","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Masculino","0001591-E/S MANUEL RAMOS HERNANDEZ","RUM","300103 - Bachillerato en Ciencias Agrícolas en Agronomía (2003)","3.68","321","
QUEBRADILLAS, PR 
(18.491656645000432, -66.94465997699962)"
"Calendario Académico 13-14","Femenino","0002809-GUAMANI PRIVATE SCHOOL","PONCE","851202 - Bachillerato en Ciencias Naturales con concentración en Biología","3.95","301","
PATILLAS, PR 
(18.10874667100046, -66.05169669099962)"
"Calendario Académico 13-14","Femenino","0001157-E/S DR JOSE M LAZARO","RIOPIEDRAS","200925 - Bachillerato en Artes con concentración en Lenguas Modernas","3.63","310","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0003943-PUERTO RICO YOUTH CHALLENGE ACADEMY","AGUADILLA","814508 - Bachillerato en Ciencias en Tecnología Electrónica","3.87","294","
ISABELA, PR 
(18.515853329000436, -67.09106999699964)"
"Calendario Académico 13-14","Femenino","0003856-COLEGIO ANGEL DAVID (AD COLLEGE)","UTUADO","822702 - Grado Asociado en Tecnología de la Horticultura","3.67","310","
GUAYNABO, PR 
(18.440283314000453, -66.11327669099967)"
"Calendario Académico 13-14","Masculino","0002879-COLEGIO NTRA SRA DE GUADALUPE","BAYAMON","860304 - Bachillerato en Administración de Empresas con concentración en Finanzas","3.07","281","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0002888-COLEGIO BAUTISTA DE CAGUAS","RIOPIEDRAS","201212 - Bachiller en Ciencias con concentración en Ciencias Ambientales","3.96","313","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Masculino","0002831-HOGAR COLEGIO LA MILAGROSA","RIOPIEDRAS","200202 - Bachillerato en Diseño Ambiental","3.90","350","
ARECIBO, PR 
(18.494389977000424, -66.62700999999964)"
"Calendario Académico 13-14","Masculino","0001721-E/S VOCACIONAL ANTONIO FERNOS INSERN","HUMACAO","600302 - Bachillerato en Administración de Empresas con concentración en Contabilidad","4.00","354","
GURABO, PR 
(18.311056650000467, -65.98620334899965)"
"Calendario Académico 13-14","Femenino","0001480-E/S EUGENIO MARIA DE HOSTOS","RUM","301202 - Bachillerato en Ciencias en Biología(2003)","4.00","333","
MAYAGUEZ, PR 
(18.273449985000468, -67.15902331699965)"
"Calendario Académico 13-14","Masculino","0001075-E/S ABELARDO MARTINEZ OTERO","ARECIBO","842404 - Grado Asociado en Enfermería","3.53","281","
ARECIBO, PR 
(18.494389977000424, -66.62700999999964)"
"Calendario Académico 13-14","Masculino","0002908-COLEGIO DE LA SALLE","BAYAMON","860447 - Bachillerato en Educación Física Especial y Elemental","2.86","240","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Masculino","0002958-COLEGIO NTRA SRA DE LA MERCED","CAROLINA","831502 - Bachillerato en Tecnología de la Publicidad Comercial","3.51","266","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0002948-COLEGIO PONCENO","RUM","301604 - Bachillerato en Artes en Ciencias Políticas(2005)","2.94","275","
PONCE, PR 
(18.172323350000454, -66.59130332099966)"
"Calendario Académico 13-14","Femenino","0002916-COLEGIO BAUTISTA DE CAROLINA","CAROLINA","830408 - Bachillerato Artes en Educación Secundaria concentración en Educación Tecnología","2.80","251","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Femenino","0001275-E/S AUREA E QUILES CLAUDIO","BAYAMON","861613 - Bachillerato en Artes conc en Psicología y Salud Mental de la Comunidad-TA UPR Cayey","3.97","310","
GUANICA, PR 
(18.033676673000457, -66.95284331999966)"
"Calendario Académico 13-14","Masculino","0001591-E/S MANUEL RAMOS HERNANDEZ","AGUADILLA","811202 - Bachillerato en Ciencias con concentración en Biología","3.58","305","
QUEBRADILLAS, PR 
(18.491656645000432, -66.94465997699962)"
"Calendario Académico 13-14","Masculino","0002903-CUPEYVILLE SCHOOL","RUM","301604 - Bachillerato en Artes en Ciencias Políticas(2005)","3.24","302","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0001095-E/S JUAN PONCE DE LEON","ARECIBO","841624 - Bachillerato en Ciencias Sociales concentración en Psicología Industrial Organizacional","3.94","287","
FLORIDA, PR 
(18.413263311000435, -66.56380331699967)"
"Calendario Académico 13-14","Masculino","0001360-E/S JOSEFINA LEON ZAYAS","RUM","300103 - Bachillerato en Ciencias Agrícolas en Agronomía (2003)","3.63","293","
JAYUYA, PR 
(18.300633312000457, -66.57163999599965)"
"Calendario Académico 13-14","Femenino","0001703-ESCUELA ESPECIALIZADA RAFAEL CORDERO MOLINA","RIOPIEDRAS","200317 - Bachillerato en Administración de Sistemas de Oficina","3.09","278","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0001680-E/S LOLA RODRIGUEZ DE TIO","RIOPIEDRAS","201601 - Bachillerato en Artes con concentración en Relaciones Laborales","3.57","283","
SAN GERMAN, PR 
(18.174113357000465, -67.05098999199964)"
"Calendario Académico 13-14","Femenino","0001624-E/S GABRIELA MISTRAL","RIOPIEDRAS","201205 - Bachillerato en Ciencias con concentración en Matemáticas","3.86","306","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0001113-E/S PAPA JUAN XXIII","BAYAMON","860304 - Bachillerato en Administración de Empresas con concentración en Finanzas","3.20","282","
TOA ALTA, PR 
(18.40139665600043, -66.23430667699967)"
"Calendario Académico 13-14","Femenino","0002939-COLEGIO DE LA INMACULADA CONCEPCION","ARECIBO","844201 - Bachillerato en Tecnología en Comunicación Tele-radial","3.71","325","
MANATI, PR 
(18.485849998000447, -66.43904664699966)"
"Calendario Académico 13-14","Masculino","0001770-E/S LUIS MUNOZ RIVERA","UTUADO","822702 - Grado Asociado en Tecnología de la Horticultura","2.45","181","
UTUADO, PR 
(18.34954332400042, -66.73568998899964)"
"Calendario Académico 13-14","Masculino","0002845-ACADEMIA CRISTO DE LOS MILAGROS","HUMACAO","600324 - Bachillerato en Administración de Empresas con concentración en Comercio Internacional","3.11","273","
GURABO, PR 
(18.311056650000467, -65.98620334899965)"
"Calendario Académico 13-14","Masculino","0002702-ESCUELA SAN GERMAN INTERAMERICANA","RUM","300504 - Bachillerato en Ciencias en Ingeniería Mecánica","3.72","344","
LAJAS, PR 
(18.06632668800046, -67.06825999499966)"
"Calendario Académico 13-14","Masculino","0001205-E/S ANA JACOBA CANDELAS","CAYEY","500423 - Bachillerato en Artes en Educación Elemental con concentración en Ciencias Naturales","3.43","290","
AGUAS BUENAS, PR 
(18.302256655000463, -66.06795334799966)"
"Calendario Académico 13-14","Masculino","0001531-E/S CON DEPTO OCUP RUBEN RODRIGUEZ FIGUEROA","BAYAMON","864102 - Bachillerato en Ciencias con concentración en Tecnología de Ingeniería Electrónica","3.40","294","
NARANJITO, PR 
(18.33379665600046, -66.21724000599966)"
"Calendario Académico 13-14","Masculino","0002910-ACADEMIA SUPERIOR SANTO TOMAS DE AQUINO","PONCE","850715 - Bachillerato en Terapéutica Atlética","3.56","319","
TOA ALTA, PR 
(18.40139665600043, -66.23430667699967)"
"Calendario Académico 13-14","Femenino","0002928-ACADEMIA SAN JOSE HIGH SCHOOL","BAYAMON","860318 - Bachillerato en Sistemas de Oficina","3.30","277","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Masculino","0001484-CENTRO RES DE OPORTUNIDADES EDUC (CROEM)","RUM","301208 - Bachillerato en Ciencias en Física(2003)","3.95","350","
MAYAGUEZ, PR 
(18.273449985000468, -67.15902331699965)"
"Calendario Académico 13-14","Femenino","0002903-CUPEYVILLE SCHOOL","RIOPIEDRAS","200304 - Bachillerato Administración Empresas con concentración en Finanzas","3.74","329","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0002922-COLEGIO LOURDES","RIOPIEDRAS","200304 - Bachillerato Administración Empresas con concentración en Finanzas","3.17","294","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0001730-E/S VOCACIONAL MANUEL MENDEZ LICIAGA","AGUADILLA","810308 - Bachillerato Administración de Empresas concentración Sist Computadorizados de Información","4.00","293","
MOCA, PR 
(18.461009990000434, -67.05658999199966)"
"Calendario Académico 13-14","Femenino","0001505-E/S MARCELINO RODRIGUEZ ROMAN","RUM","301204 - Bachillerato en Ciencias en Química(2003)","4.00","336","
MOCA, PR 
(18.461009990000434, -67.05658999199966)"
"Calendario Académico 13-14","Femenino","0002928-ACADEMIA SAN JOSE HIGH SCHOOL","RIOPIEDRAS","201212 - Bachiller en Ciencias con concentración en Ciencias Ambientales","4.00","344","
GUAYNABO, PR 
(18.440283314000453, -66.11327669099967)"
"Calendario Académico 13-14","Femenino","0002827-COLEGIO BEATO CARLOS M RODRIGUEZ","BAYAMON","861226 - Bachillerato en Ciencias Naturales con concentración en Biología","3.99","317","
TOA ALTA, PR 
(18.40139665600043, -66.23430667699967)"
"Calendario Académico 13-14","Masculino","0002862-COLEGIO SAGRADA FAMILIA","BAYAMON","864002 - Bachillerato en Ciencias de Computadoras","3.20","283","
TOA ALTA, PR 
(18.40139665600043, -66.23430667699967)"
"Calendario Académico 13-14","Masculino","0002885-COLEGIO MARIA AUXILIADORA","RIOPIEDRAS","209807 - Programa Experimental Adultos-Educación","2.91","243","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Masculino","0002957-COLEGIO ESPIRITU SANTO","CAYEY","500423 - Bachillerato en Artes en Educación Elemental con concentración en Ciencias Naturales","3.52","291","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0001638-ESCUELA ESPEC UNIVERSITY GARDENS","HUMACAO","601216 - Bachillerato en Ciencias con concentración en Matemáticas Computacionales","3.93","345","
SAN LORENZO, PR 
(18.229343320000453, -65.96507000999964)"
"Calendario Académico 13-14","Masculino","0003947-GLOBELLE TECHNICAL INSTITUTE INC","UTUADO","820302 - Bachillerato en Administración de Empresas con concentración en Contabilidad","2.67","226","
MANATI, PR 
(18.485849998000447, -66.43904664699966)"
"Calendario Académico 13-14","Femenino","0002733-ACADEMIA BAUTISTA DE PUERTO NUEVO","AGUADILLA","810318 - Bachillerato en Sistemas de Oficina","3.13","240","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0001821-E/S URBANA NUEVA RAMON QUINONES MEDINA","HUMACAO","600703 - Bachillerato en Ciencias en Enfermería","3.87","307","
YABUCOA, PR 
(18.126146670000423, -65.90732001899966)"
"Calendario Académico 13-14","Femenino","0002943-COLEGIO DE LA MILAGROSA","RUM","301605 - Bachillerato en Artes en Psicología(2003)","3.72","317","
HORMIGUEROS, PR 
(18.160303342000475, -67.11240332799963)"
"Calendario Académico 13-14","Masculino","0002892-COLEGIO SAGRADOS CORAZONES","BAYAMON","861226 - Bachillerato en Ciencias Naturales con concentración en Biología","3.56","308","
GUAYNABO, PR 
(18.440283314000453, -66.11327669099967)"
"Calendario Académico 13-14","Femenino","0002771-COLEGIO DR ROQUE DIAZ TIZOL","CAYEY","500401 - Bachillerato en Artes en Educación Secundaria con concentración en Ciencias Naturales","3.94","297","
GURABO, PR 
(18.311056650000467, -65.98620334899965)"
"Calendario Académico 13-14","Femenino","0001500-E/S CATALINA MORALES DE FLORES","AGUADILLA","810318 - Bachillerato en Sistemas de Oficina","2.90","242","
MOCA, PR 
(18.461009990000434, -67.05658999199966)"
"Calendario Académico 13-14","Femenino","0002902-COLEGIO SAN CARLOS","RUM","301202 - Bachillerato en Ciencias en Biología(2003)","3.86","333","
AGUADA, PR 
(18.41521998200045, -67.15999331399962)"
"Calendario Académico 13-14","Femenino","0001733-E/S PATRIA LATORRE RAMIREZ","AGUADILLA","810301 - Bachillerato en Administración de Empresas","3.24","279","
SAN SEBASTIAN, PR 
(18.395099988000425, -67.00910998599966)"
"Calendario Académico 13-14","Masculino","0002729-ACADEMIA ADVENTISTA DEL NORTE","ARECIBO","840318 - Bachillerato en Sistemas de Oficina","3.21","245","
ARECIBO, PR 
(18.494389977000424, -66.62700999999964)"
