"lic","nombre_de_la_institucion","direccion_fisica","pueblo_fisico","zip_code_fisico","direccion_postal","pueblo_postal","zip_code_postal","telefono_primario","telefono_secundario","email_primario","email_secundario","fax_primario","fax_secundario","nombre_del_director","matricula_total"
"V 09-13","Institute of Beauty Careers","Calle Mckinley Núm. 21","Manatí","00664","PO BOX 809","Arecibo","00612","(787) 884-0099","(787) 754-0099","majosue@yahoo.com","rmontanoibc@yahoo.com","(787) 884-0101","(787) 884-0099","Roberto Montano","207"
"V 09-15","Dewey University","Carr. 604, Km. 49.1, Bo. Tierras Nuevas Saliente","Manatí","00674","PO BOX 19538","San Juan","00910","(787) 854-3800","(787) 753-0039","director.man@dewey.edu","lina.vega@dewey.edu","(787) 854-1899","(787) 751-4660","Magdalena Vega","100"
"V 09-16","Instituto Comercial de Puerto Rico Junior College (ICPR)","Carr. Núm. 2, Puerta del Norte Mall, Km. 49.9, Bo. Pueblo","Manatí","00674","PO BOX 49","Manatí","00674","(787) 884-6000","(787) 753-6335","fgonzalez@icprjc.edu","lvargas@icprjc.edu","(787) 854-6049","(787) 622-3416","Fernando L Gonzalez Alvarez","94"
"V 10-03","Instituto de Educación Vocacional","Carr. 805 Km 2.4 Bo. Negros Corozal, Puerto Rico 00783","Corozal","00783","PO BOX 615","Corozal","00783","(787) 859-0957","(787) 649-9593","instituto.eduvoc@gmail.com",,"(787) 859-0957","(787) 802-0000","Sr. Juan A. Moreno Padilla","21"
"V 10-04","Millenium Professional Arts Institute","Carr. 633 Km 4.9, Bo Barahona","Morovis","00687","Bo.Campanillas 1309 Villa Hostos","Toa Baja","00949","(787) 862-4205","(787) 579-2762","mpai2003@gmail.com",,"(787) 862-4205","(787) 862-4205","Wilfredo Alvarado Rodríguez","93"
"V 13-03","Universidad del Este","Carr. #129, Urb. Industrial Zeno Gandía Calle A lote A-1 Víctor Rojas","Arecibo","00612","PO BOX 3119","Arecibo","00612","(787) 257-7373","(787) 815-1275","mvelezr@suagm.edu","pamercado@suagm.edu","(787) 257-8841","(787) 257-8841","Dra. Mildred Huertas Solá","155"
"V 13-06","Runway Center Arts & Institute","Laguna Gardens Shopping Center #203","Carolina","00979","PO BOX 108","Dorado","00646","(787) 717-2229","78721-","runwaycenterartsinstitute@gmail.com","a.delgadoeventos@gmail.com","(787) 717-2229",,"Ángel E. Delgado Salgado","0"
"V 14-03","Professional Technical Institution, Inc.","Bo. La Aldea, Carr. 167, Km. 20.5, Calle Comerio Final","Bayamón","00960","PO BOX 4307","Bayamón","00957","(787) 740-6810","(787) 740-6810","pticollege@aol.com","pticollege@aol.com","(787) 798-5535","(787) 740-6810","Anna Sanfilippo","244"
"V 14-05","Modern Hairstyling Institute","Calle Betances #20 Esquina Degatau","Bayamón","00961","PO BOX 369","Bayamón","00960","(787) 778-0300","(787) 778-0300","e.lebron@modern.edu","dr.berrios@modern.edu","(787) 740-3980",,"Israel A. Berrios Tosses","305"
"V 14-07","Academia Viemar","Calle Martí # 8, Edif. Casa del Rey","San Juan","00936","PO BOX 366411","Bayamón","00961","(787) 269-7770","(787) 269-7770","aviemar@hotmail.com","mcmr220@gmail.com","(787) 269-7770","(787) 269-7770","Fanny Martínez de Viera","6"
"V 14-16","Quality Technical & Beauty College","Bo. Pueblo Carr. 167 Esq Calle Parque Local #10","Bayamón","00961","Barrio Pueblo Carr. 167 Esq Calle Parque Local #10","Bayamón","00961","(787) 740-7490","(787) 787-1809","trochee@prtc.net","rvenegas1212@gmail.com","(787) 785-4666","(787) 740-7490","Aracelis Gascot","68"
"V 14-18","Centro Nuevos Horizontes, Inc.","Urb. Lomas Verdes, Ave. Laurel 3 M-20","Bayamón","00959","Urbanización Alturas de Flamboyán, Calle 23 N-16","Bayamón","00959","(787) 269-1577","-0","nuevoshorizontesinc@gmail.com","kairuzmayte@gmail.com","-0",,"Mayte Kairuz Vélez, Directora Académica","84"
"V 14-29","American Educational College, Inc.","Calle Santa Cruz # 45","Bayamón","00960","PO BOX 62","Bayamón","00960","(787) 798-1199","(787) 798-2970","aec.bayamon@gmail.com","complianceoffice.amedco@gmail.com","(787) 798-1134",,"Joaquín E. González Pinto","63"
"V 14-33","Nova College de Puerto Rico, Inc.","Calle Dr. Veve #137, Bayamón Centro","Bayamón","00960","PO BOX  55016 Station # 1","Bayamón","00960","(787) 740-5030","(787) 740-5030","ismaelreyes52@gmail.com","exito@novacollegepr.com","(787) 778-0420",,"Ismael Reyes Morales","155"
"V 14-35","Automeca Technical College","Carr. PR# 2, Km 14.0, Esquina Calle Morales #1, Urb. Industrial Teresita, Bo. Hato Tejas","Bayamón","00960","PO BOX  8569","Bayamón","00960","(787) 779-6161","(787) 779-6162","cestrada@automeca.com","dfernandez@automeca.com","(787) 779-6200",,"Carmen Estrada","437"
"V 14-35.1","Automeca Technical College (Centro de Extensión)","Carr. 3 km 43.8 Bo Quebrada","Fajardo","00738","4229 calle marginal carr. #3","Fajardo","00738","(787) 468-2370","(787) 468-2372","rtorres@automeca.com","dfernandez@automeca.com","(787) 779-6200",,"Ruth Torres","144"
"V 14-38","Leston College, Inc.","Calle Dr. Veve # 52","Bayamón","00961","Calle Dr. Veve # 52, Altos","Bayamón","00961","(787) 787-9661","(787) 787-9661","lestonc@coqui.net","info@lestoncollege.com","(787) 779-0744","(787) 779-0744","Ruth M. De Jesus","112"
"V 14-38.1","Leston College, Centro de Extensión de Isabela","Calle Manuel Corchado Juarbe #60","Isabela","00662","Dr Veve # 52","Bayamón","00961","(787) 830-9191","(787) 830-9191","lestonc@coqui.net",,"(787) 830-9191",,"Andre Meléndez Concepción",
"V 14-41","World Training Academy","PR-2 KM 14.4 HATO TEJAS","Bayamón","00959","2185 Carretera #2","Bayamón","00960","87-7737","(787) 593-6640","info@worldtrainingacademy.com","ivelisse@ckvnailsystem.com","(787) 780-5931","(787) 740-7372","Harry Archilla Trinidad","145"
"V 14-42","Bayamón Community College","Calle Maceo # 17","Bayamón","00961","PO BOX 55176","Bayamón","00960","(787) 780-4242","(787) 780-4242","saadt@bccpr.org","rebeccaberrios@bccpr.org","(787) 778-7447",,"Tanus J. Saad Marrero","112"
"V 14-44","Dewey University","Carr. #2, Km. 15.9, Industrial Corujo, Edificio 2,3,5 y 6","Bayamón","00959","PO BOX 19538","San Juan","00910","(787) 778-1200","(787) 753-0039","director.bay@dewey.edu","lina.vega@dewey.edu","(787) 778-8451","(787) 764-6303","Yesenia Machuca","31"
"V 14-49","Universidad Interamericana de PR (Instituto Técnico)","Carr. 830, Dr. John Hill Harris #500","Bayamón","00957","Carr. 830, Dr. John Hill Harris #500","Bayamón","00957","(787) 279-1912","(787) 279-2220","lfreytes@bayamon.inter.edu","irodriguez@bayamon.inter.edu","(787) 279-2205","(787) 279-2220","Liza Freytes Hernández","224"
"V 14-50","MECH-TECH COLLEGE, LLC","Bo. Pájaros Carr. 167, Km. 18.9","Bayamón","00960","PO BOX 959","Bayamón","00960","(787) 744-1060","(787) 797-1147","edwincolon@mechtech.edu","ysierra@mechtech.edu","(787) 744-1035","(787) 797-1147","Eric Rivera","251"
"V 14-51","Universidad Metropolitana Escuela de Estudios Técnicos","Centro de Gobierno, Paseo del Parque, Carr. # 167, Esquina Santiago Veve, Edificio B","Bayamón","00960","PO BOX 278","Bayamón","00960","(787) 288-1100","(787) 766-1717","um_laponte@suagm.edu","livega@suagm.edu","(787) 288-1137","(787) 288-1100","Dr. Guillermo Vázquez Toro","227"
"V 14-55","Instituto Central","Ave. Zaya Verde, Urb. Extensión La Milagrosa, Hato Tejas","Bayamón","00960","PO BOX 1725","Bayamón","00960","(787) 786-3030","(787) 474-5555","ncolon@ucb.edu.pr","nnarvaez@ucb.edu.pr","(787) 625-5281","(787) 786-3030","Dra. Nidia Colón Quintana, Directora","0"
"V 14-58","American Technical Institute","Avenida Castiglioni U-27, Urb. Bayamón Gardens","Bayamón","00957","PO BOX 6901","Bayamon","00960","(787) 799-5060","(787) 799-5066","emilygomez777@gmail.com","egomezamtec@gmail.com","(787) 799-5066",,"Emily Gómez Galarza","111"
"V 14-62","Caribbean University","Carr. 167 Km. 21.2 Urb. Forest Hill","Bayamón","00963","PO BOX 493","Bayamón","00960","(787) 780-0070","(787) 780-0070","president@caribbean.edu","vpadilla@caribbean.edu","(787) 785-0101","(787) 780-0070","Mary I. Rivera Cintrón","68"
"V 14-66","D'College Corp.","Carr. # 2 K28.8","Vega Alta","00692","PO BOX 3285","Vega Alta","00692","(787) 527-3951","(787) 369-0806","dcollegecorporacion@gmail.com","delegantspa@icloud.com","(787) 527-3951","(787) 369-0806","Mirna Vargas Ruiz","0"
"V 14-67","Industrial Biotechnological Institute","Carr. 871, Esquina Expreso De Diego, Sector Volcán-Arenas (Facilidades Bayamón Military Academy)","Bayamón","00959","PO BOX 362259 Ciudad San Juan","San Juan","00923","(787) 619-5059","(787) 410-9194","caudales@gmail.com","caudales@gmail.com","(787) 998-8917",,"Rodulio Caudales cepero","14"
"V 14-68","D'Rose División Fotografía","Ave. Carlos Javier Andaluz 3D-34 (antes Ave. Nogal),Urb. Lomas Verdes","Bayamón","00959","Calle 6 K-2 Alturas del Rio","Bayamón","00959","(787) 798-0591","(787) 798-0591","info@eduardoperezstudio.com","eduardoperezstudio@gmail.com","(787) 798-0591","(787) 798-0591","Eduardo L. Pérez Rodríguez","5"
"V 14-71","Instituto de Banca y Comercio","Carr. #2, Km. 15.3, Bo. Hato Tejas","Bayamón","00959","2275 Carretera # 2, Km. 15.3, Barrio Hato Tejas","Bayamón","00959","(787) 522-4325","(787) 982-3000","wnegron6@ibancapr.com","mihernandez@ibancapr.com","(787) 522-4347","(787) 982-3080","Wigdalys Negron Colon","921"
"V 14-74","Puerto Rico Advance Institute, Corp","Calle Barbosa Núm. 14","Bayamón","00961","PO BOX 1371","Bayamón","00960","(787) 786-5566","(787) 786-5566","pradvance@prai21010.com","pradvance@prai2010.com","(787) 786-5566","(787) 786-5566","Anneris Albizu","26"
"V 14-75","CEM College","Calle Degetau  #15, #19, #21, #23, #25 y Calle Maceo Esquina Marti # 7","Bayamón","00961","Calle Degetau # 25","Bayamón","00961","(787) 780-8900","(787) 787-6000","mfeliciano@cemcollege.edu","jelopez@cemcollege.edu","(787) 798-2575",,"María R. Feliciano Colón","66"
"V 14-76","Instituto Educativo Correccional (IEC) Depto de Corrección y Rehabilitación del","Carr. 167 Bo. Juan Sánchez","Bayamón","00960","50 Carr. Unit #307-607073","Bayamón","00960","(787) 488-9800","(787) 786-2085","lomartinez@ac.pr.gov","loraine1172@gmail.com","(787) 488-9800",,"Loraine Martínez Adorno","30"
"V 14-77","Gypsum Board & Art Institute","Avenida Piñero #1434, Puerto Nuevo","San Juan","00922","PO BOX 1565","Toa Alta","00954","(787) 919-0075","(787) 919-0075","info@gypsumboardinstitute.com","info@gypsumboardinstitute.com","(787) 919-0075",,"Angel Díaz Santana","0"
"V 14-78","EDIC College","Corujo Industrial Park, Calle C #45 Carr. 2, km. 15.2","Bayamón","00961","PO BOX 9120","Caguas","00726","(787) 665-7910","(787) 704-1020","lramirez@ediccollege.edu","lramirez@edipcollege.edu","(787) 665-7910",,"Rommel Alfonseca","154"
"V 14-79","ITECH INSTITUTE","Calle Dr. Veve #117","Bayamón","00956","Apartado 791","Toa Baja","00951","(787) 645-0755","(787) 645-0755","itech_institute17@yahoo.com",,"(787) 645-0755",,"Maríam Dominguez","0"
"V 14-80","Puerto Rico Partners Institute","Calle Ferrer 18, Bayamón, Pueblo","Bayamón","00960","PO BOX 55211 Station One","Bayamón","00960","(787) 740-7979","(787) 740-7979","puertoricopartners@yahoo.com",,"(787) 740-7979",,"Angel J. Díaz Santana","20"
"V 16-05","Central College UNI","Carr. 159 Km 13.4 Frente a MC'Donald's","Corozal","00783","PO BOX 615","Corozal","00783","(787) 480-0808","(787) 802-0000","centralcollegeuni@gmail.com",,"(787) 483-0808","(787) 802-0000","Dr. Giuseppe Pandolfi de Rinaldis","15"
"V 17-03","Instituto Educativo Técnico Ocupacional Dorado (SAAPE)","Carr. #695, Km. 2.2, Bo. Higuillar, Sector Aldea","Dorado","00646","HC 33 Buzón 5133","Dorado","00646","(787) 796-2160","(787) 796-0999","MRNevarez@trabajo.pr.gov","echevarria942@gmail.com","(787) 796-2722",,"Miguel A. Rivera Nevárez","82"
"V 19-01","American Educational College","Calle Muñoz Rivera # 226 y #228","Toa Alta","00953","PO BOX 205","Bayamón","00960","(787) 870-2552","(787) 870-2026","aec.toaalta@gmail.com","complianceoffice.amedco@gmail.com","(787) 870-2026",,"Angel M. Marrero Calderon","26"
"V 20-01","Centro de Adiestramiento del Sistema Eléctrico","Carr. PR-165, Km, 31.8, Bo. Palo Seco","Toa Baja","00949","Autoridad de Energía Eléctrica, PO BOX 364267, Correo General","San Juan","00936","(787) 521-7240","(787) 521-7242","letty.lasanta@prepa.com","letty.lasanta@aeepr.com","(787) 521-7084","(787) 521-5755","Luis O. Cruz Ortega","1500"
"V 21-03","American Educational College, Inc.","Calle Muñoz Rivera #64","Vega Alta","00692","PO BOX 205","Bayamón","00960","(787) 883-1140","(787) 270-5267","aec.vegaalta@gmail.com","complianceoffice.amedco@gmail.com","(787) 883-1146",,"Ramiro Repollet Solivan","55"
"V 21-03.1","American Educational College, Inc. (Centro de Extensión Educativa)","Calle Muñoz Rivera #96","Ciales","00638","PO BOX 205","Bayamón","00960","(787) 874-0185","(787) 871-0185","aec.vegaalta@gmail.com","complianceoffice.amedco@gmail.com","(787) 871-0185","(787) 871-0185","Ramiro Repollet","51"
"V 21-04","D'Mart Institute, Inc.","Carr. #2, Km. 29.7, Centro Comercial Gran Caribe, Suite #98, Cinema Building Store #1, Bo. Espinosa","Vega Alta","00692","Centro Comercial Gran Caribe, Suite #98, Cinema Building Store #1, Barrio Espinosa","Vega Alta","00692","(787) 883-8180","(787) 263-0357","jvargas@dmartpr.com","arivera@dmartpr.com","(787) 263-1481","(787) 883-8180","Amarilis Rivera González","209"
"V 22-02","Globelle Technical Institute, Inc.","Urb. Monte Carlo, Marginal # 114, Carr. #2","Vega Baja","00693","136 calle trinitaria alianza Morovis","Morovis","00687","(787) 414-3047","(787) 414-3047","gloriaesther1949@gmail.com",,"(787) 414-3047",,"n/d","0"
"V 22-06","MECH-TECH COLLEGE, LLC","Bo. Pugnado Afuera, Sector Golpe Avisa, Carr. Núm. 155, Km. 65.7","Vega Baja","00694","PO BOX 4118","Vega Baja","00694","(787) 744-1060","(787) 807-0575","edwincolon@mechtech.edu","ysierra@mechtech.edu","(787) 744-1035","(787) 858-1540","Sr. Eric Rivera","449"
"V 24-04","Sign Language Services, Inc.","Calle Gerónimo Martínez # 2 Segundo Nievel","Aibonito","00705","HC 02 Box 8465","Aibonito","00705","(787) 324-9036","(787) 324-9036","anam_burgos@yahoo.com","anam_burgos@yahoo.com","(787) 324-9036",,"Ana Burgos","31"
"V 25-02","Colegio Mayor de Tecnología, Inc.","Calle Morse #87, #151 y #152, Norte, Bo. Cuatro Calles","Arroyo","00714","PO BOX 270","Arroyo","00714","(787) 839-5266","(787) 839-4066","m.vicente@cmtarroyo.com","a.rivera@cmtarroyo.com","(787) 839-0033","(787) 839-5266","Dr. Jaime A. Colón","441"
"V 26-03","D'Mart Institute, Inc.","Carr. 156 Km. 17.3 Bo. Honduras.","Barranquitas","00794","PO BOX 373517","Cayey","00737","(787) 857-6929","(787) 263-0353","jvargas@dmartpr.com","c.berrios@dmartpr.com","(787) 263-1481","(787) 857-6633","Carmen L. Berrios Rivera","193"
"V 26-04","Universidad Interamericana de Puerto Rico, Inc.","Carr. 156, Int. 719, Km. 0.2, Bo. Helechal","Barranquitas","00794","Apartado 517","Aibonito","00705","(787) 857-3600","(787) 857-6771","aserrano@br.inter.edu","mrodriguez@br.inter.edu","(787) 857-6771","(787) 857-2244","Juan A. Negrón Berríos","187"
"V 26-06","Barranquitas Job Corps","Carr. 152, Km. 3.0, Hm. 0, Bo. Quebradillas","Barranquitas","00794","PO BOX 68","Barranquitas","00794","(787) 857-5200","(787) 857-5555","cabrera.pedro@jobcorps.org","castro.brenda@jobcorps.org","(787) 857-7760","(787) 857-1577","Pedro L. Cabrera Ramos","154"
"V 27-05","Huertas  College","Calle Héctor R. Bunker #41 y #49","Caguas","00726","PO BOX 8429","Caguas","00726","(787) 746-1400","(787) 746-1400","mlopez@huertas.edu","rbonilla@huertas.edu","(787) 743-0203",,"Miguel Diaz Peña","146"
"V 27-07","Liceo de Arte, Diseño y Comercio","Calle José Julián Acosta 38,41, 42 y 49, Calle Jiménez Sicardó Núm. 49, Bo. Pueblo","Caguas","00726","PO BOX 1889","Caguas","00726","(787) 743-7447","(787) 743-7447","cabanchina@aol.com","director@liceocaguas.com","(787) 743-7446","(787) 743-7447","Carlos Martínez García","196"
"V 27-12","IVAEM College","14 Calle Intendente Ramírez","Caguas","00726","14 Calle Intendente Ramírez","Caguas","00725","(787) 743-5327","(787) 747-0530","finanzas@ivaempr.com","directora@ivaempr.com","(787) 258-1670",,"Carmen L. Amalbert Conde","67"
"V 27-20","MECH-TECH COLLEGE LLC","Calle # 39-40 Urb.Parque Industrial Oeste","Caguas","00726","PO BOX 6118","Caguas","00726","(787) 743-0484","(787) 744-1060","edwincolon@mechtech.edu","ysierra@mechtech.edu","(787) 744-1035",,"Isaias Rojas","572"
"V 27-26","Automeca Technical College","Calle Luis Muñoz Rivera # 69","Caguas","00725","Calle Luis Muñoz Rivera # 69","Caguas","00725","(787) 746-3429","(787) 746-3468","brivera@automeca.com","dfernandez@automeca.com","(787) 779-6200",,"Blanca Rivera Santiago","210"
"V 27-27","Columbia Central University","Carr. 183 Km. 1.7 Salida Caguas a San Lorenzo","Caguas","00725","PO BOX 8517","Caguas","00726","(787) 743-4041","(787) 258-1501","gserrano@columbiacentral.edu","cmrivera@columbiacentral.edu","(787) 744-7031","(787) 746-5616","Dra. Gladys Serrano Claudio, Rectora","21"
"V 27-30","EDIC College","Avenida Rafael Cordero, Calle Génova, Esq. #5, Urb. Caguas Norte (Centro Comercial Caguas Norte) y Plaza Centro Mall #200, Ave.","Caguas","00726","PO BOX 9120","Caguas","00726","(787) 744-8519","(787) 744-8519","amanzanal@ediccollege.edu","lramirez@ediccollege.edu","(787) 743-0855",,"Anamalie Manzanal","369"
"V 27-32","Instituto de Banca y Comercio (Recinto)","Carr. #1, Km. 33.7, Lote 3, Urb. Bairoa","Caguas","00726","PO BOX 1867","Caguas","00726","(787) 745-9525","(787) 653-1549","emartinez6@ibancapr.com","AAviles@nuc.edu","(787) 744-4760",,"Eliseo Martinez Perez","844"
"V 27-35","D.T. Caguas Technology College, Inc.","calle modesto sola #12","Caguas","00725","PO BOX 3054","Caguas","00726","(787) 703-2202","(787) 703-2202","detectives2010@gmail.com","ajrdetective@yahoo.com","(787) 746-3355",,"Eric Rivera","7"
"V 27-37","Global Institute","Angora Park Plaza, Bo. Pueblo, Ave. Luis Muñoz Marín, Esquina Calle Georgetti","Caguas","00725","PO BOX 361290","San Juan","00936","(787) 744-3010","(787) 744-3210","globalcaguas@yahoo.com","mmarrero@globalcaguas.com","(787) 744-3210",") -","Magali Marrero","173"
"V 27-44","Professional Carrer Training","Carr. 734, Km. 0.4, Centro Comercial Villa Del Carmen (Segundo Nivel), Bo. Sud","Cidra","00739","PO BOX 6768","Caguas","00725","(787) 661-6666","(787) 745-2559","pctlopez@msn.com","jaipalondra@yahoo.com","(787) 745-2559","(787) 745-2559","Tanya Gomez","0"
"V 27-46","Career Real Estate College, Inc.","Ave. Roosevelt 1105, Puerto Nuevo (Segunda Planta)","San Juan","00921","PO BOX 9617","Caguas","00926","(787) 975-7177","(787) 998-9888","info@crecollegepr.com","licenciadojulioortiz@yahoo.com","(789) 975-7177",,"Julio Ángel Ortiz Dávila","499"
"V 27-47","Myrangel Beauty Institute","Calle Gautier Benítez #26","Caguas","00725","Calle Muñoz Rivera, Núm. 57 Sur","San Lorenzo","00754","(787) 736-0435","(787) 736-0435","crbadillo@yahoo.com","crbadillo@yahoo.com","(787) 736-4140","(787) 736-0435","Carlos R. Badillo Hernández","122"
"V 27-48","PPG Technical College","Ave Sukura  Lote 6, Villa Blanca Industrial Park","Caguas","00726","PO BOX 3164","Caguas","00726","(787) 961-6832","(787) 743-6833","rmarcano@ppg.edu","vaponte@ppg.edu","(787) 743-6837",,"Ruth E. Marcano Rivera","112"
"V 27-50","Sonage Institute","Urb. Villa del Carmen Q-27, Ave. Luis Munoz Marín","Caguas","00725","Urb. Villa del Carmen Q-27, Ave. Luis Munoz Marín","Caguas","00725","(787) 743-1975","(787) 743-1975","sonageinstitute@yahoo.com","burtellam@yahoo.com","(787) 743-1975","(787) 743-1975","Anita M. Burtell Flores","16"
"V 27-52","Incube2","Calle Celis Aguilera #52 Casco Urbano","Caguas","00726","PO BOX 55","Caguas","00726","(787) 967-1050","(787) 610-5966","servicios@incube2.com","juancarlos@incube2.com","(800) 521-2962",,"Juan Carlos Rodriguez Correa","0"
"V 27-53","Job Connection Center, Inc.","Ave. Gautier Benítez Esq. Georgetti Edif. Gautier Benítez 2do nivel","Caguas","00725","PO BOX 930-0213","Sa Juan","00928","(787) 743-8164","(787) 767-9210","lacevedo@jobconnectioncenter.com","fortiz@jobconnectioncenter.com","(787) 743-8164","(787) 767-4689","César M. López Santos","16"
