NÚM. AEP,EDIFICIOS,MUNICIPIO,REGIÓN,DIRECCIÓN FÍSICA,Latitud,Longitud,Location
3640,CUARTEL DE LA POLICÍA,SAN LORENZO,CAGUAS,CALLE LUIS MUÑOZ RIVERA #188,18.185658686,-65.963072816,"(18.185659, -65.963073)"
9590,DESTACAMENTO DE LA POLICÍA - PALMER,RÍO GRANDE,CAROLINA,"CARR. #955, KM. 5.8, POBLADO PALMER, RÍO GRANDE, P.R.",18.3700277348,-65.7712289439,"(18.370028, -65.771229)"
3080,CUARTEL DE LA POLICÍA,ARROYO,GUAYAMA,"CARR. #178, KM.1.8, CALLE MARCELINO, ARROYO, P.R.",17.965805273,-66.0644173066,"(17.965805, -66.064417)"
3170,CUARTEL DE LA POLICÍA,CAYEY,CAGUAS,"CALLE EVARISTO VÁZQUEZ, CAYEY, P.R.",18.1158993127,-66.1599565267,"(18.115899, -66.159957)"
3360,CUARTEL DE LA POLICÍA,JAYUYA,PONCE,"CARR. #532, KM.0.1 JAYUYA, P.R.",18.2192593104,-66.5950116284,"(18.219259, -66.595012)"
3840,CUARTEL DE LA POLICÍA,FLORIDA,ARECIBO,"CARR. #140, KM. 55.5, BO. FLORIDA ADENTRO, FLORIDA, P.R.",18.36677477,-66.567215949,"(18.366775, -66.567216)"
3540,CUARTEL DE LA POLICÍA,PATILLAS,GUAYAMA,"CARR. #3 , KM. 127.0, EDIFICIO 64, PATILLAS, P.R.",18.0025014106,-66.0130849749,"(18.002501, -66.013085)"
3350,CUARTEL DE LA POLICÍA,ISABELA,AGUADILLA,"AVENIDA FERROCARRIL, ISABELA, P.R.",18.4987540894,-67.0225593303,"(18.498754, -67.022559)"
3310,CUARTEL DE LA POLICÍA,GURABO,CAGUAS,"CALLE EUGENIO SANCHEZ LOPEZ, FINAL",18.2556085493,-65.9745598938,"(18.255609, -65.97456)"
3570,CUARTEL DE LA POLICÍA,QUEBRADILLAS,AGUADILLA,"BO. CACAO, QUEBRADILLAS, P.R.",18.4718741578,-66.9372362296,"(18.471874, -66.937236)"
3220,CUARTEL DE LA POLICÍA,COMERÍO,BAYAMÓN,"CARR. #778, COMERÍO, P.R.",18.2165831254,-66.2251467639,"(18.216583, -66.225147)"
3460,CUARTEL DE LA POLICÍA,MARICAO,MAYAGUEZ,"CARR. # 120, KM. 11.4 MARICAO, P.R.",18.1832074614,-66.9808546999,"(18.183207, -66.980855)"
3260,CUARTEL DE LA POLICÍA,FAJARDO,HUMACAO,"CALLE VICTORÍA NÚM. 9, FAJARDO, P.R.",18.325308603,-65.6551686572,"(18.325309, -65.655169)"
3300,CUARTEL DE LA POLICÍA,GUAYNABO,ADMINISTRADOR&FA,"CARR. #20, KM. 5.3, GUAYNABO, P.R.",18.362179831,-66.1120085574,"(18.36218, -66.112009)"
3563,COMANDANCIA NUEVA ,PONCE,PONCE,"AVE. HOSTOS, AL LADO DEL CENTRO GUBERNAMENTAL",18.0045959942,-66.5851845265,"(18.004596, -66.585185)"
3550,CUARTEL DE LA POLICÍA,PEÑUELAS,PONCE,"CARR. 3383, KM. 0.5, BO. CUEVAS, PEÑUELAS, P.R.",18.0555062177,-66.7247368462,"(18.055506, -66.724737)"
3730,CUARTEL DE LA POLICÍA,VIEQUES,HUMACAO,"CARRETERA 200 K.2 VIEQUES, P.R.",18.1435223693,-65.4420776384,"(18.143522, -65.442078)"
3760,CUARTEL DE LA POLICÍA  ,YAUCO,PONCE,"INTERSECCIÓN CARR. #128 Y CARR. #368 BO. SUSUA BAJA, YAUCO, P.R.",18.0369976005,-66.8597090906,"(18.036998, -66.859709)"
3700,COMANDANCIA DE LA POLICÍA,UTUADO,ARECIBO,NORTE URB. CABRERA UTUADO P.R.,18.267171873,-66.7120001502,"(18.267172, -66.712)"
3050,CUARTEL DE LA POLICÍA,AIBONITO,CAGUAS,"CALLE JULIO ROSARIO #198, AIBONITO, PR",18.1395839281,-66.2692797617,"(18.139584, -66.26928)"
3340,COMANDANCIA DE LA POLICÍA,HUMACAO,HUMACAO,"CALLE FONT. MARTELLO, ESQUINA CALLE DUFRESNE, HUMACAO, P.R.",18.151402153,-65.8293490387,"(18.151402, -65.829349)"
3270,CUARTEL DE LA POLICÍA,GUÁNICA,MAYAGUEZ,"CALLE 13 DE MARZO, EAQUINA CARR. #333, GUÁNICA,P.R.",17.971655161,-66.9051806933,"(17.971655, -66.905181)"
3510,CUARTEL DE LA POLICÍA,NAGUABO,HUMACAO,"CALLE CELIS AGUILAR, NAGUABO, P.R.",18.2114467015,-65.7381496753,"(18.211447, -65.73815)"
3490,CUARTEL DE LA POLICÍA,MOCA,AGUADILLA,"CARR. # 110, ESQUINA CALLE BALDORIOTY, MOCA, P.R.",18.3945420016,-67.1133097962,"(18.394542, -67.11331)"
3566,UNIDAD MARÍTIMA,PONCE,PONCE,"CALLE BONAIRE BO. PLAYA, PONCE, P.R.",17.9842737215,-66.6285334553,"(17.984274, -66.628533)"
3380,CUARTEL DE LA POLICÍA,JUNCOS,HUMACAO,"CALLE BASILIA VELÁZQUEZ, JUNCOS, P.R.",18.2319790985,-65.9202859774,"(18.231979, -65.920286)"
3100,CUARTEL DE LA POLICÍA,BARRANQUITAS,BAYAMÓN,"CARR. #719 BARRANQUITAS, P.R.",18.1848734884,-66.3061268086,"(18.184873, -66.306127)"
3420,CUARTEL DE LA POLICÍA,LAS PIEDRAS,HUMACAO,"CALLE CELSO BARBOSA, #181, LAS PIEDRAS, PR",18.1847616317,-65.871578459,"(18.184762, -65.871578)"
3302,CUARTEL DE LA POLICÍA JUAN DOMINGO,GUAYNABO,BAYAMÓN,"AVE. JUAN DOMINGO, GUAYNABO, P.R.",18.397366245,-66.1227162912,"(18.397366, -66.122716)"
3830,CUARTEL DE LA POLICÍA,LOÍZA,CAROLINA,"CARR. # 187, KM. 11.0, LOÍZA, P.R.",18.4335886556,-65.8763310531,"(18.433589, -65.876331)"
9120,DESTACAMENTO E LA POLICÍA BO. BOQUERÓN,CABO ROJO,MAYAGUEZ,"CARR. #101, KM. 3.1, BO. BOQUERÓN, CABO ROJO, P.R.",18.0279127792,-67.1672518882,"(18.027913, -67.167252)"
3112,DIVISIÓN VEÍICULOS HURTADOS Y TRANSITO,BAYAMÓN,BAYAMÓN,"EXPRESO RÍO HONDO, BO JUAN SÁNCHEZ, BAYAMÓN P.R.",18.41855473,-66.1464180498,"(18.418555, -66.146418)"
3600,CUARTEL DE LA POLICÍA,SABANA GRANDE,MAYAGUEZ,"CARR. #2, KM. 214.6 SABANA GRANDE, P.R. ",18.0783791012,-66.9637854055,"(18.078379, -66.963785)"
3114,CUARTEL PRECINTO DE BAYAMÓN,BAYAMÓN,BAYAMÓN,"CARR. #861 SECTOR LOS MILLONES, BAYAMÓN, P.R.",18.3634142506,-66.150326382,"(18.363414, -66.150326)"
3780,CUARTEL DE LA POLICÍA DE LEVITTOWN,TOA BAJA,BAYAMÓN,"BARRIO SABANA SECA CALLE LUISA URB. LEVITTOWN TOA BAJA, P.R.",18.4478757682,-66.1808854779,"(18.447876, -66.180885)"
