NUM. AEP,EDIFICIOS,MUNICIPIO,REGIÓN,DIRECCIÓN FÍSICA,Latitud,Longitud,Location
4700,TRIBUNAL DISTRITO,UTUADO,ARECIBO,"AVE. RIVAS DOMINICHI, CARRETERA 111 DESPUES DEL CORREO Y ANTES DE ESC. JUDITH VIVAS, UTUADO, P.R.",18.2684490166,-66.7011351008,"(18.2684490166, -66.7011351008)"
4720,TRIBUNAL DISTRITO,VEGA BAJA,ARECIBO,"CARRETERA NÚM. 2 KM. 38.3 INT. CARRETERA CABO CARIBE (HACIA LA PLAYA) AL LADO DEL CENTRO GUBERNAMENTAL, VEGA BAJA, P.R.",18.4468298834,-66.3865704953,"(18.4468298834, -66.3865704953)"
4220,TRIBUNAL DISTRITO,COMERÍO,BAYAMÓN,"CALLE GEORGETTI NÚM. 16, COMERÍO, P.R.",18.2221342868,-66.2259763896,"(18.2221342868, -66.2259763896)"
4670,TRIBUNAL DISTRITO,TOA ALTA,BAYAMÓN,"CALLE MUÑOZ RIVERA NÚM. 2, TOA ALTA, P.R.",18.3861979882,-66.2523497211,"(18.3861979882, -66.2523497211)"
4170,TRIBUNAL DISTRITO,CAYEY,CAGUAS,"AVE. ANTONIO R. BARCELÓ, CAYEY, PR (PO BOX 373457)",18.1160223572,-66.1603198119,"(18.1160223572, -66.1603198119)"
4640,TRIBUNAL DISTRITO,SAN LORENZO,CAGUAS,"AVE. LUIS MUÑOZ RIVERA, FINAL, SAN LORENZO, P.R. (PO BOX 1293)",18.185206371,-65.96326862,"(18.185206371, -65.96326862)"
4590,TRIBUNAL DISTRITO - DESOCUPADO,RIO GRANDE,CAROLINA,"CALLE DEL CARMEN FINAL, RÍO GRANDE, P.R.",18.3792878632,-65.830467332,"(18.3792878632, -65.830467332)"
4280,CENTRO JUDICIAL,GUAYAMA,GUAYAMA,"URB. LA HACIENDA AVE. JOSÉ A. TORRES, AL LADO COMANDANCIA POLICÍA, GUAYAMA, P.R.",17.9711682569,-66.1149880136,"(17.9711682569, -66.1149880136)"
4540,TRIBUNAL DISTRITO,PATILLAS,GUAYAMA,"CALLE #3, KM 127, PATILLAS, P.R.",18.0028555933,-66.0132616074,"(18.0028555933, -66.0132616074)"
4210,TRIBUNAL DISTRITO,COAMO,GUAYAMA,"CARR. 150, KM 19, COAMO, P.R.",18.0804637326,-66.3626104258,"(18.0804637326, -66.3626104258)"
4610,TRIBUNAL DISTRITO,SALINAS,GUAYAMA,"CALLE MIGUEL TEN FINAL, SALINAS, P.R.",17.9748068064,-66.2985562832,"(17.9748068064, -66.2985562832)"
4260,TRIBUNAL DISTRITO,FAJARDO,HUMACAO,"CALLE VICTORÍA NÚM. 9, FAJARDO, P.R.",18.3268703,-65.6467496,"(18.3268703, -65.6467496)"
4340,TRIBUNAL DISTRITO,HUMACAO,HUMACAO,"45 CRUZ ORTIZ STELLA, HUMACAO, P.R.",18.1521323061,-65.8246751135,"(18.1521323061, -65.8246751135)"
4730,TRIBUNAL DISTRITO,VIEQUES,HUMACAO,"CARRETERA 200 K.2 VIEQUES, P.R.",18.1436048078,-65.442419009,"(18.1436048078, -65.442419009)"
4750,TRIBUNAL DISTRITO,YABUCOA,HUMACAO,"CALLE CATALINA MORALES NUM. 9, YABUCOA, P.R.",18.0467709264,-65.879681235,"(18.0467709264, -65.879681235)"
4060,TRIBUNAL DISTRITO,AÑASCO,MAYAGUEZ,"CALLE 65 INFANTERÍA, AÑASCO, P.R.",18.2805770297,-67.1445487309,"(18.2805770297, -67.1445487309)"
4120,TRIBUNAL DISTRITO,CABO ROJO,MAYAGUEZ,"CALLE JOSÉ DE DIEGO, CABO ROJO, P.R.",18.0899241092,-67.1457047013,"(18.0899241092, -67.1457047013)"
4620,TRIBUNAL DISTRITO,SAN GERMAN,MAYAGUEZ,"AVE CASTO PÉREZ, SAN GERMÁN, P.R.",18.0806004316,-67.034976062,"(18.0806004316, -67.034976062)"
4010,TRIBUNAL DISTRITO,ADJUNTAS,PONCE,"CALLE RODULFO GONZÁLEZ FINAL, AL LADO CUARTEL DE LA POLICÍA, GUAYAMA, P.R.",18.1667187786,-66.7250021667,"(18.1667187786, -66.7250021667)"
4290,TRIBUNAL DISTRITO,GUAYANILLA,PONCE,"CALLE LUIS MUÑOZ RIVERA, GUAYANILLA, P.R.",18.016288242,-66.7895011156,"(18.016288242, -66.7895011156)"
4370,TRIBUNAL DISTRITO,JUANA DÍAZ,PONCE,"URB. ESPERANZA, JUANA DÍAZ, P.R.",18.0476860174,-66.5064605655,"(18.0476860174, -66.5064605655)"
4760,TRIBUNAL DISTRITO,YAUCO,PONCE,"CALLE 65 INFANTERÍA, YAUCO, P.R.",18.0337342291,-66.852883673,"(18.0337342291, -66.852883673)"
