"numero_de_contrato","entidad","contratista","cuantia","fecha_de_otorgamiento","vigente_desde","vigente_hasta","vigencia_en_meses","tipo_de_servicio","categoria_de_servicio","estatus","funcionario_firmante","otorgado_en_pr","otorgado_en","esta_rescindido","es_privatizacion"
"(4036) 2014-000242","Municipio de Humacao","CARRASQUILLO RIVERA, OLGA M.","5400","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2014-09-30T00:00:00.000","12","VIVIENDAS","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","MARCELO TRUJILLO PANISSE, ALCALDE","true","HUMACAO","false","false"
"(3051) 2014-C00266","Recinto de Río Piedras de la Universidad de Puerto Rico","NATIONAL COPIER DIGITAL SOLUTIONS","633","2013-09-27T00:00:00.000","2013-07-01T00:00:00.000","2014-06-30T00:00:00.000","12","SERVICIOS DE MANTENIMIENTO DE EQUIPO","SERVICIOS MISCELÁNEOS NO PERSONALES","Aceptado","ETHEL RÍOS ORLANDI, RECTORA INTERINA, RECTORA INTERINA","true","SAN JUAN","false","false"
"(1201) 2013-000196-A","Departamento de Educación de Puerto Rico","RICOH PUERTO RICO, INC.","162072","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2016-10-30T00:00:00.000","37.15","EQUIPO DE OFICINA","COMPRA, VENTA Y ALQUILER DE EQUIPO, VEHICULOS Y OTROS","Aceptado","LOURDES VELAZQUEZ RIVERA, DIRECTORA, AUTORIDAD ESCOLAR DE ALIMENTOS","true","SAN JUAN","false","false"
"(3061) 2014-000056-B","Universidad de Puerto Rico en Arecibo","CARMEN M PEREZ PEREZ","420","2013-09-27T00:00:00.000","2013-09-26T00:00:00.000","2013-09-26T00:00:00.000","0.03","SERVICIO DE CONFERENCIANTE","SERVICIOS DE ADIESTRAMIENTO U ORIENTACION","Aceptado","DR. JOSE J. RODRIGUEZ VAZQUEZ, RECTOR INTERINO","true","ARECIBO","false","false"
"(4071) 2013-000075-H","Municipio de Trujillo Alto","DELTA CONSULTING ENGINEERS OF THE CARIBBEAN, INC.","0","2013-09-27T00:00:00.000","2013-09-29T00:00:00.000","2013-10-27T00:00:00.000","0.95","EDIFICIOS ","CONSTRUCCION Y REPARACION DE ESTRUCTURAS","Aceptado","YARIDSA COLLAZO PERDOMO, AYUDANTE ESPECIAL DEL ALCALDE","true","TRUJILLO ALTO","false","false"
"(1000) 2014-055083","Departamento de Agricultura","TEODORO F. ALFONSO DAIRY, INC.","35000","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2018-09-27T00:00:00.000","60.07","FONDOS ESTATALES","TRANSFERENCIA DE FONDOS","Aceptado","AGRO. FRANCISCO APONTE RIVERA, SUBSECRETARIO DE AGRICULTURA","true","SAN JUAN","false","false"
"(1000) 2014-055084","Departamento de Agricultura","VILMA IRIS PERAZA GARCÍA","25000","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2018-09-27T00:00:00.000","60.07","FONDOS ESTATALES","TRANSFERENCIA DE FONDOS","Aceptado","AGRO. FRANCISCO APONTE RIVERA, SUBSECRETARIO DE AGRICULTURA","true","SAN JUAN","false","false"
"(1201) 2010-000280-C","Departamento de Educación de Puerto Rico","FONDO FOMENTO INDUSTRIA LECHERA/PEDRO GORDIAN JUAN","6133101.54","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2013-12-31T00:00:00.000","3.16","ALIMENTOS","COMPRA DE MATERIALES, SUMINISTROS Y EFECTOS","Aceptado","LOURDES VELAZQUEZ RIVERA, DIRECTORA, AUTORIDAD ESCOLAR DE ALIMENTOS","true","SAN JUAN","false","false"
"(4011) 2014-001734","Municipio de Bayamón","ASAMBLEA FAMILIAR VIRGILIO DAVILA","125","2013-09-27T00:00:00.000","2013-09-28T00:00:00.000","2013-09-28T00:00:00.000","0.03","GUAGUAS, CAMIONES","COMPRA, VENTA Y ALQUILER DE EQUIPO, VEHICULOS Y OTROS","Aceptado","ORLANDO LOPEZ BELMONTE, SECRETARIO MUNICIPAL","true","BAYAMÓN","false","false"
"(4026) 2014-000114-D","Municipio de Dorado","PARK AND RECREATION SYSTEMS OF P.R., INC.","0","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-11-30T00:00:00.000","2.01","SERVICIOS TÉCNICOS","SERVICIOS TÉCNICOS","Aceptado","ANGEL GOMEZ MIRANDA, AYUDANTE EJECUTIVO","true","DORADO","false","false"
"(4011) 2014-001729","Municipio de Bayamón","PICERNE SIERRA BAYAMON APARTMENTS","5184","2013-09-27T00:00:00.000","2013-11-01T00:00:00.000","2014-10-31T00:00:00.000","12","VIVIENDAS","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","ALEXIS ELLIS COLON, DIRECTORA VIVIENDA MUNICIPAL","true","BAYAMÓN","false","false"
"(2250) 2014-000247","Departamento de la Familia","JOSE MIGUEL TORRES TORRES","13300","2013-09-27T00:00:00.000","2013-01-01T00:00:00.000","2013-08-31T00:00:00.000","7.99","LOCALES","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","IDALIA COLON RONDON, SECRETARIA","true","SAN JUAN","false","false"
"(4038) 2014-000013-A","Municipio de Jayuya","SALVA MARIN MILAGROS M","6000","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-31T00:00:00.000","1.02","SERVICIOS DE MÉDICOS","SERVICIOS RELACIONADOS CON LA SALUD","Aceptado","ALICIA ALFONZO REYES, AYUDANTE DEL ALCALDE","true","JAYUYA","false","false"
"(3180) 2014-000421","Compañía de Fomento Industrial de Puerto Rico","NORTHERN ENTERTAINMENT PRODUCTIONS, LLC.","0","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2013-10-21T00:00:00.000","0.82","SIN CUANTÍA","ACUERDOS NO FINANCIEROS","Aceptado","EDWARD MONEFELDT, OFICIAL PRINCIPAL INTERINO DEL AREA DE SERVICIOS A","true","SAN JUAN","false","false"
"(2250) 2014-000246","Departamento de la Familia","FONDO FOMENTO INDUSTRIA LECHERA/PEDRO GORDIAN JUAN","2539.6","2013-09-27T00:00:00.000","2012-11-01T00:00:00.000","2012-12-31T00:00:00.000","2.01","SERVICIOS DE ALIMENTOS (CATERING)","SERVICIOS MISCELÁNEOS NO PERSONALES","Aceptado","IDALIA COLON RONDON, SECRETARIA","true","SAN JUAN","false","false"
"(4038) 2014-000278","Municipio de Jayuya","GUZMAN DIAZ MIGUEL A","1440","2013-09-27T00:00:00.000","2013-09-30T00:00:00.000","2013-10-04T00:00:00.000","0.16","OFRECER EQUIPO EN ALQUILER","COMPRA, VENTA Y ALQUILER DE EQUIPO, VEHICULOS Y OTROS","Aceptado","LUZ IVETTE GONZALEZ RIVERA, SECRETARIA EJECUTIVA DEL ALCALDE","true","JAYUYA","false",
"(3052) 2014-000170","Recinto Universitario de Mayagüez de la Universidad de Puerto Rico","RICOH PUERTO RICO, INC.","477.84","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2014-06-30T00:00:00.000","8.98","SERVICIOS MISCELANEOS NO PERSONALES","SERVICIOS MISCELÁNEOS NO PERSONALES","Aceptado","ANGEL F. PEREZ PACHECO, DIRECTOR DEPARTAMENTO DE FINANZAS","true","MAYAGUEZ","false",
"(4057) 2013-000209","Municipio de Peñuelas","Ariel J. Vargas Perez","5400","2013-09-27T00:00:00.000","2012-10-01T00:00:00.000","2013-09-30T00:00:00.000","12","OBTENER INMUEBLES","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Reparo Final","Nancy Rivera Rodriguez, Coordinadora Programas Federales","true","PEÑUELAS","false",
"(4011) 2014-002257","Municipio de Bayamón","DANIEL MALPICA RODRIGUEZ","5525","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2014-09-30T00:00:00.000","12.13","VIVIENDAS","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","ALEXIS ELLIS COLON, DIRECTORA VIVIENDA MUNICIPAL","true","BAYAMÓN","false","false"
"(3190) 2014-000194","Instituto de Cultura Puertorriqueña","Elizabeth Rodriguez","1500","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2013-09-30T00:00:00.000","0.13","OTROS PRÉSTAMOS","PRESTAMOS","Aceptado","Lilliana Ramos Collado, Directora Ejecutiva","true","SAN JUAN","false","false"
"(1000) 2014-055128","Departamento de Agricultura","ARG DAIRY FARM, CORP.","14400","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2018-09-27T00:00:00.000","60.07","FONDOS ESTATALES","TRANSFERENCIA DE FONDOS","Aceptado","AGRO. FRANCISCO APONTE RIVERA, SUBSECRETARIO DE AGRICULTURA","true","SAN JUAN","false","false"
"(3051) 2014-C00202","Recinto de Río Piedras de la Universidad de Puerto Rico","CARLOS A. PEREZ NEGRON","450","2013-09-27T00:00:00.000","2013-10-02T00:00:00.000","2013-10-02T00:00:00.000","0.03","SERVICIOS TÉCNICOS","SERVICIOS TÉCNICOS","Aceptado","ETHEL RÍOS ORLANDI, RECTORA INTERINA, RECTORA INTERINA","true","SAN JUAN","false","false"
"(4076) 2014-000599","Municipio de Villalba","CARMEN J. COLLAZO VARGAS","630","2013-09-27T00:00:00.000","2013-10-02T00:00:00.000","2013-10-31T00:00:00.000","0.99","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000716","Municipio de Villalba","EVELYN LOPEZ OCASIO","630","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-31T00:00:00.000","1.02","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000717","Municipio de Villalba","JAIME LOPEZ RODRIGUEZ","630","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-31T00:00:00.000","1.02","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000718","Municipio de Villalba","LUIS A. MALDONADO PEREZ","630","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-31T00:00:00.000","1.02","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000719","Municipio de Villalba","YURILIS MALDONADO SANTIAGO","630","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-31T00:00:00.000","1.02","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000720","Municipio de Villalba","WANDA C.MELENDEZ RIVERA","630","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-31T00:00:00.000","1.02","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000721","Municipio de Villalba","GLORIA MORALES SANTIAGO","630","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-31T00:00:00.000","1.02","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4076) 2014-000722","Municipio de Villalba","CARLOS J. NEGRON COLON","630","2013-09-27T00:00:00.000","2013-10-01T00:00:00.000","2013-10-31T00:00:00.000","1.02","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
"(4058) 2014-000959","Municipio de Ponce","EDWIN FIGUEROA ORTIZ","5760","2013-09-27T00:00:00.000","2013-09-27T00:00:00.000","2014-09-26T00:00:00.000","12","VIVIENDAS","COMPRA, VENTA Y/O ALQUILER DE INMUEBLES","Aceptado","Hon. Maria E. Melendez Altieri, Alcaldesa","true","PONCE","false","false"
"(4076) 2014-000723","Municipio de Villalba","PEDRO J. PAGAN RIVERA","630","2013-09-27T00:00:00.000","2013-10-02T00:00:00.000","2013-10-31T00:00:00.000","0.99","SERVICIOS DE CONTRATACIÓN DE OBREROS","SERVICIOS PERSONALES NO PROFESIONALES","Aceptado","HON. LUIS JAVIER HERNANDEZ ORTIZ, ALCALDE","true","VILLALBA","false","false"
