"corpname","corpregisterindex","bestatus","corpclasstype","corporationtype","corporationjurisdictiontype","physicalcitycorp","physicalstatecorp","fullnameagent","fullnameofficer1","fullnameofficer2"
"MONTAAS ELECTRIC INC.","155870-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","CEIBA","PR","LINDA P SMITH","MAYNARD D SMITH","LINDA P SMITH"
"IGLESIA CRISTIANA EL ESPIRITU DE DIOS TE LEVANTA INC.","57974-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Bayamón","PR",,,
"FUNDACIN MSCARAS DE HATILLO INC.","390063-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","HATILLO","PR","Jesús Manuel Diaz",,
"IGLESIA CRISTIANA DE ADORACIN Y RESTAURACIN, INC.","61193-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Corozal","PR",,,
"FUNDACION PARA EL DESARROLLOY FORMACION AGUASBONENSES, INCORPORADO","322272-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Aguas Buenas","PR","Saida Cartagena","Rosa Rivera","Tomas Lopez"
"INERSIA L.L.C.","333834-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Dorado","PR","Raul Valle",,
"TRINITY SERVICES I , LIMITED LIABILITY COMPANY","306787-1532","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","Ponce","PR",,"Charles Palmer",
"TU MUNDO B BERRY PR, LLC","389168-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,"Ana L Areba","Vladimir Hidalgo"
"TABERNCULO MI REFUGIO, INC.","50073-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Trujillo Alto","PR",,,
"JL DISPOSABLE  INC.","336973-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","BAYAMON","PR","JOSE L RODRIGUEZ","JOSE L RODRIGUEZ","JOSE L RODRIGUEZ"
"IGLESIA EVANGELICA EL TABOR","1078-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"WORSHIP CALL PRODUCTION, LLC","323711-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Aguada","PR","Edwin Venezuela","Edwin Venezuela","Edwin Venezuela"
"CENTRO EVANGELISTICO PENTECOSTAL EMMANUEL INC.","54101-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Juncos","PR",,,
"NOVIS PR LLC","100363-111","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Wilfredo A. Miguez","María A. Benavente","María A. Benavente"
"MINISTERIO CON LA UNCION SE ROMPEN LAS CADENAS, INC.","305452-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Utuado","PR","Joel F Lopez","Joel F Lopez",
"MULTIPLE PEDIATRIC SERVICES DR. RAFAEL A. RIVERA CSP","4005-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","Caguas","PR","RAFAEL  RIVERA","RAFAEL RIVERA","RAFAEL RIVERA"
"IGLESIA PENTECOSTAL DIOS CON NOSOTROS, INC,","27332-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"WANNABE STUDIOS CORP.","202487-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","SAN JUAN","PR","DAFRAN GUTIERREZ","DAFRAN GUTIERREZ","DAFRAN GUTIERREZ"
"COOPERATIVA PRO CANNABIS DE PUERTO RICO","387597-1821","ACTIVA","Cooperativa de Trabajadores","Sin Fines de Lucro","Doméstica","SAN JUAN","PR","Miguel Negrón","Felix J. Santiago","Carlos D. De Jesus"
"IGLESIA PENTECOSTAL CRISTO VIENE INC.","10386-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"FOOD QUALITY LLC","391645-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN LORENZO","PR","LUIS G ALVARADO",,
"MINISTERIO INTERNACIONAL MISIN RESCATE INC.","59709-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Caguas","PR",,,
"EM PHYSICIANS OF PUERTO RICO, PSC","3686-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","SAN JUAN","PR","WILFREDO  RENDON","WILFREDO RENDON","WILFREDO RENDON"
"FINCA CIBUCO LLC","389255-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","DORADO","PR","MANUEL E PEREZ","JACQUELINE McCLOSKEY","TROY McCLOSKEY"
"COOPERATIVA DE AHORRO Y CREDITO EMPLEADOS HOTEL FLAMBOYAN","491-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"ONE WITH GOD MINISTRIES , INC.","308150-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","DORADO","PR","ELLIS O. QUIÑONES","ELLIS O. QUIÑONES","ELLIS O. QUIÑONES"
"COOPERATIVA DE SERVICIOS DE LOS EMPLEADOS DEL DEPARTAMENTO DEL TRABAJO Y RECURSOS HUMANOS","288-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"CASA DE RESTAURACIN PUNTA DE LANZA INC.","333129-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Hatillo","PR","Nancy Gutierrez","Juan Deliz","Carlos Muñoz"
"IGLESIA EVANGELICA LUTERANA SAN PABLO INC.","2609-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"LA ESPERANZA EN TUS RAICES INC.","340784-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR","Cecilia C. Arias","Cecilia C. Arias",
"VASCULAR DIAGNOSTIC GROUP CORP. PSC","348564-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","Caguas","PR",,"Fernando A  Jimenez","Fernando A  Jimenez"
"IGLESIA PRESBITERIANA U.S.A.EN BOQUERON, INC.","16609-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IGLESIA LIBRE DE PAREDES, INCORPORATED","322680-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Humacao","PR","Daniel Viera",,
"B & M MANUFACTURING, LLC","2547-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Gurabo","PR",,,
"BOHEMIOS PUERTO RICO, INC.","323042-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CATANO","PR","JOSE A ROSARIO","AHOO.COMJOSE A ROSARIO","JOSE O RIVERA"
"BSA PROPERTIES, INC.","179059-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","CAGUAS","PR","ALON SHAKED","SALOMON ABADI","JOEL BENDER"
"IGLESIA  LOS 10 MANDAMIENTOS INCORPORADO","335725-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Bayamon","PR","Orlando ocb Cruz",,
"PALANTE LLC","3097-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Cataño","PR",,"Lina Felipez",
"AMDOCS PUERTO RICO LLC","1223-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR",,,
"ACUMEN BIOPHARMA, LLC","1511-1532","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","Toa Alta","PR",,,
"RHPM INVESTMENT, L.L.C.","316548-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Guaynabo","PR","Elvin D. Hernandez",,
"NECCO, INC.","89161-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Carolina","PR","JORGE MACHADO","HILDA RUIZ","ENNIE MACHADO"
"FUNDACION, DIOS EL UNICO REFUGIO,  INC.","341389-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Arecibo","PR","Sonia N Santana",,
"JMB BORDADOS, INC.","145157-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","Caguas","PR","Edna Benitez","Edna  Y Benitez","Edna  Y Benitez"
"ALFOMBRAS PUIG, INC.","190757-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Mayagüez","PR","Fernando Puig","Fernando Puig","Fernando Puig"
"AMPARO MANAGEMENT INC.","348788-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Toa Baja","PR",,"gordon bednarz","Gordon Bednarz"
"ORGANIZACIN NACIONAL ANTIDOPAJE DE PUERTO RICO (ONAD) INC.","391418-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","COTO LAUREL","PR","Eduardo E. Amy","Eduardo E. Amy","Carmen A. Beabraut"
"IGLESIA BAUTISTA EL REDENTOR DE ARROYO INC.","49254-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Arroyo","PR",,,
"IGLESIA CRISTIANA SULCOS DE LIBERACION, INC.","13624-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"MINISTERIO EDUCATIVO EVANGELSTICO INTERNACIONAL ""HANMALAK"" CORP.","343010-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Bayamon","PR","Angel M Santiago",,
"EXCURCIONES MISIONERAS 1844, INC.","304843-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CIDRA","PR","CARMEN M. GONZALEZ","ALEXANDRA CARRASQUILLO","CARMEN M. GONZALEZ"
"CHINCHORREANDO EN HATO REY INC.","374717-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","LUIS A PEREZ","RENATO RIVERA","RENATO RIVERA"
"COOPERATIVA JUVENIL ESCOLAR NATANAEL BONILLA GIMNEZ COOP","212-1321","ACTIVA","Cooperativa Juvenil","Sin Fines de Lucro","Doméstica","Aguada","PR",,,
"IGLESIA PENTECOSTAL JESUS CAMINO DE VIDA MONTE SIN INC.","60151-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Aibonito","PR",,,
"CIARA DEL SOL INC.","90854-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","VEGA BAJA","PR","JUAN A SAN MIGUEL","JUAN A SAN MIGUEL","JUAN A SAN MIGUEL"
"COOPERATIVA DE SERVICIOS DEL FONDO DEL SEGURO DEL ESTADO","483-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IGLESIA PENTECOSTAL ARCA DE BENDICIN INC.","58451-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Guánica","PR",,,
"IGLESIA PENTECOSTAL DE JESUCRISTO EL REMANENTE FIEL INC.","25825-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"ANUNCIO DIGITAL PR CORPORACIN","386394-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","MOCA","PR","Wilfredo Perez","Wilfredo Perez",
"ATC CONSTRUCTION AND MANAGEMENT INC.","391138-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","GUAYNABO","PR","Tiara L Irizarry","Jose M Irizarry",
"GUMEDIC, INC.","114160-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","MAYAGUEZ","PR","GUMERCINDO MUNIZ","ELVIRA MARTINEZ","ELVIRA MARTINEZ"
"FLOWING STREAMS MEDIA GROUP LLC","387118-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,,
"LIQUID ASPHALT, LLC","311978-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","JUAN VAZQUEZ",,
"RESTAURANDO VIDAS BAJO LA SOMBRA DEL OMNIPOTENTE INC.","347538-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","FAJARDO","PR","JOSE PEREZ",,
"GEM, LLC","2613-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR",,,
"STRAWBERRY HEART LLC","330296-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR","Ruben A Victoria",,
"ASOCIACION DE COLEGIOS PASIONISTAS, INC.","314667-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Dorado","PR","Padre Moises Rios","Padre Anibal Rodriguez","Padre Jose R Montañez"
"MISS PUERTO RICO INC.","348232-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","San Juan","PR","Magali Febles","Magali Febles","Magali Febles"
"COOPERATIVA JUVENIL ESCOLAR EL COQUI","13-1321","ACTIVA","Cooperativa Juvenil","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"M. QUILICHINI, SUCRS., INC.","20424-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","PONCE","PR","Antonio Quilichini","BRENDA ALBORS","BRENDA ALBORS"
"MINISTERIO EVANGELISTICO LUCAS 4:4 INC.","58910-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Guaynabo","PR",,,
"LA HIELERA LLC","378166-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","PONCE","PR","Alida Lamadrid","Alida Lamadrid","Alida Lamadrid"
"ALC CREDIT CONSULTING GROUP LLC","391462-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","COTO LAUREL","PR","Antonio L Cedeno","Antonio L Cedeno",
"YC ACCOUNTING SERVICES, INC.","391500-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","SAN JUAN","PR","ANIBAL COLON","ANIBAL COLON","ANIBAL COLON"
"BORRERO SERVICES INC.","389849-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","TOA BAJA","PR","YANDANEL BORRERO",,
"BAA BAR & GRILL INC.","347656-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","BAYAMON","PR","ERIC J MOCTEZUMA","ERIC J MOCTEZUMA",
"BURBANK HARBOR CAPITAL MANAGEMENT LLC","346721-1512","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","Guaynabo","PR",,"Robert Zhang",
"LIV LIFE CORP.","64406-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR",,,
"IGLESIA METODISTA LIBRE INC.","63423-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR",,,
"TRACK GROUP-PUERTO RICO INC.","181862-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","GUAYNABO","PR",,"PETER  POLI","GUY DUBOIS"
"NURSING STATION INC.","386456-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","MOCA","PR","Ana C Hernandez",,
"LEARNING AND TEACHING FOR EDUCATIONAL SUCCESS CORP.","312992-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Fajardo","PR","Alejandra Le Bron","Alejandra LeBron","Juan Rosa"
"COOPERATIVA DE CREDITO LA COMERIEA","292-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"PRIMERA IGLESIA BAUTISTA DE SAN JUAN, P.R., INC.","475-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"DELTA MECHANICAL CONTRACTORS, LLC","346616-1512","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","Fort Buchanan","PR",,"Bruce Bookbinder",
"TAXES ACCOUNTING CENTER, LLC","315396-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","COAMO","PR",,"SHERLY MALAVE","SHERLY MALAVE"
"GRUPO LCP LLC","336108-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,,
"WYNDHAM CARIB DEVELOPMENT COMPANY V, LLC","1383-1532","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","Carolina","PR",,,
"CONGREGACION JACAGUAS DE LOS TESTIGOS DE JEHOVA, INCORPORADO","13687-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"ONE FAMILY PRAISE MINISTRIES INC.","49652-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Las Piedras","PR",,,
"AM ENTERPRISES GROUP INC.","391733-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","ARECIBO","PR","ABED MUSA","ABED MUSA","ABED MUSA"
"EUGENIO JIMENEZ MISSIONS INC.","51590-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Fajardo","PR",,,
"RMC CAN IT HATO REY LLC","390923-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","RUBEN VAZQUEZ",,
"ELITE SERIES GROUP, INC.","204820-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","SAN JUAN","PR","MISAEL D RODRIGUEZ","MISAEL D RODRIGUEZ","MISAEL D RODRIGUEZ"
"MISION CRISTIANA DE RESTAURACION, INC.","61036-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR",,,
"SMART ACCESSORIES AND MORE CORP.","385951-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","GUAYAMA","PR",,"DIANA J LATORRE","DIANA J LATORRE"
"IGLESIA MISIONERA DE JESUCRISTO (N.T.) 2000, INC.","34555-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"TABERNACULO PROFETICO TRIBU DE GAD, INC.","326819-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CATAÑO","PR","EVETTE SCHURRER","VICTOR SANTANA","VICTOR SANTANA"
"SHANTI EDUCATIONAL SERVICES  CORP.","189190-111","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","GURABO","PR","ANA E VILLANUEVA","ANA VILLANUEVA","ANA VILLANUEVA"
"CONCORD PETROLEUM AND EQUIPMENT GROUP INC.","346648-112","ACTIVA","Corporación","Con Fines de Lucro","Foránea","Guaynabo","PR","Jose A. Lloveras","Jose A. Lloveras",
"IGL. UNA VOZ QUE CLAMA EN EL DESIERTO JUAN 1:23 INC.","64119-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Caguas","PR",,,
"COOPERATIVA JUVENIL ESCOLAR ELVICOOP","346-1321","ACTIVA","Cooperativa Juvenil","Sin Fines de Lucro","Doméstica","Santa Isabel","PR",,,
"HEARTS IN HEAVEN INCORPORATED","390124-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","TOA ALTA","PR","Ibelys Camacho","Ibelys Camacho",
"FUNDACION MUSICAL DE PONCE, INC.","28942-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Ponce","PR","PEDRO G GOYCO","PEDRO G GOYCO","HELEN WESTWOOD"
"CORPORATE WORKPLACE CHAPLAIN OF PUERTO RICO, INC.","49015-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Caguas","PR",,,
"ACADEMIA CRISTO REY, INC.","6601-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"CHAKTI LLC","390396-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","GUAYNABO","PR","Andres Alfonso Charria",,
"FM CONSULTANTS , LLC","320205-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR","Hilda Ramos","Hilda Ramos",
"IGLESIA SIN PAREDES CORP.","44649-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR","Ricardo L Rivera",,
"REX FOODS, INC.","195273-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","ENRIQUE  GONZALEZ","ENRIQUE GONZALEZ","ENRIQUE  GONZALEZ"
"HQJ CARIBBEAN CONTRACTOR, INC.","199899-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","GUAYAMA","PR","raul ortiz","RAUL ORTIZ","RAUL ORTIZ"
"I ACCESSORIZE OF PUERTO RICO INC.","346249-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","San Juan","PR","Joji Babu","Siddharth Kapur","Joji Babu"
